Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
01:26:16:03.074,61,0.1190557778,0.3704142272,0.1439028680,0.0000000000,0.0000000000,0.0136207854,0.0000000000,0.1190557480,0.3717586398,0.0000000000,0.0201111343,0.0000000000,0.0136207789,0.0000000000,0.0104530379,0.0179048404,0.0000000000,0.0216970071,0.0229687914,0.0108716963,0.0368789285,0.0000000000,0.0020717373,0.0772306621,0.1029773951,0.0000000000,0.0000000000,0.0151533764,0.0164875444,0.0309373736,0.0316891186,0.0131266331,0.0183249339,0.0339385904,0.0191733632,0.0127405180,0.0129605765,0.0216048900,0.0187747367,0.0043443600,0.0048368424,0.0000000000,0.0000000000,0.0348364711,0.0697540715,0.0699769780,0.0094393566,0.0133383060,0.0146017699,0.0329907723,0.0386069790,0.0000000895,0.0191191491,-0.0301782563,-0.0033688333,0.0119697517,0.2271109968,0.0027661128,0.0856589302,0.2271204442,0.0197696872
01:26:16:04.076,61,0.1213984862,0.3708648086,0.1435372680,0.0000000000,0.0000000000,0.0135219805,0.0000000000,0.1213983148,0.3722044826,0.0000000000,0.0197890382,0.0000000000,0.0135219749,0.0000000000,0.0103959208,0.0176925920,0.0000000000,0.0212169867,0.0223603137,0.0105046732,0.0364985615,0.0000000000,0.0026835888,0.0818506777,0.1072034612,0.0000000000,0.0000000000,0.0160656646,0.0177178998,0.0304375160,0.0312072132,0.0132875191,0.0187252350,0.0345882252,0.0195569601,0.0132479202,0.0134655787,0.0213742629,0.0185480714,0.0043056225,0.0048084841,0.0000000000,0.0000000000,0.0346462019,0.0696292892,0.0698511079,0.0095410654,0.0132701602,0.0145795327,0.0330685377,0.0387972258,0.0000000928,0.0201172624,-0.0311058853,-0.0031094931,0.0117773060,0.2273828089,0.0027250149,0.0854358897,0.2273923308,0.0197427794
01:26:16:05.078,61,0.1273962855,0.3723133206,0.1432534456,0.0000000000,0.0000000000,0.0134259136,0.0000000000,0.1273962259,0.3736528456,0.0000000000,0.0195821598,0.0000000000,0.0134259118,0.0000000000,0.0103565035,0.0175361391,0.0000000000,0.0208384469,0.0218910947,0.0102130994,0.0363644250,0.0000000000,0.0031857428,0.0850974768,0.1101812720,0.0000000000,0.0000000000,0.0168461986,0.0186332036,0.0300416127,0.0308135245,0.0134729892,0.0191275999,0.0353130624,0.0199537314,0.0137938494,0.0140118487,0.0212280843,0.0183973182,0.0042826273,0.0047965171,0.0000000000,0.0000000000,0.0345422029,0.0697421655,0.0699630827,0.0096843569,0.0132529093,0.0146059366,0.0332719088,0.0391259007,0.0000000763,0.0206459835,-0.0324529260,-0.0029039790,0.0116517926,0.2282673270,0.0027068348,0.0852495283,0.2282769084,0.0197791662
01:26:16:06.079,61,0.1380597651,0.3746070862,0.1418367922,0.0000000000,0.0000000000,0.0133573711,0.0000000000,0.1380600333,0.3759302497,0.0000000000,0.0182736851,0.0000000000,0.0133573757,0.0000000000,0.0103137894,0.0174504425,0.0000000000,0.0205238350,0.0215052981,0.0099909212,0.0365384445,0.0000000000,0.0036526308,0.0888133496,0.1147660464,0.0000000000,0.0000000000,0.0176366493,0.0195951238,0.0297201928,0.0304841232,0.0136675173,0.0194955207,0.0370301679,0.0204337928,0.0144284759,0.0146508748,0.0211224686,0.0182936378,0.0042765150,0.0048028859,0.0000000000,0.0000000000,0.0345577113,0.0699214786,0.0701424479,0.0098712202,0.0132929171,0.0147021106,0.0336247906,0.0396164395,0.0000000524,0.0207014587,-0.0344617218,-0.0029706196,0.0108697023,0.2296565473,0.0025410752,0.0843790621,0.2296661735,0.0197011381
01:26:16:07.081,61,0.1473770738,0.3775522411,0.1405441165,0.0000000000,0.0000000000,0.0133218449,0.0000000000,0.1473779678,0.3788627684,0.0000000000,0.0171269905,0.0000000000,0.0133218588,0.0000000000,0.0102860546,0.0174782034,0.0000000000,0.0202853773,0.0212262981,0.0098709492,0.0370157696,0.0000000000,0.0040707546,0.0966702849,0.1257526875,0.0000000000,0.0000000000,0.0186478738,0.0207947269,0.0295099393,0.0302476659,0.0138766002,0.0198734179,0.0389929339,0.0209431965,0.0153688369,0.0156126311,0.0211308952,0.0182942506,0.0042937496,0.0048341434,0.0000000000,0.0000000000,0.0346814021,0.0699000135,0.0701228678,0.0101297433,0.0134153347,0.0148873786,0.0341883264,0.0407663472,0.0000000431,0.0198953077,-0.0379361138,-0.0036782348,0.0101833325,0.2314463109,0.0023998548,0.0835748911,0.2314560860,0.0196714532
01:26:16:08.082,61,0.1511931270,0.3789019287,0.1400544047,0.0000000000,0.0000000000,0.0132879224,0.0000000000,0.1511954665,0.3802083433,0.0000000000,0.0167076513,0.0000000000,0.0132879447,0.0000000000,0.0102835502,0.0175584741,0.0000000000,0.0201392043,0.0210630614,0.0098530697,0.0380612947,0.0000000000,0.0044921809,0.1026879549,0.1331112981,0.0000000000,0.0000000000,0.0195695311,0.0219093468,0.0293769129,0.0300845429,0.0141193308,0.0203029737,0.0404630639,0.0214270912,0.0165535063,0.0168553051,0.0212479401,0.0183895994,0.0043285103,0.0048844446,0.0000000000,0.0000000000,0.0349135958,0.0697353035,0.0699600056,0.0104818782,0.0135935107,0.0151348477,0.0350396521,0.0425644889,0.0000000381,0.0189026762,-0.0395312086,-0.0046020034,0.0099320766,0.2322677672,0.0023492579,0.0832675248,0.2322775424,0.0196713973
01:26:16:09.084,61,0.1533909738,0.3800995052,0.1401281208,0.0000000000,0.0000000000,0.0132524325,0.0000000000,0.1533937603,0.3814108670,0.0000000000,0.0168220978,0.0000000000,0.0132524613,0.0000000000,0.0103069218,0.0176738426,0.0000000000,0.0200574715,0.0209886897,0.0099182455,0.0396867134,0.0000000000,0.0049139317,0.1065305173,0.1373871416,0.0000000000,0.0000000000,0.0203687232,0.0227946620,0.0293252133,0.0300051160,0.0143797388,0.0207413863,0.0415044650,0.0218786970,0.0177382119,0.0180901811,0.0214426294,0.0185532290,0.0043784627,0.0049490188,0.0000000000,0.0000000000,0.0351996049,0.0693906546,0.0696189031,0.0108945100,0.0138149988,0.0154179381,0.0361866392,0.0445863083,0.0000000344,0.0186249148,-0.0394325927,-0.0054888129,0.0099983700,0.2330025136,0.0023726963,0.0832969397,0.2330123186,0.0197428688
01:26:16:10.086,61,0.1546776146,0.3823561370,0.1401310563,0.0000000000,0.0000000000,0.0132068070,0.0000000000,0.1546807140,0.3836745620,0.0000000000,0.0168912280,0.0000000000,0.0132068396,0.0000000000,0.0103148650,0.0177709870,0.0000000000,0.0199717563,0.0209200736,0.0099685164,0.0405801609,0.0000000000,0.0053061652,0.1086139753,0.1396514177,0.0000000000,0.0000000000,0.0210223775,0.0234976001,0.0292540137,0.0299097206,0.0145874489,0.0211264119,0.0422184207,0.0222284496,0.0185356904,0.0189013872,0.0216166116,0.0186976437,0.0044205040,0.0050032982,0.0000000000,0.0000000000,0.0354393087,0.0691042989,0.0693362281,0.0112386243,0.0140030766,0.0156580731,0.0369509719,0.0456615053,0.0000000338,0.0190425366,-0.0375365727,-0.0062084687,0.0100361556,0.2343854755,0.0023963284,0.0832713768,0.2343953997,0.0198583361
01:26:16:11.087,61,0.1556482613,0.3855218589,0.1390620768,0.0000000000,0.0000000000,0.0131373117,0.0000000000,0.1556513309,0.3868318498,0.0000000000,0.0158480890,0.0000000000,0.0131373489,0.0000000000,0.0102915382,0.0179395080,0.0000000000,0.0198755600,0.0208664536,0.0100242887,0.0412923694,0.0000000000,0.0056022764,0.1097900346,0.1408815831,0.0000000000,0.0000000000,0.0214872062,0.0239778105,0.0291832592,0.0298059210,0.0147294449,0.0214094836,0.0426608846,0.0224710442,0.0191105045,0.0194794126,0.0217638481,0.0188190416,0.0044570258,0.0050493386,0.0000000000,0.0000000000,0.0356614888,0.0692549571,0.0694930553,0.0115285935,0.0141591625,0.0158618931,0.0375951789,0.0464484096,0.0000000260,0.0198923163,-0.0346441269,-0.0071018706,0.0094120065,0.2363128066,0.0022664885,0.0825979635,0.2363228500,0.0198662542
01:26:16:12.089,61,0.1565705240,0.3892550170,0.1380621940,0.0000000000,0.0000000000,0.0130486591,0.0000000000,0.1565726250,0.3905593157,0.0000000000,0.0148512144,0.0000000000,0.0130487010,0.0000000000,0.0102426810,0.0181421321,0.0000000000,0.0197582133,0.0208043084,0.0100672795,0.0418197364,0.0000000000,0.0058369818,0.1101190895,0.1411710382,0.0000000000,0.0000000000,0.0217609238,0.0242439248,0.0290980451,0.0296872538,0.0148092471,0.0215962436,0.0428932607,0.0226243455,0.0195092428,0.0198733695,0.0218452867,0.0188838392,0.0044827634,0.0050822436,0.0000000000,0.0000000000,0.0358241573,0.0696238950,0.0698700100,0.0117683485,0.0142745003,0.0160191581,0.0381431021,0.0470426381,0.0000000199,0.0194430836,-0.0327828676,-0.0080999946,0.0088151162,0.2385885566,0.0021439923,0.0819589868,0.2385987639,0.0199101120
