Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:02:38:23.752,61,0.0067952229,0.2990815341,0.1265145689,0.0000000000,0.0000000000,0.0107074333,0.0000000000,0.0067816139,0.2999265492,0.0000000000,0.0009241683,0.0000000000,0.0107074399,0.0000000000,0.0077686724,0.0256006476,0.0000000000,0.0142786279,0.0172089133,0.0080170063,0.0393844880,0.0035654739,0.0000000000,0.0000000000,0.0000000000,0.0715882555,0.0458167270,0.0065518296,0.0068413033,0.0303743202,0.0301788263,0.0081582740,0.0086448183,0.0374660864,0.0238045696,0.0082860673,0.0085604629,0.0107581075,0.0092332205,0.0038733585,0.0042116260,0.0000000000,0.0000000000,0.0246982835,0.0859533772,0.0861864462,0.0080923168,0.0083473343,0.0094712246,0.0254991837,0.0286581125,0.0000000279,0.0281288102,-0.0337473527,0.0118441340,0.0005550936,0.1832147688,0.0001028548,0.0759946406,0.1832333654,0.0140682319
02:02:38:24.754,61,0.0072788144,0.2981358469,0.1265568137,0.0000000000,0.0000000000,0.0107001290,0.0000000000,0.0072600637,0.2989788353,0.0000000000,0.0009839938,0.0000000000,0.0107001364,0.0000000000,0.0077511570,0.0257237703,0.0000000000,0.0142758982,0.0171903372,0.0079446472,0.0392122343,0.0035910245,0.0000000000,0.0000000000,0.0000000000,0.0715895668,0.0457869023,0.0065424186,0.0068296036,0.0303084590,0.0300935302,0.0081351167,0.0086670099,0.0372343846,0.0236347206,0.0082452819,0.0085220383,0.0107117714,0.0091876909,0.0038426835,0.0041793254,0.0000000000,0.0000000000,0.0247258674,0.0862035379,0.0864328668,0.0080484850,0.0083300499,0.0094565731,0.0254159328,0.0285691805,0.0000000316,0.0282584373,-0.0337975807,0.0117061147,0.0005910906,0.1826358289,0.0001091709,0.0760281160,0.1826544106,0.0140289487
02:02:38:25.755,61,0.0076349368,0.2982818186,0.1267021000,0.0000000000,0.0000000000,0.0106686074,0.0000000000,0.0076113124,0.2991272211,0.0000000000,0.0011544868,0.0000000000,0.0106686158,0.0000000000,0.0077320123,0.0258294828,0.0000000000,0.0142759709,0.0171772372,0.0078732222,0.0390724391,0.0035884697,0.0000000000,0.0000000000,0.0000000000,0.0714144409,0.0455634519,0.0065379781,0.0068229935,0.0302520338,0.0300224666,0.0081083914,0.0086923214,0.0369704366,0.0234387778,0.0082036676,0.0084825549,0.0106756995,0.0091526592,0.0038103797,0.0041456660,0.0000000000,0.0000000000,0.0247458052,0.0864617974,0.0866869017,0.0080043683,0.0083060376,0.0094351489,0.0253397841,0.0284862053,0.0000000362,0.0288466699,-0.0338902138,0.0114827929,0.0006934952,0.1827264875,0.0001281494,0.0761141330,0.1827450395,0.0140519133
02:02:38:26.757,61,0.0080154315,0.2994008362,0.1267227083,0.0000000000,0.0000000000,0.0106329406,0.0000000000,0.0079872617,0.3002495766,0.0000000000,0.0011843253,0.0000000000,0.0106329489,0.0000000000,0.0077205566,0.0259364229,0.0000000000,0.0142858792,0.0171740670,0.0078164749,0.0389913246,0.0035589547,0.0000000000,0.0000000000,0.0000000000,0.0712727457,0.0453562476,0.0065370928,0.0068214419,0.0302116685,0.0299687944,0.0080893552,0.0087252967,0.0367351398,0.0232561808,0.0081734052,0.0084546320,0.0106465397,0.0091223856,0.0037792069,0.0041139210,0.0000000000,0.0000000000,0.0247657355,0.0867238566,0.0869449228,0.0079772435,0.0082844188,0.0094144428,0.0252811499,0.0284277704,0.0000000363,0.0291874558,-0.0332509540,0.0111417267,0.0007113287,0.1834121048,0.0001319492,0.0761168972,0.1834307015,0.0141063398
02:02:38:27.758,61,0.0086948313,0.3002803624,0.1265431345,0.0000000000,0.0000000000,0.0106239272,0.0000000000,0.0086574517,0.3011290729,0.0000000000,0.0010263488,0.0000000000,0.0106239356,0.0000000000,0.0077222916,0.0260303598,0.0000000000,0.0143508259,0.0172384623,0.0077900467,0.0389794298,0.0035124035,0.0000000000,0.0000000000,0.0000000000,0.0711702928,0.0451333560,0.0065440927,0.0068271095,0.0302281156,0.0299667232,0.0080841053,0.0087697953,0.0365329981,0.0230843239,0.0081475098,0.0084325876,0.0106422938,0.0091151902,0.0037566719,0.0040917075,0.0000000000,0.0000000000,0.0248515364,0.0869551674,0.0871720314,0.0079526762,0.0082818586,0.0094166296,0.0252666771,0.0284224991,0.0000000346,0.0289866328,-0.0327555127,0.0106857382,0.0006163834,0.1839493364,0.0001146797,0.0760014579,0.1839679480,0.0141271818
02:02:38:28.760,61,0.0093356231,0.3007793427,0.1262469143,0.0000000000,0.0000000000,0.0106275436,0.0000000000,0.0092942826,0.3016253114,0.0000000000,0.0007376935,0.0000000000,0.0106275519,0.0000000000,0.0077277371,0.0260809194,0.0000000000,0.0144512719,0.0173443090,0.0077856495,0.0390574001,0.0034512761,0.0000000000,0.0000000000,0.0000000000,0.0710815266,0.0449899621,0.0065530497,0.0068333875,0.0302680526,0.0299906600,0.0080845999,0.0088191777,0.0363537334,0.0229201056,0.0081247240,0.0084138429,0.0106472671,0.0091182329,0.0037374755,0.0040730904,0.0000000000,0.0000000000,0.0249799062,0.0872436985,0.0874568075,0.0079370672,0.0082891462,0.0094262268,0.0252700597,0.0284297373,0.0000000321,0.0289926082,-0.0326910391,0.0101955477,0.0004430037,0.1842524260,0.0000825609,0.0758192688,0.1842710972,0.0141171385
02:02:38:29.762,61,0.0097163608,0.3012917936,0.1260650754,0.0000000000,0.0000000000,0.0106172059,0.0000000000,0.0096732173,0.3021366596,0.0000000000,0.0005589458,0.0000000000,0.0106172161,0.0000000000,0.0077598994,0.0260975026,0.0000000000,0.0146002378,0.0175140463,0.0078328839,0.0393012203,0.0032979744,0.0000000000,0.0000000000,0.0000000000,0.0712426007,0.0449859053,0.0065718531,0.0068523935,0.0303970650,0.0301158149,0.0081019662,0.0088793272,0.0362275392,0.0227829274,0.0081198746,0.0084119998,0.0106950030,0.0091586988,0.0037276559,0.0040654265,0.0000000000,0.0000000000,0.0251346566,0.0875158459,0.0877240449,0.0079482766,0.0083046993,0.0094461478,0.0253278166,0.0284990482,0.0000000282,0.0288538449,-0.0324885696,0.0098600388,0.0003356416,0.1845648140,0.0000626608,0.0757056549,0.1845834851,0.0141204707
02:02:38:30.763,61,0.0099422578,0.3017464578,0.1260723174,0.0000000000,0.0000000000,0.0106082046,0.0000000000,0.0098976800,0.3025926650,0.0000000000,0.0005595537,0.0000000000,0.0106082158,0.0000000000,0.0078453207,0.0260721464,0.0000000000,0.0148506993,0.0178172328,0.0079662148,0.0397628993,0.0031694849,0.0000000000,0.0000000000,0.0000000000,0.0715314373,0.0450834446,0.0066158571,0.0068982234,0.0306954682,0.0304091964,0.0081519820,0.0089627253,0.0361730903,0.0226763617,0.0081345299,0.0084298626,0.0108281327,0.0092772031,0.0037366594,0.0040776404,0.0000000000,0.0000000000,0.0253529735,0.0876549035,0.0878592506,0.0079842461,0.0083428621,0.0094857961,0.0254519023,0.0286395345,0.0000000267,0.0288540702,-0.0322656296,0.0096837245,0.0003359892,0.1848433465,0.0000628225,0.0757060722,0.1848620474,0.0141423512
02:02:38:31.765,61,0.0102145122,0.3021191955,0.1260771304,0.0000000000,0.0000000000,0.0106096389,0.0000000000,0.0101685096,0.3029664457,0.0000000000,0.0005606270,0.0000000000,0.0106096510,0.0000000000,0.0079711275,0.0260431617,0.0000000000,0.0151998801,0.0182490926,0.0081833489,0.0404152833,0.0030831511,0.0000000000,0.0000000000,0.0000000000,0.0719264299,0.0452508181,0.0066835545,0.0069674775,0.0311448444,0.0308391396,0.0082338890,0.0090747131,0.0361737870,0.0225866381,0.0081661334,0.0084632142,0.0110421963,0.0094666667,0.0037625346,0.0041072015,0.0000000000,0.0000000000,0.0256593693,0.0877033100,0.0879055038,0.0080417329,0.0084031895,0.0095471358,0.0256325603,0.0288485847,0.0000000246,0.0291268881,-0.0314779133,0.0094785634,0.0003366192,0.1850717068,0.0000630199,0.0757057369,0.1850904077,0.0141601600
02:02:38:32.766,61,0.0106279477,0.3022346199,0.1259653419,0.0000000000,0.0000000000,0.0106260860,0.0000000000,0.0105801057,0.3030806780,0.0000000000,0.0004446522,0.0000000000,0.0106260991,0.0000000000,0.0081401346,0.0260112882,0.0000000000,0.0156443641,0.0188036598,0.0084904227,0.0422307104,0.0030683260,0.0000000000,0.0000000000,0.0000000000,0.0723341405,0.0454483144,0.0067723165,0.0070568365,0.0317240134,0.0313837156,0.0083465148,0.0092152152,0.0362390466,0.0225246754,0.0082208458,0.0085198907,0.0113352872,0.0097248349,0.0038027617,0.0041520847,0.0000000000,0.0000000000,0.0260173958,0.0875816569,0.0877831131,0.0081341499,0.0084822848,0.0096245417,0.0258726738,0.0291220602,0.0000000244,0.0292870346,-0.0302141216,0.0091965860,0.0002669806,0.1851414144,0.0000500018,0.0756376162,0.1851601601,0.0141529003
02:02:38:33.768,61,0.0111454567,0.3023688495,0.1260106117,0.0000000000,0.0000000000,0.0106787020,0.0000000000,0.0110960100,0.3032158613,0.0000000000,0.0004679631,0.0000000000,0.0106787179,0.0000000000,0.0083800955,0.0259402916,0.0000000000,0.0162316766,0.0197801143,0.0088942191,0.0441648848,0.0030363912,0.0000000000,0.0000000000,0.0000000000,0.0725313053,0.0454019755,0.0069030742,0.0071911016,0.0328046866,0.0323159024,0.0084998161,0.0094123492,0.0363043249,0.0224494338,0.0082942946,0.0085937921,0.0117492257,0.0100935930,0.0038592624,0.0042145425,0.0000000000,0.0000000000,0.0264156479,0.0870353132,0.0872354805,0.0082361735,0.0085946377,0.0097358273,0.0261742268,0.0294672195,0.0000000446,0.0295945834,-0.0289639421,0.0085422993,0.0002809727,0.1852240413,0.0000526464,0.0756636485,0.1852427423,0.0141642233
02:02:38:34.769,61,0.0125654349,0.3027208447,0.1261061132,0.0000000000,0.0000000000,0.0107649909,0.0000000000,0.0125104375,0.3035701811,0.0000000000,0.0005274177,0.0000000000,0.0107650086,0.0000000000,0.0087074768,0.0257849582,0.0000000000,0.0173156466,0.0218473524,0.0094449073,0.0469430462,0.0030139643,0.0000000000,0.0000000000,0.0000000000,0.0728188530,0.0454751924,0.0070732515,0.0073665911,0.0350120291,0.0343395583,0.0086945528,0.0096626952,0.0364214219,0.0223913714,0.0083909286,0.0086911069,0.0122935362,0.0105787562,0.0039372337,0.0043003364,0.0000000000,0.0000000000,0.0268888827,0.0856677741,0.0858735591,0.0083591230,0.0087418268,0.0098783495,0.0265486389,0.0298945084,0.0000000679,0.0299432371,-0.0283911154,0.0077947932,0.0003166574,0.1854404658,0.0000594036,0.0757179409,0.1854591966,0.0141913109
02:02:38:35.771,61,0.0149859618,0.3030354977,0.1264948845,0.0000000000,0.0000000000,0.0108649191,0.0000000000,0.0149195036,0.3038910627,0.0000000000,0.0008888658,0.0000000000,0.0108649386,0.0000000000,0.0090801194,0.0255514681,0.0000000000,0.0187851377,0.0243415982,0.0101271290,0.0493476912,0.0029899376,0.0000000000,0.0000000000,0.0000000000,0.0728528351,0.0453098156,0.0072781881,0.0075804158,0.0376607180,0.0368484631,0.0089019639,0.0099438448,0.0365432389,0.0223318785,0.0084977476,0.0087967897,0.0129617238,0.0111783985,0.0040384941,0.0044114972,0.0000000000,0.0000000000,0.0274216477,0.0839924663,0.0842119083,0.0084843477,0.0089141810,0.0100426665,0.0269701537,0.0303815417,0.0000000894,0.0301266499,-0.0279246382,0.0071449042,0.0005336482,0.1856365353,0.0001002185,0.0759486109,0.1856552511,0.0142498510
02:02:38:36.773,61,0.0328404531,0.3071179390,0.1283226311,0.0000000000,0.0000000000,0.0109382542,0.0000000000,0.0327796191,0.3080104887,0.0000000000,0.0025979849,0.0000000000,0.0109382737,0.0000000000,0.0094688432,0.0251846053,0.0000000000,0.0202370547,0.0265401434,0.0110982144,0.0522640646,0.0029277168,0.0000000000,0.0000000000,0.0000000000,0.0726824626,0.0450033471,0.0074986713,0.0078109796,0.0396177918,0.0388274975,0.0091169700,0.0102363834,0.0367331132,0.0223095771,0.0086292597,0.0089253895,0.0136768213,0.0118241739,0.0041586244,0.0045444574,0.0000000000,0.0000000000,0.0280349646,0.0830627456,0.0832898170,0.0086193914,0.0090891877,0.0102044232,0.0274574421,0.0309546795,0.0000001059,0.0304775983,-0.0275053624,0.0064235772,0.0015590102,0.1881531626,0.0002968438,0.0770096332,0.1881720275,0.0146490159
02:02:38:37.774,61,0.0801415667,0.3242836297,0.1319211274,0.0000000000,0.0000000000,0.0109951068,0.0000000000,0.0801089257,0.3252779245,0.0000000000,0.0059594270,0.0000000000,0.0109951263,0.0000000000,0.0099261617,0.0246693101,0.0000000000,0.0224709921,0.0297087096,0.0130042378,0.0551862158,0.0028676691,0.0000000000,0.0000000000,0.0000000000,0.0721029565,0.0443285853,0.0077744965,0.0080971653,0.0422361903,0.0414381623,0.0093699489,0.0105792079,0.0369651839,0.0222913604,0.0087883417,0.0090774447,0.0152083402,0.0129237454,0.0043065115,0.0047080601,0.0000000000,0.0000000000,0.0292811468,0.0826736316,0.0829095691,0.0087447045,0.0092899203,0.0103836134,0.0280605815,0.0318159908,0.0000001003,0.0308186840,-0.0271963440,0.0061727245,0.0035687778,0.1987022609,0.0007186049,0.0790067464,0.1987217665,0.0158924628
02:02:38:38.776,61,0.0939576402,0.3387412429,0.1330414712,0.0000000000,0.0000000000,0.0110630542,0.0000000000,0.0939316377,0.3397954702,0.0000000000,0.0069039948,0.0000000000,0.0110630728,0.0000000000,0.0104177166,0.0240643583,0.0000000000,0.0248470828,0.0329474881,0.0158250052,0.0583932400,0.0028415427,0.0000000000,0.0000000000,0.0000000000,0.0709889308,0.0431993417,0.0080912746,0.0084230509,0.0451393761,0.0442746393,0.0096431086,0.0109425457,0.0372658148,0.0223096684,0.0089719770,0.0092536146,0.0172963776,0.0145575106,0.0044852491,0.0049055461,0.0000000000,0.0000000000,0.0309783332,0.0825148895,0.0827594772,0.0088782264,0.0095209247,0.0105912089,0.0287408456,0.0329780281,0.0000000811,0.0315404199,-0.0265303701,0.0059233154,0.0041268822,0.2075710446,0.0008691371,0.0795329884,0.2075910419,0.0167324450
