Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
01:50:04:52.699,61,0.0894125625,0.3831794262,0.1406981647,0.0000000000,0.0000000000,0.0105666518,0.0000000000,0.0893140584,0.3844930828,0.0000000000,0.0160390362,0.0000000000,0.0105666500,0.0000000000,0.0067715249,0.0218443815,0.0000000000,0.0106689725,0.0121214408,0.0050743325,0.0270556286,0.0000000000,0.0061106039,0.0000000000,0.0134292310,0.0052705067,0.0000000000,0.0089614317,0.0098158251,0.0264136083,0.0275443774,0.0090253754,0.0107313655,0.0345834419,0.0227902327,0.0110575426,0.0111183198,0.0102058202,0.0085830055,0.0038740442,0.0043266844,0.0000000000,0.0000000000,0.0287275799,0.0907041878,0.0912408456,0.0077867862,0.0085810767,0.0098981345,0.0294631477,0.0346756466,0.0000000494,0.0645657554,-0.0461325198,-0.0136707937,0.0095286760,0.2348843664,0.0022801871,0.0835983083,0.2349067330,0.0199812166
01:50:04:53.701,61,0.0893894583,0.3820784390,0.1408247948,0.0000000000,0.0000000000,0.0106453961,0.0000000000,0.0892948061,0.3833908141,0.0000000000,0.0161209852,0.0000000000,0.0106453924,0.0000000000,0.0067481725,0.0217810068,0.0000000000,0.0106733777,0.0121379625,0.0050731497,0.0271400046,0.0000000000,0.0062326700,0.0000000000,0.0112666897,0.0085109081,0.0000000000,0.0088412371,0.0096804574,0.0263936054,0.0275347121,0.0089411521,0.0106408903,0.0344651714,0.0227151550,0.0109499088,0.0110147446,0.0101181725,0.0085126450,0.0038475974,0.0042956294,0.0000000000,0.0000000000,0.0283579342,0.0902608261,0.0907842889,0.0077732350,0.0085406546,0.0098392051,0.0291909669,0.0343285948,0.0000000497,0.0641627163,-0.0480988361,-0.0145601798,0.0095789004,0.2342110723,0.0022853883,0.0836869553,0.2342334390,0.0199428815
01:50:04:54.703,61,0.0894714743,0.3806144595,0.1403549314,0.0000000000,0.0000000000,0.0107552698,0.0000000000,0.0893808901,0.3819141090,0.0000000000,0.0156333614,0.0000000000,0.0107552642,0.0000000000,0.0067235497,0.0217117313,0.0000000000,0.0106914211,0.0121782813,0.0050912695,0.0272747241,0.0000000000,0.0063110846,0.0000000000,0.0099423537,0.0100094480,0.0000000000,0.0087327203,0.0095581403,0.0264133532,0.0275702626,0.0088529876,0.0105461469,0.0343699902,0.0226540845,0.0108444253,0.0109111145,0.0100530284,0.0084629264,0.0038279926,0.0042698761,0.0000000000,0.0000000000,0.0280413087,0.0898038447,0.0903144255,0.0077592372,0.0085096778,0.0097894855,0.0289193168,0.0339769125,0.0000000557,0.0638407767,-0.0501159690,-0.0151987514,0.0092911562,0.2333083004,0.0022078755,0.0834255219,0.2333306074,0.0198012721
01:50:04:55.705,61,0.0894283429,0.3791170120,0.1401308328,0.0000000000,0.0000000000,0.0108503830,0.0000000000,0.0893412530,0.3804081082,0.0000000000,0.0153483879,0.0000000000,0.0108503755,0.0000000000,0.0067046187,0.0216431338,0.0000000000,0.0107144108,0.0122206686,0.0051118028,0.0274012759,0.0000000000,0.0064115315,0.0000000000,0.0088667618,0.0112232454,0.0000000000,0.0086361403,0.0094475485,0.0264402311,0.0276090875,0.0087749697,0.0104727587,0.0342444070,0.0225607511,0.0107448706,0.0108146202,0.0099949278,0.0084177898,0.0038029216,0.0042400202,0.0000000000,0.0000000000,0.0277635567,0.0894427449,0.0899422541,0.0077541345,0.0084852735,0.0097492812,0.0286655203,0.0336489566,0.0000000590,0.0630948022,-0.0518229268,-0.0156171424,0.0091237836,0.2323879749,0.0021592348,0.0833103806,0.2324102670,0.0196931511
01:50:04:56.706,61,0.0891815871,0.3773863912,0.1404261142,0.0000000000,0.0000000000,0.0109244063,0.0000000000,0.0890972242,0.3786772192,0.0000000000,0.0155625576,0.0000000000,0.0109243970,0.0000000000,0.0066844448,0.0215983447,0.0000000000,0.0107180020,0.0122347930,0.0051094266,0.0274568778,0.0000000000,0.0064726705,0.0000000000,0.0080000740,0.0121913292,0.0000000000,0.0085453466,0.0093448348,0.0264133681,0.0275828857,0.0087017464,0.0104216244,0.0340765044,0.0224346220,0.0106482403,0.0107210046,0.0099238530,0.0083612194,0.0037671265,0.0041993959,0.0000000000,0.0000000000,0.0274694916,0.0889901221,0.0894811675,0.0077486783,0.0084520057,0.0097035998,0.0283860601,0.0333016552,0.0000000575,0.0623083711,-0.0531791560,-0.0158877783,0.0092534041,0.2313308418,0.0021795824,0.0835067257,0.2313530743,0.0196463838
01:50:04:57.708,61,0.0891098380,0.3761010468,0.1401122063,0.0000000000,0.0000000000,0.0110145295,0.0000000000,0.0890280306,0.3773823977,0.0000000000,0.0152014168,0.0000000000,0.0110145193,0.0000000000,0.0066768248,0.0215665419,0.0000000000,0.0107491240,0.0122834658,0.0051294616,0.0275601801,0.0000000000,0.0065767146,0.0000000000,0.0072512608,0.0130628217,0.0000000000,0.0084703341,0.0092598069,0.0264309887,0.0276085641,0.0086416677,0.0103760473,0.0339505412,0.0223327391,0.0105612678,0.0106351003,0.0098790992,0.0083281724,0.0037400201,0.0041688737,0.0000000000,0.0000000000,0.0272265561,0.0885597318,0.0890416950,0.0077440268,0.0084362831,0.0096776951,0.0281490106,0.0330017880,0.0000000575,0.0620525293,-0.0547778122,-0.0162318423,0.0090403538,0.2305393815,0.0021218506,0.0833354443,0.2305616140,0.0195366945
01:50:04:58.709,61,0.0893990919,0.3752498925,0.1396138221,0.0000000000,0.0000000000,0.0111880722,0.0000000000,0.0893213823,0.3765200078,0.0000000000,0.0147434697,0.0000000000,0.0111880600,0.0000000000,0.0066701276,0.0215470381,0.0000000000,0.0107909925,0.0123493196,0.0051559233,0.0276547391,0.0000000000,0.0065690889,0.0000000000,0.0067421235,0.0136164045,0.0000000000,0.0084021054,0.0091825407,0.0264813676,0.0276634563,0.0085806232,0.0103208134,0.0338660330,0.0222721864,0.0104739796,0.0105501357,0.0098555032,0.0083115147,0.0037211115,0.0041454071,0.0000000000,0.0000000000,0.0270247255,0.0880625695,0.0885306373,0.0077224523,0.0084301485,0.0096596628,0.0278853606,0.0326726958,0.0000000521,0.0615984388,-0.0560202599,-0.0166348852,0.0087690940,0.2300120145,0.0020533069,0.0830491632,0.2300342321,0.0194236133
01:50:04:59.711,61,0.0897612050,0.3740734458,0.1393098533,0.0000000000,0.0000000000,0.0113808438,0.0000000000,0.0896874443,0.3753346801,0.0000000000,0.0144512933,0.0000000000,0.0113808298,0.0000000000,0.0066805654,0.0215845797,0.0000000000,0.0108573744,0.0124361161,0.0051869913,0.0277691372,0.0000000000,0.0064785201,0.0000000000,0.0060972660,0.0142813241,0.0000000000,0.0083416142,0.0091123777,0.0265602935,0.0277360138,0.0085388543,0.0102799470,0.0338230468,0.0222361870,0.0103971669,0.0104757799,0.0098398281,0.0083010904,0.0037041523,0.0041230363,0.0000000000,0.0000000000,0.0268678591,0.0876539946,0.0881084725,0.0077021732,0.0084359571,0.0096531240,0.0276400857,0.0323665254,0.0000000551,0.0614292622,-0.0570514351,-0.0169100016,0.0085967686,0.2292875499,0.0020063897,0.0828822777,0.2293096632,0.0193214454
01:50:05:00.712,61,0.0902620703,0.3728497028,0.1389967948,0.0000000000,0.0000000000,0.0115542402,0.0000000000,0.0901907310,0.3741017878,0.0000000000,0.0141290687,0.0000000000,0.0115542226,0.0000000000,0.0067171548,0.0216613114,0.0000000000,0.0109580746,0.0125604356,0.0052328855,0.0278770942,0.0000000000,0.0063437377,0.0000000000,0.0054645231,0.0149419103,0.0000000000,0.0083065946,0.0090697818,0.0266796444,0.0278365631,0.0085268347,0.0102757188,0.0337454937,0.0221595075,0.0103324922,0.0104135852,0.0098557454,0.0083154272,0.0036891387,0.0041033765,0.0000000000,0.0000000000,0.0267675593,0.0872742385,0.0877185762,0.0076836129,0.0084622903,0.0096696336,0.0274658035,0.0321413092,0.0000000655,0.0612998568,-0.0580591112,-0.0169417113,0.0084065590,0.2285339981,0.0019553194,0.0827104226,0.2285560817,0.0192158706
01:50:05:01.714,61,0.0907226726,0.3720934689,0.1387367547,0.0000000000,0.0000000000,0.0116923517,0.0000000000,0.0906534195,0.3733388484,0.0000000000,0.0138368858,0.0000000000,0.0116923312,0.0000000000,0.0067609521,0.0217401646,0.0000000000,0.0110640349,0.0126840016,0.0052726846,0.0279710349,0.0000000000,0.0062534935,0.0000000000,0.0047149472,0.0157493558,0.0000000000,0.0082802856,0.0090350881,0.0267734062,0.0279104896,0.0085273692,0.0102917720,0.0336544774,0.0220669694,0.0102747511,0.0103601152,0.0098678088,0.0083259419,0.0036702361,0.0040803659,0.0000000000,0.0000000000,0.0266949311,0.0870388672,0.0874741375,0.0076691154,0.0084830746,0.0096823154,0.0272991154,0.0319259427,0.0000000744,0.0609317794,-0.0583589785,-0.0169231016,0.0082336077,0.2280676067,0.0019110453,0.0825645626,0.2280896753,0.0191415418
