Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
01:56:44:12.884,61,0.0767846182,0.2690605521,0.1395757645,0.0000000000,0.0000000000,0.0254205558,0.0000000000,0.0767855197,0.2699862421,0.0000000000,0.0107921204,0.0000000000,0.0254194103,0.0000000000,0.0134645170,0.0084262583,0.0000000000,0.0289410390,0.0361611471,0.0275174230,0.0741288736,0.0000000000,0.0014867826,0.0000000000,0.0000000000,0.0937360153,0.0657345653,0.0130607095,0.0138086695,0.0512341075,0.0532224253,0.0150722051,0.0146468971,0.0490222014,0.0295065045,0.0123935184,0.0125489989,0.0251595825,0.0228406806,0.0062704817,0.0068051433,0.0000000000,0.0000000000,0.0401687697,0.0497518629,0.0498964414,0.0139420284,0.0168616176,0.0175320208,0.0348249599,0.0405304134,0.0000000083,0.0206072927,-0.0907823965,0.0143783707,0.0065030735,0.1649287492,0.0010823676,0.0841102079,0.1649481952,0.0139836241
01:56:44:13.886,61,0.0766373277,0.2672429979,0.1401363611,0.0000000000,0.0000000000,0.0256166346,0.0000000000,0.0766382217,0.2681696117,0.0000000000,0.0113990074,0.0000000000,0.0256153904,0.0000000000,0.0135156205,0.0080970097,0.0000000000,0.0290491302,0.0363138616,0.0278092977,0.0742721185,0.0000000000,0.0014870006,0.0000000000,0.0000000000,0.0957644656,0.0678145364,0.0130605763,0.0137992809,0.0514557548,0.0534700900,0.0150687480,0.0146588571,0.0490549132,0.0295552649,0.0123958699,0.0125480667,0.0252703484,0.0229452830,0.0063034524,0.0068412921,0.0000000000,0.0000000000,0.0401168391,0.0490412079,0.0491865575,0.0139558986,0.0169111323,0.0175545327,0.0347771235,0.0404711924,0.0000000081,0.0210188199,-0.0910944045,0.0144788530,0.0068700342,0.1638194174,0.0011356126,0.0844635367,0.1638388187,0.0139460703
01:56:44:14.887,61,0.0769448653,0.2664079666,0.1408008486,0.0000000000,0.0000000000,0.0258390065,0.0000000000,0.0769458115,0.2673401833,0.0000000000,0.0120942313,0.0000000000,0.0258376729,0.0000000000,0.0135823414,0.0077159200,0.0000000000,0.0291941352,0.0365162529,0.0282274541,0.0745619088,0.0000000000,0.0014654901,0.0000000000,0.0000000000,0.0975384638,0.0697081983,0.0130767915,0.0138072334,0.0517321490,0.0537743792,0.0150810713,0.0146772806,0.0491678417,0.0296530928,0.0124221724,0.0125708608,0.0254484788,0.0231147707,0.0063580284,0.0069005652,0.0000000000,0.0000000000,0.0400967225,0.0482091606,0.0483564362,0.0139964381,0.0169806182,0.0175972655,0.0347732194,0.0404628739,0.0000000068,0.0213361643,-0.0914992094,0.0143639576,0.0072896471,0.1633132249,0.0012011827,0.0848711506,0.1633325368,0.0139691252
01:56:44:15.889,61,0.0787063614,0.2663815916,0.1411090940,0.0000000000,0.0000000000,0.0261009634,0.0000000000,0.0787077844,0.2673175931,0.0000000000,0.0124063026,0.0000000000,0.0260995440,0.0000000000,0.0136655439,0.0073455218,0.0000000000,0.0293742418,0.0367559493,0.0286783800,0.0749704093,0.0000000000,0.0015005759,0.0000000000,0.0000000000,0.1005552560,0.0727893636,0.0130977957,0.0138233602,0.0520211533,0.0541071109,0.0151277855,0.0147141824,0.0493409149,0.0297757220,0.0124738170,0.0126191303,0.0256268457,0.0232852101,0.0064103650,0.0069602523,0.0000000000,0.0000000000,0.0400996022,0.0473661050,0.0475144088,0.0140731456,0.0170708150,0.0176638160,0.0348430909,0.0405439325,0.0000000051,0.0215370338,-0.0924069434,0.0140067227,0.0074777603,0.1632996351,0.0012320749,0.0850571841,0.1633189768,0.0139984842
01:56:44:16.890,61,0.0809008405,0.2659085691,0.1404998749,0.0000000000,0.0000000000,0.0264073722,0.0000000000,0.0809034184,0.2668353021,0.0000000000,0.0117608663,0.0000000000,0.0264058560,0.0000000000,0.0137821948,0.0069105490,0.0000000000,0.0296000075,0.0370584056,0.0292402413,0.0754787475,0.0000000000,0.0015295197,0.0000000000,0.0000000000,0.1046811268,0.0770571753,0.0131334430,0.0138531690,0.0523931310,0.0545288436,0.0151911620,0.0147631736,0.0495453961,0.0299111530,0.0125385355,0.0126806814,0.0258876923,0.0235363971,0.0064740586,0.0070328726,0.0000000000,0.0000000000,0.0401231237,0.0460808910,0.0462298207,0.0141714644,0.0171829220,0.0177526604,0.0349516384,0.0406667292,0.0000000045,0.0218880847,-0.0933871940,0.0130915986,0.0070890752,0.1630045772,0.0011658857,0.0846939906,0.1630238593,0.0139132254
01:56:44:17.892,61,0.0832935423,0.2652556300,0.1403083950,0.0000000000,0.0000000000,0.0267488360,0.0000000000,0.0832976401,0.2661776841,0.0000000000,0.0115779340,0.0000000000,0.0267472342,0.0000000000,0.0139549635,0.0063270135,0.0000000000,0.0299976561,0.0375968032,0.0318186805,0.0768244341,0.0000000000,0.0015246676,0.0000000000,0.0000000000,0.1084760651,0.0812930986,0.0132179055,0.0139313014,0.0532162562,0.0556932539,0.0152896307,0.0148320710,0.0498364605,0.0300942753,0.0126183983,0.0127550205,0.0263773501,0.0240075402,0.0065878327,0.0071585844,0.0000000000,0.0000000000,0.0403067097,0.0453188121,0.0454667583,0.0142759411,0.0173482802,0.0178912189,0.0351401865,0.0408815667,0.0000000040,0.0222069006,-0.0952018574,0.0121434284,0.0069792690,0.1626027375,0.0011449470,0.0845841095,0.1626219898,0.0138603589
01:56:44:18.894,61,0.0845332146,0.2651250958,0.1404473931,0.0000000000,0.0000000000,0.0270825326,0.0000000000,0.0845376775,0.2660484612,0.0000000000,0.0117300879,0.0000000000,0.0270808507,0.0000000000,0.0141386045,0.0057504582,0.0000000000,0.0304523483,0.0382276252,0.0340252332,0.0776791945,0.0000000000,0.0014221260,0.0000000000,0.0000000000,0.1102645174,0.0832384750,0.0133254798,0.0140303597,0.0544888563,0.0571342185,0.0153903216,0.0148974694,0.0501078703,0.0302722286,0.0126733901,0.0128040966,0.0270174053,0.0246160477,0.0067289267,0.0073118238,0.0000000000,0.0000000000,0.0406140387,0.0447907895,0.0449384078,0.0143320495,0.0175184533,0.0180332083,0.0353109725,0.0410717875,0.0000000056,0.0223500766,-0.0966724679,0.0113951974,0.0070710802,0.1625238657,0.0011594356,0.0846690163,0.1625431478,0.0138673922
01:56:44:19.896,61,0.0855127797,0.2650592029,0.1404672563,0.0000000000,0.0000000000,0.0273975916,0.0000000000,0.0855172798,0.2659826279,0.0000000000,0.0117568010,0.0000000000,0.0273958556,0.0000000000,0.0143657932,0.0051557021,0.0000000000,0.0309700053,0.0390980989,0.0376395546,0.0785515681,0.0000000000,0.0012264969,0.0000000000,0.0000000000,0.1124810502,0.0854398683,0.0134571083,0.0141510619,0.0570958555,0.0597460158,0.0154956570,0.0149364760,0.0504781827,0.0305349659,0.0127233807,0.0128482329,0.0285218917,0.0258967467,0.0069326661,0.0075323731,0.0000000000,0.0000000000,0.0410117023,0.0443323553,0.0444798246,0.0143659208,0.0177081376,0.0181957409,0.0355285220,0.0413151532,0.0000000071,0.0223059468,-0.0976190791,0.0108232964,0.0070872298,0.1624836624,0.0011617913,0.0846815407,0.1625029296,0.0138659449
01:56:44:20.897,61,0.0866262242,0.2645965815,0.1402353346,0.0000000000,0.0000000000,0.0277726483,0.0000000000,0.0866294876,0.2655155063,0.0000000000,0.0115127666,0.0000000000,0.0277708657,0.0000000000,0.0146459909,0.0045228628,0.0000000000,0.0316204876,0.0410111733,0.0422445759,0.0799735859,0.0000000000,0.0009934079,0.0000000000,0.0000000000,0.1163838431,0.0893224850,0.0136143481,0.0143011548,0.0607884079,0.0635588989,0.0156340487,0.0149760609,0.0509381108,0.0308519527,0.0127761131,0.0128927929,0.0307629779,0.0279120654,0.0071780267,0.0077999728,0.0000000000,0.0000000000,0.0415247045,0.0439722650,0.0441202745,0.0143869789,0.0179480258,0.0184062589,0.0358171053,0.0416402407,0.0000000084,0.0218755882,-0.0979538485,0.0105194449,0.0069404459,0.1621981561,0.0011356948,0.0845456496,0.1622173786,0.0138189942
01:56:44:21.899,61,0.0882082209,0.2642950118,0.1400034130,0.0000000000,0.0000000000,0.0282055475,0.0000000000,0.0882102326,0.2652100325,0.0000000000,0.0112527842,0.0000000000,0.0282037221,0.0000000000,0.0150493635,0.0038182111,0.0000000000,0.0337494649,0.0442301184,0.0508856624,0.0831934586,0.0000000000,0.0007558081,0.0000000000,0.0000000000,0.1242794245,0.0970157981,0.0138222277,0.0145015679,0.0668292269,0.0698466226,0.0158442333,0.0150424000,0.0515219830,0.0312396996,0.0128607238,0.0129663432,0.0347099192,0.0315834805,0.0074821045,0.0081292810,0.0000000000,0.0000000000,0.0421649888,0.0434540994,0.0436023213,0.0144447591,0.0182526521,0.0186805427,0.0361997820,0.0420828648,0.0000000091,0.0214974806,-0.0980918854,0.0100073554,0.0067839231,0.1620113701,0.0011087818,0.0844083652,0.1620306224,0.0137804477
01:56:44:22.900,61,0.0898339078,0.2639986277,0.1390175074,0.0000000000,0.0000000000,0.0286456738,0.0000000000,0.0898349658,0.2649002671,0.0000000000,0.0102284243,0.0000000000,0.0286438242,0.0000000000,0.0155079775,0.0030977060,0.0000000000,0.0364822745,0.0471715406,0.0580201037,0.0865279734,0.0000000000,0.0005013195,0.0000000000,0.0000000000,0.1281283200,0.1011984646,0.0140638873,0.0147372643,0.0722031668,0.0754924640,0.0160840433,0.0151178092,0.0521421358,0.0316442251,0.0129544223,0.0130486507,0.0384422243,0.0350901224,0.0078147519,0.0084891813,0.0000000000,0.0000000000,0.0431075841,0.0430496298,0.0431984961,0.0145192258,0.0185811389,0.0189798679,0.0366193242,0.0425656028,0.0000000066,0.0211830307,-0.0982577428,0.0093646543,0.0061665615,0.1618214995,0.0010066780,0.0838164836,0.1618407369,0.0136677390
01:56:44:23.902,61,0.0918393061,0.2638141811,0.1379171014,0.0000000000,0.0000000000,0.0291141551,0.0000000000,0.0918397382,0.2647014260,0.0000000000,0.0090928553,0.0000000000,0.0291122980,0.0000000000,0.0160593856,0.0023185373,0.0000000000,0.0400764532,0.0498781018,0.0682040006,0.0899632275,0.0000000000,0.0001895077,0.0000000000,0.0000000000,0.1329487115,0.1068435758,0.0143447770,0.0150124421,0.0778566897,0.0813940912,0.0163737796,0.0152026545,0.0528455079,0.0321127474,0.0130756302,0.0131557975,0.0433054715,0.0396807902,0.0082149664,0.0089192539,0.0000000000,0.0000000000,0.0443542898,0.0425506979,0.0427003913,0.0146423681,0.0189464707,0.0193200428,0.0371148176,0.0431358777,0.0000000049,0.0206288677,-0.0980594456,0.0085037174,0.0054820534,0.1616993397,0.0008942473,0.0831545889,0.1617186069,0.0135496585
01:56:44:24.903,61,0.0945638046,0.2641834319,0.1367876083,0.0000000000,0.0000000000,0.0295414515,0.0000000000,0.0945639461,0.2650577426,0.0000000000,0.0079145432,0.0000000000,0.0295396037,0.0000000000,0.0166672599,0.0014596430,0.0000000000,0.0433115885,0.0514380410,0.0770323575,0.0926634818,0.0001344932,0.0000000000,0.0000000000,0.0000000000,0.1362101883,0.1103327647,0.0146527113,0.0153141813,0.0819087997,0.0856623799,0.0166723840,0.0152834440,0.0535792001,0.0326384194,0.0132306181,0.0132935112,0.0485344529,0.0447222814,0.0087045943,0.0094451560,0.0000000000,0.0000000000,0.0456089228,0.0413584188,0.0415065698,0.0148052806,0.0193446036,0.0197001640,0.0377433486,0.0440090485,0.0000000029,0.0199291147,-0.0978890136,0.0074133179,0.0047714827,0.1619164199,0.0007794015,0.0824705884,0.1619357020,0.0134568270
