Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:35:21:33.472,61,0.014679083,0.259492338,0.133512467,0,0,0.023044206,0,0.014669417,0.260309279,0,0.004792115,0,0.023044059,0,0.012169984,0.014286136,0,0.027309537,0.034387436,0.025374908,0.086128116,0.007829518,0,0,0,0.156549916,0.123978011,0.00897653,0.009118319,0.05045696,0.049284864,0.013627791,0.010410774,0.059341412,0.038972434,0.011674576,0.011834038,0.024734331,0.021549335,0.008343557,0.00896511,0,0,0.040076189,0.033462107,0.033869442,0.01513033,0.015596205,0.016842598,0.035644125,0.041310586,2.321E-07,3.49222E-05,-0.067678317,0.007342937,0.002890405,0.159014568,0.000463529,0.080533385,0.159034669,0.012902007
02:35:21:34.474,61,0.014136858,0.260085672,0.134139717,0,0,0.022733895,0,0.014124967,0.26091224,0,0.005437933,0,0.02273375,0,0.011882899,0.014861744,0,0.026642984,0.032994065,0.02311278,0.082811914,0.007733796,0,0,0,0.153825522,0.120976113,0.008781524,0.008919366,0.048726283,0.047737733,0.013313898,0.010229238,0.057795249,0.038376883,0.011455639,0.011624271,0.023924956,0.02090765,0.008085015,0.008690932,0,0,0.039078597,0.03351013,0.033914946,0.014906825,0.015279451,0.016544573,0.035139933,0.040702883,2.729E-07,0.000220119,-0.065032907,0.007289765,0.003279741,0.159383073,0.000527206,0.080907017,0.159403205,0.012992278
02:35:21:35.475,61,0.014062278,0.260955125,0.135466605,0,0,0.022405578,0,0.014047558,0.261800766,0,0.006862328,0,0.022405438,0,0.011584752,0.015431591,0,0.025927922,0.031697176,0.021711351,0.080403991,0.007770748,0,0,0,0.152568787,0.119579621,0.008576546,0.008708385,0.047412109,0.046366505,0.0129813,0.010038388,0.056414221,0.037759226,0.011237455,0.011415939,0.023168875,0.02026107,0.007830272,0.008419702,0,0,0.038182657,0.033867657,0.034269907,0.014688225,0.014952824,0.016234044,0.034656834,0.040120821,2.983E-07,0.000354562,-0.062341154,0.007695328,0.004138466,0.1599264,0.000667549,0.08170031,0.159946531,0.013164852
02:35:21:36.477,61,0.014373885,0.265032321,0.136418864,0,0,0.022010315,0,0.014354514,0.265902877,0,0.007873141,0,0.022010185,0,0.011256557,0.016020933,0,0.025099948,0.030258404,0.020540325,0.079020865,0.007908311,0,0,0,0.150535166,0.118476145,0.008358449,0.008481846,0.04527669,0.044126704,0.012618023,0.009845567,0.05465902,0.037073743,0.01102901,0.011216916,0.022288522,0.019572061,0.007564498,0.008135207,0,0,0.036871154,0.034521207,0.034918025,0.014505468,0.014599101,0.015896542,0.034201223,0.039572049,1.513E-07,0.000388276,-0.059073277,0.008327802,0.004746122,0.162432715,0.000777775,0.082241304,0.162453011,0.013463128
02:35:21:37.479,61,0.014591712,0.26810649,0.137215957,0,0,0.021515684,0,0.014567404,0.268997014,0,0.008802622,0,0.021515563,0,0.010921136,0.016618755,0,0.02429783,0.028919555,0.019431982,0.077959321,0.008045386,0,0,0,0.149863407,0.11825373,0.008138683,0.008252307,0.043320987,0.042180836,0.01225293,0.009658314,0.052816354,0.036293171,0.010812182,0.011008216,0.021311536,0.018854033,0.007288725,0.007841055,0,0,0.035999548,0.042314608,0.042676762,0.014312182,0.014230471,0.015545958,0.033783529,0.039056074,1.009E-07,0.000514634,-0.055673145,0.008665998,0.005304781,0.164323285,0.000879626,0.082696237,0.16434367,0.013697811
02:35:21:38.480,61,0.014918371,0.270570904,0.136901647,0,0,0.02104223,0,0.014889527,0.271465391,0,0.00857657,0,0.021042116,0,0.010626638,0.017162463,0,0.023609236,0.028029323,0.018603401,0.077109017,0.008174135,0,0,0,0.149545997,0.118243948,0.007940191,0.008045064,0.042239551,0.041094258,0.011926138,0.0094931,0.051702749,0.035582315,0.010614191,0.010817939,0.0205536,0.018210877,0.007038037,0.007574057,0,0,0.035305157,0.046629332,0.046967521,0.014121328,0.013895213,0.015229366,0.033431139,0.038613942,6.15E-08,0.000814229,-0.053892147,0.008282131,0.005167258,0.165831029,0.00086483,0.082486175,0.165851489,0.013790757
02:35:21:39.482,61,0.018525578,0.276073843,0.134176925,0,0,0.020615218,0,0.018459911,0.276950598,0,0.005915334,0,0.020615112,0,0.010364384,0.01767946,0,0.023026278,0.027370323,0.017998027,0.076730616,0.008269026,0,0,0,0.149147525,0.117935687,0.007756484,0.007852073,0.041541681,0.040366285,0.011619674,0.009330233,0.050893616,0.034961153,0.010446702,0.010658162,0.019924108,0.017656371,0.006825205,0.007347911,0,0,0.034649827,0.048631754,0.04896307,0.013975611,0.013597077,0.014949077,0.033192962,0.03831286,4.65E-08,0.000885949,-0.052447885,0.00777437,0.003561883,0.169180572,0.000608416,0.080798663,0.169201255,0.013787325
02:35:21:40.483,61,0.020464083,0.27999562,0.13207154,0,0,0.020220401,0,0.020376531,0.280856729,0,0.003843128,0,0.020220306,0,0.010117006,0.018156208,0,0.022496015,0.02682077,0.017477561,0.076357409,0.008373348,0,0,0,0.148552835,0.117356122,0.007587957,0.007674621,0.041001253,0.039792825,0.011338916,0.009171891,0.05027663,0.034433298,0.010289582,0.01050639,0.019364502,0.017153295,0.006644433,0.007156263,0,0,0.034085222,0.049949657,0.050277744,0.013815613,0.013322765,0.014693555,0.032973442,0.038033687,4.73E-08,0.000649048,-0.050141804,0.007197338,0.002313167,0.171566069,0.000400801,0.079498202,0.171586901,0.01376094
02:35:21:41.485,61,0.02161541,0.282254636,0.130324602,0,0,0.019839753,0,0.02151894,0.283099264,0,0.002073424,0,0.019839671,0,0.00991597,0.018591322,0,0.022069575,0.026417654,0.017047649,0.076107085,0.008463841,0,0,0,0.147975415,0.116791003,0.007448629,0.007526816,0.040663999,0.039417643,0.011099664,0.009047848,0.049727157,0.033915628,0.010153394,0.010376674,0.018911585,0.016738378,0.00648613,0.006988684,0,0,0.033676658,0.050891798,0.051217128,0.013667594,0.013080784,0.014475826,0.032840114,0.037841242,6.42E-08,0.000199085,-0.048275195,0.006666331,0.001247691,0.17293568,0.000217947,0.078427911,0.172956556,0.013686619
02:35:21:42.486,61,0.023256313,0.286820233,0.128447086,0,0,0.019491829,0,0.023148358,0.28765282,0,0.00012725,0,0.019491758,0,0.009779297,0.018943921,0,0.021831963,0.026281048,0.016848467,0.076172121,0.00855904,0,0,0,0.145151183,0.113349676,0.007364149,0.007434257,0.040646236,0.039340355,0.010904889,0.008968509,0.049262628,0.033439249,0.010044009,0.010272256,0.018692648,0.016534315,0.006395028,0.006893688,0,0,0.033418823,0.051194046,0.051518668,0.013527476,0.012900612,0.014319114,0.032859851,0.037806828,8.31E-08,-0.000723278,-0.046094619,0.005825234,7.65358E-05,0.175717115,1.35888E-05,0.077260174,0.175738201,0.013704588
02:35:21:43.488,61,0.025136815,0.290355057,0.125954196,0,0,0.019189024,0,0.025020585,0.291163534,0.002423225,0,0,0.019188965,0,0.00976668,0.019188726,0,0.021894027,0.026542226,0.017054902,0.076655112,0.008613523,0,0,0,0.143924564,0.11172647,0.00735013,0.007412501,0.041398376,0.039758638,0.01077912,0.008947096,0.048953284,0.033042491,0.009965949,0.010199121,0.018802127,0.016624158,0.006395894,0.006899635,0,0,0.033405542,0.051161125,0.05148815,0.01339933,0.012803849,0.014245216,0.033029247,0.037946757,9.58E-08,-0.001722376,-0.043583538,0.00531374,-0.001456912,0.177861869,-0.000261897,0.075731635,0.177883118,0.013601439
02:35:21:44.489,61,0.026231749,0.294016182,0.123246804,0,0,0.01887358,0,0.026111431,0.294797003,0.005217096,0,0,0.018873533,0,0.009794337,0.019380182,0,0.022067435,0.026955957,0.017444095,0.078238577,0.008664108,0,0,0,0.142942891,0.110368133,0.007368903,0.007422466,0.042525046,0.04037929,0.010674662,0.008948031,0.048709851,0.032688495,0.009907058,0.010143115,0.01906677,0.01685448,0.006444158,0.006957082,0,0,0.033509515,0.051018335,0.051349793,0.013295188,0.012732378,0.014197393,0.033276543,0.038169392,1.042E-07,-0.003092141,-0.041534238,0.005228638,-0.003135407,0.180082172,-0.000570814,0.074073918,0.18010354,0.013473975
02:35:21:45.491,61,0.028378194,0.296053231,0.123000108,0,0,0.018602325,0,0.028239617,0.296835899,0.005468206,0,0,0.018602293,0,0.009914477,0.019487061,0,0.022431348,0.027907753,0.019017866,0.082298428,0.008787957,0,0,0,0.142273158,0.109566107,0.007435815,0.007480505,0.046255663,0.043048371,0.0106169,0.008988496,0.048599351,0.032427087,0.009886398,0.010125428,0.01960095,0.017320046,0.006577223,0.007104707,0,0,0.033852499,0.050784066,0.051123817,0.013231994,0.012723594,0.014217837,0.033680711,0.038577829,0.000000126,-0.004702386,-0.039425142,0.005170095,-0.003285573,0.181327745,-0.000602381,0.073908873,0.181349233,0.013539049
02:35:21:46.493,61,0.032037016,0.298998833,0.122266367,0,0,0.018363096,0,0.031897102,0.299778789,0.006164035,0,0,0.018363077,0,0.01008024,0.019522497,0,0.022875413,0.028902488,0.020318782,0.085089184,0.008847597,0,0,0,0.14206326,0.10923525,0.007511424,0.007545982,0.048946545,0.045319732,0.010600697,0.009037396,0.048625838,0.032263584,0.009889735,0.01013179,0.020167226,0.01781386,0.006736353,0.007283828,0,0,0.034314338,0.050699979,0.051044766,0.013188767,0.012749345,0.014274952,0.034183897,0.039114922,1.334E-07,-0.00526614,-0.03669025,0.005488137,-0.003702435,0.183125705,-0.000685692,0.073443674,0.183147296,0.013590388
02:35:21:47.494,61,0.035192452,0.301937044,0.120954245,0,0,0.018142017,0,0.035053544,0.302705914,0.007423444,0,0,0.018142009,0,0.010296307,0.019437138,0,0.023447884,0.030639879,0.022599841,0.087448888,0.008874192,0,0,0,0.14195165,0.109069414,0.007613366,0.007637695,0.051898476,0.048104357,0.01061615,0.009106457,0.048742048,0.032166082,0.009907679,0.010152753,0.02089314,0.018423935,0.006942765,0.007514904,0,0,0.034891639,0.050720546,0.05107018,0.013155696,0.012797603,0.014349403,0.034729675,0.039701834,1.359E-07,-0.005479604,-0.034449007,0.005371312,-0.004457417,0.18491438,-0.000833762,0.0726313,0.184936062,0.013574625
02:35:21:48.496,61,0.040270582,0.303787947,0.120341376,0,0,0.017969828,0,0.040138234,0.304552645,0.008007511,0,0,0.017969834,0,0.010575301,0.019260462,0,0.024369421,0.033305656,0.025869291,0.090339094,0.008854043,0,0,0,0.141942412,0.109042369,0.007741736,0.007757802,0.055114649,0.051413536,0.01067311,0.009200404,0.048967667,0.032146335,0.009950888,0.010197255,0.022279555,0.019328008,0.007195752,0.007796785,0,0,0.035538018,0.050570462,0.050923128,0.013143912,0.012884712,0.014461542,0.035348151,0.040378284,1.431E-07,-0.005456743,-0.032023843,0.004861018,-0.004807103,0.186042786,-0.000904786,0.072247982,0.186064571,0.013587432
