Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:17:32:52.283,61,0.0000000000,0.2559176087,0.1094037294,0.0000000000,0.0000000000,0.0135347191,0.1948131025,0.0000000000,0.2564473152,0.0149359070,0.0000000000,0.0000000000,0.0135348244,0.1948243231,0.0109262345,0.0340536423,0.0000000000,0.0281998161,0.0316447839,0.0117782848,0.0524106286,0.0000000000,0.0047759516,0.0000000000,0.0000000000,0.0529377498,0.0093769431,0.0111581627,0.0117999297,0.0431963988,0.0418553390,0.0122780986,0.0152992997,0.0322225206,0.0180349760,0.0089668185,0.0095980484,0.0177034512,0.0156875905,0.0036150287,0.0040843468,0.0000000000,0.0000000000,0.0384725221,0.0821103528,0.0823044702,0.0097136647,0.0104079554,0.0122109409,0.0233743768,0.0263342038,0.0000000081,0.0117459716,0.0504321158,0.0161950998,-0.0090120994,0.1566611826,-0.0014234905,0.0660147443,0.1566752642,0.0104203969
02:17:32:53.285,61,0.0000000000,0.2563612461,0.1099803075,0.0000000000,0.0000000000,0.0135974027,0.1928447336,0.0000000000,0.2568985224,0.0144230286,0.0000000000,0.0000000000,0.0135975042,0.1928581297,0.0109404577,0.0338173658,0.0000000000,0.0282852165,0.0318178236,0.0119234761,0.0525462404,0.0000000000,0.0047623422,0.0000000000,0.0000000000,0.0530554391,0.0095938193,0.0111699570,0.0118103195,0.0434813648,0.0421514697,0.0122533115,0.0152573027,0.0322072580,0.0180433001,0.0089376280,0.0095639620,0.0178577285,0.0158373974,0.0036517533,0.0041254843,0.0000000000,0.0000000000,0.0387844890,0.0820279941,0.0822221190,0.0096972836,0.0104627954,0.0122666638,0.0234524570,0.0264212228,0.0000000067,0.0125206066,0.0508151501,0.0162895601,-0.0087022586,0.1569363922,-0.0013770062,0.0663598105,0.1569504887,0.0104934843
02:17:32:54.286,61,0.0000000000,0.2569007277,0.1105901673,0.0000000000,0.0000000000,0.0136785386,0.1922234893,0.0000000000,0.2574461997,0.0138754565,0.0000000000,0.0000000000,0.0136786383,0.1922391057,0.0110163819,0.0335867144,0.0000000000,0.0285182390,0.0321618207,0.0121932970,0.0527682193,0.0000000000,0.0046510277,0.0000000000,0.0000000000,0.0534521155,0.0100551564,0.0112202428,0.0118591478,0.0439736396,0.0426273830,0.0122665530,0.0152585628,0.0322217532,0.0180595480,0.0089144902,0.0095358072,0.0181512274,0.0161070116,0.0037093239,0.0041890517,0.0000000000,0.0000000000,0.0392231531,0.0821029544,0.0822976083,0.0096920403,0.0105347056,0.0123404562,0.0235652085,0.0265517328,0.0000000060,0.0135983713,0.0509548523,0.0164380316,-0.0083714323,0.1572705060,-0.0013275262,0.0667242929,0.1572846323,0.0105738668
02:17:32:55.288,61,0.0000000000,0.2570137084,0.1108782664,0.0000000000,0.0000000000,0.0138119282,0.2113593370,0.0000000000,0.2575626671,0.0136721032,0.0000000000,0.0000000000,0.0138120297,0.2113814801,0.0111877983,0.0332675986,0.0000000000,0.0289755911,0.0327620916,0.0126847615,0.0532360226,0.0000000000,0.0044569527,0.0000000000,0.0000000000,0.0561635382,0.0134167448,0.0113230096,0.0119602531,0.0461321771,0.0445886403,0.0123543134,0.0152932405,0.0323794410,0.0181526449,0.0089132003,0.0095307659,0.0186296310,0.0165519211,0.0038038210,0.0042915978,0.0000000000,0.0000000000,0.0400793552,0.0823132470,0.0825111717,0.0097111622,0.0106560141,0.0124652991,0.0237305965,0.0267421734,0.0000000051,0.0146859717,0.0510933772,0.0165627543,-0.0082486505,0.1573414654,-0.0013086565,0.0668973699,0.1573556364,0.0106061175
02:17:32:56.290,61,0.0000000000,0.2549239695,0.1113622338,0.0000000000,0.0000000000,0.0139761819,0.2221809775,0.0000000000,0.2554741204,0.0132568218,0.0000000000,0.0000000000,0.0139762824,0.2222104520,0.0114379469,0.0328306668,0.0000000000,0.0297954455,0.0343754217,0.0136099551,0.0541314520,0.0000000000,0.0042872122,0.0000000000,0.0000000000,0.0612225756,0.0192746930,0.0114568900,0.0120880958,0.0498621278,0.0483844839,0.0125120021,0.0153468726,0.0326943360,0.0183213223,0.0089356937,0.0095472308,0.0191882756,0.0170727037,0.0039201183,0.0044191941,0.0000000000,0.0000000000,0.0421095416,0.0830137879,0.0832347199,0.0097581139,0.0108249607,0.0126409307,0.0239441935,0.0269928295,0.0000000046,0.0157255679,0.0509956889,0.0166796241,-0.0079997163,0.1560653299,-0.0012586998,0.0672029182,0.1560793966,0.0105666509
02:17:32:57.291,61,0.0000000000,0.2520557046,0.1120382696,0.0000000000,0.0000000000,0.0141482595,0.2267636508,0.0000000000,0.2526076138,0.0126134492,0.0000000000,0.0000000000,0.0141483592,0.2267974764,0.0117352065,0.0323849171,0.0000000000,0.0306349881,0.0359015241,0.0148327416,0.0548132472,0.0000000000,0.0040831016,0.0000000000,0.0000000000,0.0674319714,0.0253549386,0.0115932692,0.0122202402,0.0533441678,0.0517796986,0.0126932645,0.0153930765,0.0330706611,0.0185317453,0.0089590047,0.0095640253,0.0198003110,0.0176398642,0.0040543354,0.0045669563,0.0000000000,0.0000000000,0.0442357808,0.0849925578,0.0852489546,0.0098012127,0.0110085309,0.0128358072,0.0241786204,0.0272709783,0.0000000038,0.0165294446,0.0498466007,0.0172821786,-0.0076135639,0.1543137431,-0.0011842808,0.0676293597,0.1543277055,0.0105123380
02:17:32:58.293,61,0.0000000000,0.2516823709,0.1119210571,0.0000000000,0.0000000000,0.0143487751,0.2304059863,0.0000000000,0.2522320449,0.0127817672,0.0000000000,0.0000000000,0.0143488757,0.2304422557,0.0120865488,0.0319257490,0.0000000000,0.0323245488,0.0382476039,0.0161357895,0.0559583418,0.0000000000,0.0038946136,0.0000000000,0.0000000000,0.0704468414,0.0282228570,0.0117662856,0.0123854261,0.0564577207,0.0548109859,0.0129255299,0.0154975699,0.0334703699,0.0187378190,0.0089923507,0.0095914332,0.0204997323,0.0182902627,0.0041941409,0.0047211172,0.0000000000,0.0000000000,0.0460993685,0.0857738853,0.0860411599,0.0098597212,0.0112196710,0.0130633255,0.0244447608,0.0275856983,0.0000000027,0.0170977209,0.0480759032,0.0180855207,-0.0077154357,0.1540843993,-0.0011983145,0.0675610229,0.1540983915,0.0104858764
02:17:32:59.294,61,0.0000000000,0.2512387335,0.1121874228,0.0000000000,0.0000000000,0.0145525606,0.2330733538,0.0000000000,0.2517904043,0.0125914812,0.0000000000,0.0000000000,0.0145526659,0.2331115454,0.0124482447,0.0315191299,0.0000000000,0.0338009521,0.0402217619,0.0178364962,0.0586984530,0.0000000000,0.0036580153,0.0000000000,0.0000000000,0.0773118511,0.0351760238,0.0119086150,0.0125156678,0.0588876009,0.0570922717,0.0131494068,0.0155694038,0.0339522623,0.0189911854,0.0090325866,0.0096264109,0.0211885981,0.0189286508,0.0043431222,0.0048843357,0.0000000000,0.0000000000,0.0476678349,0.0863795877,0.0866526961,0.0099513317,0.0114317229,0.0132929357,0.0247702729,0.0279673878,0.0000000037,0.0175062642,0.0471390337,0.0185012165,-0.0076008919,0.1538144946,-0.0011784238,0.0677246377,0.1538284719,0.0104925269
02:17:33:00.296,61,0.0000000000,0.2484606802,0.1131807119,0.0000000000,0.0000000000,0.0147893745,0.2365445495,0.0000000000,0.2490176558,0.0116589647,0.0000000000,0.0000000000,0.0147894816,0.2365849316,0.0128762349,0.0309543144,0.0000000000,0.0357533246,0.0429592133,0.0219561551,0.0610167384,0.0000000000,0.0033901515,0.0000000000,0.0000000000,0.0820686221,0.0403967761,0.0120986793,0.0126919094,0.0629938766,0.0611882992,0.0133921616,0.0156523846,0.0344953127,0.0192947369,0.0090883709,0.0096762022,0.0229644477,0.0203303099,0.0045417245,0.0051026880,0.0000000000,0.0000000000,0.0493175611,0.0866879299,0.0869664475,0.0100519788,0.0116747534,0.0135492608,0.0251163207,0.0283717085,0.0000000056,0.0178737305,0.0462701507,0.0185660422,-0.0070398143,0.1521200538,-0.0010792250,0.0683421195,0.1521338820,0.0104695773
02:17:33:01.297,61,0.0000000000,0.2471445948,0.1139781252,0.0000000000,0.0000000000,0.0150495088,0.2386804521,0.0000000000,0.2477077246,0.0108743319,0.0000000000,0.0000000000,0.0150496196,0.2387248129,0.0134368008,0.0303596072,0.0000000000,0.0394623764,0.0461291410,0.0291606002,0.0630203411,0.0000000000,0.0030933504,0.0000000000,0.0000000000,0.0887498409,0.0467088185,0.0123578217,0.0129453670,0.0701267049,0.0681023374,0.0137164295,0.0157589260,0.0351611264,0.0196868125,0.0091774212,0.0097589018,0.0268039573,0.0235254448,0.0048133777,0.0054024239,0.0000000000,0.0000000000,0.0526972041,0.0872235447,0.0875082165,0.0101655917,0.0119703831,0.0138676465,0.0255442206,0.0288744867,0.0000000065,0.0183701254,0.0448796265,0.0184975564,-0.0065668477,0.1513193697,-0.0010013380,0.0688320622,0.1513331532,0.0104881553
