Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:41:41:05.764,61,0.0009011647,0.2594355345,0.1293627918,0.0000000000,0.0000000000,0.0184235871,0.0200047828,0.0009008193,0.2602072954,0.0018986072,0.0000000000,0.0000000000,0.0184235536,0.0200366974,0.0098528974,0.0186164826,0.0000000000,0.0228918958,0.0301867966,0.0177827273,0.0976693928,0.0078648217,0.0000000000,0.0000000000,0.0000000000,0.1278662384,0.1028428152,0.0078539439,0.0078596538,0.0442651771,0.0432210080,0.0095481360,0.0100633586,0.0421289131,0.0270985197,0.0093250964,0.0094441958,0.0222976133,0.0199532714,0.0058463030,0.0062004207,0.0248108581,0.0243345816,0.0346868858,0.0000000000,0.0000000000,0.0123680104,0.0127137229,0.0142847197,0.0305494554,0.0337864645,0.0000009775,0.0066686729,-0.0401878729,-0.0040912358,-0.0011451724,0.1589517146,-0.0001835757,0.0780309141,0.1589680165,0.0124966335
02:41:41:06.765,61,0.0008293491,0.2600269020,0.1293101609,0.0000000000,0.0000000000,0.0184470862,0.0192392953,0.0008290312,0.2607996464,0.0019528521,0.0000000000,0.0000000000,0.0184470527,0.0192727745,0.0099082142,0.0186159387,0.0000000000,0.0229961760,0.0303358268,0.0180276316,0.0977198482,0.0079722451,0.0000000000,0.0000000000,0.0000000000,0.1279797107,0.1028528139,0.0078625912,0.0078653153,0.0445097610,0.0434368365,0.0095555820,0.0100576179,0.0422260351,0.0271655656,0.0093287220,0.0094464561,0.0224810801,0.0201111324,0.0059142164,0.0062719099,0.0246961638,0.0242139511,0.0346809290,0.0000000000,0.0000000000,0.0123846252,0.0127542205,0.0143285543,0.0307202879,0.0339712016,0.0000009134,0.0064590252,-0.0398310609,-0.0044060559,-0.0011778227,0.1593135893,-0.0001892469,0.0779946521,0.1593299210,0.0125197573
02:41:41:07.767,61,0.0007632566,0.2608340681,0.1293428242,0.0000000000,0.0000000000,0.0184413027,0.0185806118,0.0007629641,0.2616095841,0.0019152540,0.0000000000,0.0000000000,0.0184412692,0.0186148919,0.0099189933,0.0185782406,0.0000000000,0.0230071079,0.0303686950,0.0181678291,0.0976580083,0.0080683781,0.0000000000,0.0000000000,0.0000000000,0.1279882938,0.1027916968,0.0078545548,0.0078531560,0.0446360484,0.0435441099,0.0095346626,0.0100296056,0.0422545224,0.0271893945,0.0093189124,0.0094337370,0.0225726850,0.0201895032,0.0059575839,0.0063175168,0.0244890228,0.0240023471,0.0346174762,0.0000000000,0.0000000000,0.0123897726,0.0127653871,0.0143426294,0.0308476277,0.0341001302,0.0000007857,0.0063720518,-0.0391128622,-0.0045409761,-0.0011550544,0.1598083377,-0.0001861748,0.0780081674,0.1598246694,0.0125614731
02:41:41:08.768,61,0.0007024311,0.2620949149,0.1292497814,0.0000000000,0.0000000000,0.0184044335,0.0180460084,0.0007021619,0.2628729045,0.0020281642,0.0000000000,0.0000000000,0.0184044018,0.0180811640,0.0098944837,0.0186059494,0.0000000000,0.0229464658,0.0303027909,0.0181754120,0.0974935219,0.0081674252,0.0000000000,0.0000000000,0.0000000000,0.1279917955,0.1027311534,0.0078265686,0.0078211287,0.0446469001,0.0435417295,0.0094962073,0.0099754194,0.0422516167,0.0271933321,0.0092917550,0.0094051259,0.0225518048,0.0201699398,0.0059743002,0.0063337358,0.0241427757,0.0236526933,0.0345356427,0.0000000000,0.0000000000,0.0123738833,0.0127529949,0.0143336961,0.0309356619,0.0341775790,0.0000007435,0.0060659214,-0.0387378521,-0.0048355903,-0.0012229958,0.1605800390,-0.0001980943,0.0779423565,0.1605964601,0.0126125524
02:41:41:09.770,61,0.0006464530,0.2629589438,0.1291159242,0.0000000000,0.0000000000,0.0183679163,0.0174343511,0.0006462053,0.2637377083,0.0021816539,0.0000000000,0.0000000000,0.0183678847,0.0174708627,0.0098926276,0.0186824724,0.0000000000,0.0229364634,0.0302994978,0.0182487275,0.0975499973,0.0083001731,0.0000000000,0.0000000000,0.0000000000,0.1280913651,0.1027921215,0.0078083882,0.0077989548,0.0447243638,0.0435894579,0.0094742654,0.0099375546,0.0422949232,0.0272198040,0.0092816046,0.0093941158,0.0225759409,0.0201858785,0.0059997598,0.0063589532,0.0238536019,0.0233566556,0.0345125869,0.0000000000,0.0000000000,0.0123809315,0.0127550876,0.0143392049,0.0310520995,0.0342943184,0.0000006794,0.0060333121,-0.0383797139,-0.0048804637,-0.0013154383,0.1611083597,-0.0002137809,0.0778549835,0.1611247808,0.0126406094
02:41:41:10.772,61,0.0005949359,0.2632609308,0.1287209988,0.0000000000,0.0000000000,0.0183523800,0.0169440806,0.0005947079,0.2640355825,0.0025919136,0.0000000000,0.0000000000,0.0183523484,0.0169820003,0.0099312020,0.0187264867,0.0000000000,0.0229983758,0.0303890947,0.0184129160,0.0976928473,0.0084345201,0.0000000000,0.0000000000,0.0000000000,0.1283984780,0.1030859873,0.0078069926,0.0077936505,0.0449318476,0.0437653251,0.0094816117,0.0099184951,0.0424133874,0.0272936430,0.0092856186,0.0093958126,0.0226825513,0.0202747546,0.0060454844,0.0064055067,0.0236924477,0.0231863633,0.0345929042,0.0000000000,0.0000000000,0.0124038849,0.0127812000,0.0143685322,0.0311912168,0.0344343744,0.0000006341,0.0060255863,-0.0382687598,-0.0048410296,-0.0015627601,0.1612903774,-0.0002542668,0.0776145384,0.1613068134,0.0126161380
02:41:41:11.773,61,0.0005475243,0.2636116147,0.1286128014,0.0000000000,0.0000000000,0.0183299370,0.0165618323,0.0005473145,0.2643858492,0.0026997107,0.0000000000,0.0000000000,0.0183299035,0.0166010950,0.0099973660,0.0187711883,0.0000000000,0.0231021997,0.0305326469,0.0186172146,0.0978264064,0.0085871862,0.0000000000,0.0000000000,0.0000000000,0.1288246214,0.1035020873,0.0078146430,0.0077975732,0.0452126861,0.0440087616,0.0095040519,0.0099112550,0.0425506346,0.0273763295,0.0092918258,0.0094013410,0.0228355043,0.0204027612,0.0061005214,0.0064619263,0.0234227516,0.0229101814,0.0347463042,0.0000000000,0.0000000000,0.0124232741,0.0128123099,0.0143997883,0.0313236862,0.0345745608,0.0000005852,0.0061638597,-0.0381549336,-0.0046114046,-0.0016276982,0.1615043432,-0.0002651899,0.0775465965,0.1615208238,0.0126221357
02:41:41:12.775,61,0.0005038910,0.2642434239,0.1282694638,0.0000000000,0.0000000000,0.0183098074,0.0162687190,0.0005036979,0.2650150657,0.0030631463,0.0000000000,0.0000000000,0.0183097739,0.0163093917,0.0100805610,0.0187998246,0.0000000000,0.0232496522,0.0307326838,0.0188481696,0.0981105044,0.0087480610,0.0000000000,0.0000000000,0.0000000000,0.1293153465,0.1040376797,0.0078299437,0.0078077940,0.0455479100,0.0443053022,0.0095369164,0.0099144178,0.0426992923,0.0274603125,0.0093030110,0.0094122496,0.0230193902,0.0205581151,0.0061563947,0.0065193083,0.0232400894,0.0227186829,0.0349528529,0.0000000000,0.0000000000,0.0124519514,0.0128524480,0.0144430893,0.0314778350,0.0347337238,0.0000005826,0.0066265119,-0.0379583538,-0.0043093530,-0.0018467038,0.1618887782,-0.0003015998,0.0773347467,0.1619053185,0.0126182130
02:41:41:13.776,61,0.0004637349,0.2648010552,0.1280396134,0.0000000000,0.0000000000,0.0182928443,0.0160507374,0.0004635572,0.2655713260,0.0033344170,0.0000000000,0.0000000000,0.0182928108,0.0160926580,0.0101930313,0.0188419167,0.0000000000,0.0234792214,0.0310331266,0.0191542692,0.0985189080,0.0088676345,0.0000000000,0.0000000000,0.0000000000,0.1298986524,0.1046121642,0.0078615928,0.0078357393,0.0459960848,0.0447076708,0.0095920088,0.0099348743,0.0428837314,0.0275581628,0.0093245516,0.0094338162,0.0232633334,0.0207694713,0.0062242099,0.0065893922,0.0230268929,0.0224984214,0.0352121033,0.0000000000,0.0000000000,0.0124890748,0.0129092494,0.0145053305,0.0316615626,0.0349356681,0.0000005947,0.0069802627,-0.0376481563,-0.0041086110,-0.0020101345,0.1622286141,-0.0003289924,0.0771918595,0.1622451693,0.0126218535
02:41:41:14.778,61,0.0004267789,0.2652162313,0.1278809607,0.0000000000,0.0000000000,0.0183013584,0.0158237685,0.0004266154,0.2659856379,0.0035115208,0.0000000000,0.0000000000,0.0183013268,0.0158664919,0.0103440434,0.0188093949,0.0000000000,0.0237869080,0.0314408429,0.0195862837,0.0990119427,0.0089662140,0.0000000000,0.0000000000,0.0000000000,0.1305485368,0.1052415594,0.0079129469,0.0078837033,0.0465587080,0.0452309959,0.0096652005,0.0099757342,0.0430989936,0.0276798289,0.0093574366,0.0094669582,0.0236130934,0.0210761912,0.0063191978,0.0066882554,0.0228499994,0.0223150495,0.0355207622,0.0000000000,0.0000000000,0.0125320833,0.0129895862,0.0145910755,0.0318838730,0.0351860486,0.0000005563,0.0074545345,-0.0368629359,-0.0040147961,-0.0021168136,0.1624817699,-0.0003470024,0.0770930201,0.1624983102,0.0126257427
