Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:32:23:33.452,61,0.0000000000,0.1814201325,0.0998365134,0.0000000000,0.0000000000,0.0423749276,0.4762929678,0.0000000000,0.1817031801,0.0272774491,0.0000000000,0.0000000000,0.0423775762,0.4762910306,0.0242580716,0.0268514939,0.0000000000,0.0459311716,0.0506706908,0.0576928481,0.0809502602,0.0083982591,0.0000000000,0.0000000000,0.0000000000,0.1303011030,0.0896141008,0.0164499208,0.0173347779,0.0919445381,0.0914408341,0.0217274353,0.0163078252,0.0615951568,0.0390191600,0.0125344396,0.0129770236,0.0510641709,0.0489600562,0.0107716704,0.0111461785,0.0029746750,0.0028294809,0.0427867137,0.0000000000,0.0000000000,0.0171198919,0.0193049125,0.0226370580,0.0284136869,0.0325966626,0.0000000043,-0.0242382288,-0.0791108683,-0.0043510329,-0.0165603012,0.1110114604,-0.0018458859,0.0606120713,0.1110279858,0.0067531867
02:32:23:34.453,61,0.0000000000,0.1822186410,0.0995135903,0.0000000000,0.0000000000,0.0423290581,0.4755055606,0.0000000000,0.1825002134,0.0276126657,0.0000000000,0.0000000000,0.0423316844,0.4755042195,0.0246085394,0.0265511088,0.0000000000,0.0464499854,0.0509880856,0.0618838295,0.0813334063,0.0085734222,0.0000000000,0.0000000000,0.0000000000,0.1318914443,0.0915746614,0.0164914150,0.0173655432,0.0945409909,0.0942106321,0.0219149292,0.0162521992,0.0621078014,0.0393947624,0.0125730047,0.0130105577,0.0514508337,0.0492953025,0.0109557258,0.0113238394,0.0024952670,0.0023513832,0.0431343801,0.0000000000,0.0000000000,0.0171966478,0.0194285270,0.0227708463,0.0285878778,0.0327965058,0.0000000033,-0.0240055304,-0.0790866762,-0.0041629630,-0.0167628974,0.1114987731,-0.0018767366,0.0604127422,0.1115153208,0.0067607942
02:32:23:35.455,61,0.0000000000,0.1833619475,0.0996470079,0.0000000000,0.0000000000,0.0422014296,0.4745452404,0.0000000000,0.1836464703,0.0274724849,0.0000000000,0.0000000000,0.0422040336,0.4745444655,0.0249940734,0.0262557231,0.0000000000,0.0470699444,0.0513742566,0.0652317628,0.0817924365,0.0087586595,0.0000000000,0.0000000000,0.0000000000,0.1341532916,0.0938771218,0.0165538788,0.0174167324,0.0968808085,0.0964949280,0.0221124049,0.0162098259,0.0625857487,0.0397456847,0.0126091260,0.0130437920,0.0518996157,0.0496783182,0.0111378543,0.0115041714,0.0018467237,0.0017031878,0.0435578078,0.0000000000,0.0000000000,0.0172801726,0.0195497163,0.0229042545,0.0287522878,0.0329891704,0.0000000024,-0.0237185545,-0.0783792064,-0.0038871968,-0.0166764874,0.1121989265,-0.0018788859,0.0604889877,0.1122155562,0.0068121790
02:32:23:36.457,61,0.0000000000,0.1835054606,0.1000747010,0.0000000000,0.0000000000,0.0421268418,0.4736961722,0.0000000000,0.1837940216,0.0270070545,0.0000000000,0.0000000000,0.0421294756,0.4736959636,0.0254047848,0.0260097217,0.0000000000,0.0477125011,0.0518179238,0.0674091652,0.0822106451,0.0089716157,0.0000000000,0.0000000000,0.0000000000,0.1376625746,0.0970923677,0.0166200437,0.0174720418,0.0991425589,0.0986146405,0.0223080162,0.0161792915,0.0630060136,0.0400522798,0.0126415025,0.0130737303,0.0523931794,0.0500935800,0.0113091441,0.0116745178,0.0011644238,0.0010210257,0.0440013669,0.0000000000,0.0000000000,0.0173529014,0.0196784325,0.0230496600,0.0289412104,0.0332142264,0.0000000018,-0.0232829340,-0.0778942928,-0.0037958799,-0.0163937956,0.1122885495,-0.0018485265,0.0607480109,0.1123051494,0.0068468214
02:32:23:37.458,61,0.0000000000,0.1839268506,0.1000698954,0.0000000000,0.0000000000,0.0420865528,0.4727421403,0.0000000000,0.1842161268,0.0269824807,0.0000000000,0.0000000000,0.0420892201,0.4727424085,0.0258338340,0.0257409532,0.0000000000,0.0483996831,0.0523175299,0.0693109855,0.0827055499,0.0091541698,0.0000000000,0.0000000000,0.0000000000,0.1414403468,0.1008668467,0.0166822262,0.0175221059,0.1008106321,0.1003651097,0.0225210488,0.0161541421,0.0634588525,0.0403772071,0.0126790609,0.0131094158,0.0528753251,0.0505078621,0.0114831040,0.0118510798,0.0005166661,0.0003737984,0.0444802381,0.0000000000,0.0000000000,0.0174375027,0.0198255908,0.0232152790,0.0291477647,0.0334569812,0.0000000015,-0.0227832440,-0.0773960650,-0.0039407616,-0.0163783971,0.1125463918,-0.0018510673,0.0607433170,0.1125629991,0.0068621449
02:32:23:38.460,61,0.0000000000,0.1842937917,0.0999287292,0.0000000000,0.0000000000,0.0420870073,0.4723458290,0.0000000000,0.1845824569,0.0271190833,0.0000000000,0.0000000000,0.0420897491,0.4723466039,0.0262813345,0.0254730750,0.0000000000,0.0493528768,0.0528710708,0.0719660223,0.0832573548,0.0093251616,0.0000000000,0.0000000000,0.0000000000,0.1431477517,0.1025675163,0.0167682022,0.0175955258,0.1028068289,0.1023877636,0.0227596387,0.0161480084,0.0639121085,0.0406915694,0.0127209127,0.0131498398,0.0534792952,0.0510470122,0.0116726169,0.0120447939,0.0000000000,0.0000000000,0.0449988991,0.0000102771,0.0001517222,0.0175256003,0.0199830625,0.0233955514,0.0293620154,0.0337114371,0.0000000011,-0.0225919336,-0.0770342946,-0.0041754507,-0.0164609011,0.1127703562,-0.0018641246,0.0606560931,0.1127869859,0.0068660541
02:32:23:39.461,61,0.0000000000,0.1842724085,0.0997637510,0.0000000000,0.0000000000,0.0420964733,0.4718657732,0.0000000000,0.1845596433,0.0272660740,0.0000000000,0.0000000000,0.0420993119,0.4718671143,0.0267341137,0.0252211671,0.0000000000,0.0503685921,0.0534764268,0.0749552697,0.0842429325,0.0095146056,0.0000000000,0.0000000000,0.0000000000,0.1449074149,0.1049923822,0.0168487895,0.0176619794,0.1047554463,0.1042783558,0.0229937732,0.0161443595,0.0643819943,0.0410046801,0.0127697280,0.0131976958,0.0540892631,0.0515855029,0.0118565354,0.0122305574,0.0000000000,0.0000000000,0.0455333181,0.0005025803,0.0006430950,0.0176472068,0.0201449767,0.0235817842,0.0295781139,0.0339647159,0.0000000010,-0.0228416901,-0.0770122781,-0.0047525619,-0.0165501479,0.1127565727,-0.0018739994,0.0605560429,0.1127732098,0.0068538995
02:32:23:40.463,61,0.0000000000,0.1846534610,0.0994291231,0.0000000000,0.0000000000,0.0421034433,0.4717664421,0.0000000000,0.1849384010,0.0275946259,0.0000000000,0.0000000000,0.0421064198,0.4717683494,0.0272713508,0.0249216128,0.0000000000,0.0522205234,0.0541487485,0.0807213038,0.0853683800,0.0097090742,0.0000000000,0.0000000000,0.0000000000,0.1467626691,0.1073054597,0.0169639755,0.0177627821,0.1087562069,0.1083634868,0.0232801028,0.0161491074,0.0649362952,0.0413734578,0.0128338672,0.0132588418,0.0554505363,0.0525905117,0.0120873712,0.0124642532,0.0000000000,0.0000000000,0.0461367592,0.0010158126,0.0011556968,0.0177806914,0.0203266181,0.0237914659,0.0298280157,0.0342628881,0.0000000010,-0.0234610420,-0.0770792216,-0.0052088741,-0.0167491361,0.1129883751,-0.0019004613,0.0603513382,0.1130050048,0.0068449196
02:32:23:41.465,61,0.0000000000,0.1849251390,0.0985970870,0.0000000000,0.0000000000,0.0421030000,0.4712546468,0.0000000000,0.1852032542,0.0284304339,0.0000000000,0.0000000000,0.0421061255,0.4712572098,0.0278864633,0.0246056989,0.0000000000,0.0547711104,0.0548725016,0.0892163739,0.0866668671,0.0099237915,0.0000000000,0.0000000000,0.0000000000,0.1488964409,0.1097419485,0.0171054490,0.0178892929,0.1138113439,0.1130300686,0.0235965084,0.0161593314,0.0654979423,0.0417502485,0.0129044233,0.0133262360,0.0582111292,0.0547807440,0.0123727508,0.0127507411,0.0000000000,0.0000000000,0.0467894934,0.0013986873,0.0015371419,0.0179296732,0.0205308888,0.0240303818,0.0301024988,0.0345936902,0.0000000013,-0.0238837376,-0.0771197230,-0.0056136339,-0.0172561277,0.1131511480,-0.0019608266,0.0598451942,0.1131678224,0.0067974459
02:32:23:42.466,61,0.0000000000,0.1850825548,0.0973807275,0.0000000000,0.0000000000,0.0421112813,0.4707064629,0.0000000000,0.1853502542,0.0296698604,0.0000000000,0.0000000000,0.0421146005,0.4707097411,0.0285962448,0.0242400412,0.0000000000,0.0588681325,0.0563251562,0.1013794169,0.0899534300,0.0101607786,0.0000000000,0.0000000000,0.0000000000,0.1510310471,0.1124042347,0.0172801297,0.0180466492,0.1198762357,0.1186341792,0.0239561889,0.0161901154,0.0660919771,0.0421398170,0.0129930703,0.0134122288,0.0626493618,0.0586564094,0.0127087152,0.0130884722,0.0000000000,0.0000000000,0.0475988612,0.0016671894,0.0018037977,0.0181191582,0.0207679253,0.0243055671,0.0304036662,0.0349632800,0.0000000017,-0.0241964981,-0.0767946541,-0.0057825157,-0.0180082265,0.1132424697,-0.0020479443,0.0591062680,0.1132591367,0.0067190817
02:32:23:43.468,61,0.0000000000,0.1857330799,0.0968054160,0.0000000000,0.0000000000,0.0421630628,0.4707237184,0.0000000000,0.1859966367,0.0302756671,0.0000000000,0.0000000000,0.0421666279,0.4707275331,0.0297615882,0.0238443315,0.0000000000,0.0631496310,0.0582885668,0.1114149019,0.0932444856,0.0104061794,0.0000000000,0.0000000000,0.0000000000,0.1527991891,0.1143726483,0.0175028499,0.0182535108,0.1264937371,0.1250151098,0.0243782811,0.0162510276,0.0667606592,0.0425631255,0.0131046893,0.0135220084,0.0677953064,0.0634665266,0.0130958604,0.0134785278,0.0000000000,0.0000000000,0.0485793464,0.0018092911,0.0019433736,0.0183366127,0.0210353825,0.0246159341,0.0307544414,0.0353951678,0.0000000021,-0.0243113358,-0.0767062977,-0.0059238742,-0.0183750950,0.1136381552,-0.0020970260,0.0587544218,0.1136548519,0.0067026694
02:32:23:44.469,61,0.0000000000,0.1862846911,0.0967804044,0.0000000000,0.0000000000,0.0421617590,0.4701617062,0.0000000000,0.1865488589,0.0303042606,0.0000000000,0.0000000000,0.0421655402,0.4701662064,0.0309836809,0.0234390628,0.0000000000,0.0668583512,0.0602535568,0.1194337308,0.0965617970,0.0106321201,0.0000000000,0.0000000000,0.0000000000,0.1549412906,0.1164303496,0.0177408848,0.0184749477,0.1311243027,0.1295002699,0.0248153284,0.0163144600,0.0674442500,0.0429971963,0.0132205505,0.0136364195,0.0713956505,0.0667861551,0.0135073271,0.0138936657,0.0000000000,0.0000000000,0.0494778901,0.0019606482,0.0020922902,0.0185694136,0.0213112962,0.0249305665,0.0311324801,0.0358629711,0.0000000025,-0.0239518881,-0.0762997642,-0.0062560956,-0.0183917396,0.1139755845,-0.0021052116,0.0587369837,0.1139922887,0.0067207483
