Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
01:11:50:19.292,61,0.0343067236,0.2383824438,0.1293658018,0.0000000000,0.0000000000,0.0208013952,0.0000000000,0.0343009420,0.2391071022,0.0000000000,0.0094996616,0.0000000000,0.0208014138,0.0000000000,0.0061462880,0.0193202104,0.0000000000,0.0129170502,0.0145196952,0.0050981827,0.0309852175,0.0000000000,0.0014710070,0.0000000000,0.0000000000,0.0230640043,0.0016422499,0.0067028641,0.0068562753,0.0184761584,0.0181659572,0.0082975067,0.0121007198,0.0316096209,0.0192965362,0.0098815728,0.0103129391,0.0091222683,0.0077073965,0.0026493799,0.0029988859,0.0000000000,0.0000000000,0.0150890527,0.0344700292,0.0346126705,0.0100661395,0.0097797895,0.0107153887,0.0224919096,0.0257163048,0.0000005486,0.0311058890,-0.0036013878,-0.0270460825,0.0057412218,0.1460646391,0.0008445997,0.0781869665,0.1460689902,0.0114903925
01:11:50:20.293,61,0.0371633954,0.2402646244,0.1294566691,0.0000000000,0.0000000000,0.0207910445,0.0000000000,0.0371588618,0.2409957945,0.0000000000,0.0096015465,0.0000000000,0.0207910649,0.0000000000,0.0061474061,0.0192975402,0.0000000000,0.0129711311,0.0145874126,0.0051255836,0.0311906934,0.0000000000,0.0015437191,0.0000000000,0.0000000000,0.0231329016,0.0015744630,0.0066881934,0.0068412977,0.0184906200,0.0181775782,0.0083105974,0.0121046267,0.0316595174,0.0193069559,0.0098870303,0.0103161298,0.0091311159,0.0077222446,0.0026588799,0.0030092839,0.0000000000,0.0000000000,0.0151580591,0.0344303250,0.0345728435,0.0100508071,0.0097921900,0.0107248807,0.0226088278,0.0258493703,0.0000005816,0.0309014451,-0.0034768300,-0.0276906583,0.0058018076,0.1472184658,0.0008603527,0.0782286152,0.1472228318,0.0115886275
01:11:50:21.295,61,0.0418211520,0.2436228693,0.1296126544,0.0000000000,0.0000000000,0.0208082292,0.0000000000,0.0418193191,0.2443656027,0.0000000000,0.0097246580,0.0000000000,0.0208082497,0.0000000000,0.0061514326,0.0192470290,0.0000000000,0.0130282985,0.0146584027,0.0051604295,0.0313844979,0.0000000000,0.0016831160,0.0000000000,0.0000000000,0.0232047942,0.0015033018,0.0066786022,0.0068329796,0.0185090937,0.0182014517,0.0083207674,0.0121022370,0.0317255147,0.0193330869,0.0099031720,0.0103281774,0.0091450224,0.0077429488,0.0026726916,0.0030250007,0.0000000000,0.0000000000,0.0151964659,0.0340968072,0.0342381150,0.0100346906,0.0098172426,0.0107456660,0.0227583051,0.0260244273,0.0000005517,0.0311739575,-0.0034302969,-0.0279398765,0.0058743930,0.1492770612,0.0008834791,0.0782989040,0.1492815316,0.0117636165
01:11:50:22.296,61,0.0461057834,0.2466838509,0.1299516261,0.0000000000,0.0000000000,0.0208423473,0.0000000000,0.0461052060,0.2474393398,0.0000000000,0.0100244703,0.0000000000,0.0208423659,0.0000000000,0.0061640963,0.0191955473,0.0000000000,0.0130875316,0.0147313830,0.0051984489,0.0315433815,0.0000000000,0.0018027830,0.0000000000,0.0000000000,0.0232718550,0.0014059016,0.0066728229,0.0068288906,0.0185360927,0.0182322077,0.0083403289,0.0121015962,0.0318101272,0.0193725768,0.0099264141,0.0103471866,0.0091640782,0.0077665285,0.0026899420,0.0030446635,0.0000000000,0.0000000000,0.0152297867,0.0336887911,0.0338288136,0.0100241043,0.0098495362,0.0107760616,0.0229397565,0.0262423847,0.0000004801,0.0313692987,-0.0025789973,-0.0277875755,0.0060537793,0.1511548609,0.0009220858,0.0784814730,0.1511594504,0.0119415671
01:11:50:23.298,61,0.0478882343,0.2486226261,0.1295467466,0.0000000000,0.0000000000,0.0208209679,0.0000000000,0.0478879809,0.2493793517,0.0000000000,0.0096478155,0.0000000000,0.0208209883,0.0000000000,0.0061798808,0.0191990249,0.0000000000,0.0131638190,0.0148139978,0.0052338419,0.0317399800,0.0000000000,0.0018660267,0.0000000000,0.0000000000,0.0233624298,0.0012986895,0.0066688014,0.0068240562,0.0185864381,0.0182732847,0.0083679650,0.0121226124,0.0318843164,0.0193938948,0.0099433716,0.0103596877,0.0091840206,0.0077902456,0.0027002681,0.0030571234,0.0000000000,0.0000000000,0.0153263882,0.0337619707,0.0339013077,0.0100253411,0.0098616658,0.0107870810,0.0230658855,0.0263929050,0.0000005048,0.0318346545,-0.0015123116,-0.0276604146,0.0058252621,0.1523397714,0.0008943431,0.0782228187,0.1523443907,0.0119970450
01:11:50:24.299,61,0.0489843190,0.2501117587,0.1290026605,0.0000000000,0.0000000000,0.0207341798,0.0000000000,0.0489839688,0.2508668005,0.0000000000,0.0091237724,0.0000000000,0.0207342021,0.0000000000,0.0061962958,0.0192312282,0.0000000000,0.0132299028,0.0148830153,0.0052617565,0.0319338106,0.0000000000,0.0019024546,0.0000000000,0.0000000000,0.0234910846,0.0012407599,0.0066594142,0.0068119261,0.0186500363,0.0183210317,0.0083951093,0.0121455658,0.0319353752,0.0193923078,0.0099451244,0.0103586139,0.0091928188,0.0078038522,0.0027028278,0.0030608894,0.0000000000,0.0000000000,0.0154591855,0.0348114744,0.0349550843,0.0100259390,0.0098520555,0.0107772024,0.0231633037,0.0265071150,0.0000006186,0.0318750218,-0.0005180732,-0.0281166621,0.0055080801,0.1532481760,0.0008507693,0.0778834149,0.1532528102,0.0120174447
01:11:50:25.301,61,0.0497580990,0.2521959245,0.1283473969,0.0000000000,0.0000000000,0.0206279811,0.0000000000,0.0497575365,0.2529497743,0.0000000000,0.0084836427,0.0000000000,0.0206280090,0.0000000000,0.0062124138,0.0192722343,0.0000000000,0.0133022051,0.0149580622,0.0052929139,0.0321419239,0.0000000000,0.0019309926,0.0000000000,0.0000000000,0.0236347225,0.0012067050,0.0066493861,0.0067986716,0.0187210236,0.0183761846,0.0084197568,0.0121644521,0.0319810063,0.0193861499,0.0099409269,0.0103520323,0.0092021981,0.0078174621,0.0027056129,0.0030649460,0.0000000000,0.0000000000,0.0156115470,0.0359935947,0.0361406691,0.0100233406,0.0098401951,0.0107657351,0.0232528728,0.0266111866,0.0000008259,0.0311474800,0.0007819085,-0.0288473126,0.0051206187,0.1545202881,0.0007975939,0.0774725229,0.1545249373,0.0120549882
01:11:50:26.303,61,0.0504442193,0.2548126578,0.1274630576,0.0000000000,0.0000000000,0.0205611512,0.0000000000,0.0504435971,0.2555640042,0.0000000000,0.0076164310,0.0000000000,0.0205611829,0.0000000000,0.0062179845,0.0192924179,0.0000000000,0.0133451959,0.0150031010,0.0053119855,0.0322948880,0.0000000000,0.0019992755,0.0000000000,0.0000000000,0.0237181764,0.0010686605,0.0066394135,0.0067866403,0.0187563933,0.0184004009,0.0084393388,0.0121723963,0.0320337936,0.0194017328,0.0099440347,0.0103534581,0.0092052165,0.0078251660,0.0027114917,0.0030725033,0.0000000000,0.0000000000,0.0157277901,0.0364585184,0.0366055593,0.0100164246,0.0098342141,0.0107631665,0.0233380944,0.0267122909,0.0000009744,0.0303674005,0.0016065697,-0.0296618063,0.0045960313,0.1561168134,0.0007234018,0.0769195110,0.1561216116,0.0120948004
01:11:50:27.304,61,0.0511734299,0.2579548657,0.1267705262,0.0000000000,0.0000000000,0.0205231253,0.0000000000,0.0511727445,0.2587072849,0.0000000000,0.0069361343,0.0000000000,0.0205231607,0.0000000000,0.0062267873,0.0193016231,0.0000000000,0.0134032685,0.0150627038,0.0053347433,0.0324696228,0.0000000000,0.0020509958,0.0000000000,0.0000000000,0.0237820297,0.0009698689,0.0066336510,0.0067805178,0.0187985282,0.0184325315,0.0084616207,0.0121865962,0.0321067236,0.0194287430,0.0099559454,0.0103622619,0.0092117526,0.0078370227,0.0027193462,0.0030816398,0.0000000000,0.0000000000,0.0158314276,0.0366947055,0.0368411094,0.0100163491,0.0098351128,0.0107665835,0.0234378576,0.0268274806,0.0000010813,0.0297034625,0.0025094599,-0.0298865382,0.0041842423,0.1580367237,0.0006668226,0.0764783993,0.1580415070,0.0121759288
01:11:50:28.306,61,0.0518001579,0.2593764067,0.1261146963,0.0000000000,0.0000000000,0.0204796195,0.0000000000,0.0517993607,0.2601252794,0.0000000000,0.0062778103,0.0000000000,0.0204796605,0.0000000000,0.0062340489,0.0193348769,0.0000000000,0.0134522198,0.0151089588,0.0053500463,0.0326117463,0.0000000000,0.0021162084,0.0000000000,0.0000000000,0.0238710493,0.0008529294,0.0066253738,0.0067722830,0.0188344643,0.0184577983,0.0084814094,0.0121985096,0.0321687572,0.0194489509,0.0099599911,0.0103647225,0.0092112403,0.0078427373,0.0027241828,0.0030877984,0.0000000000,0.0000000000,0.0159250181,0.0370017514,0.0371470600,0.0100137740,0.0098284073,0.0107634105,0.0235122778,0.0269158166,0.0000011793,0.0293653756,0.0039456533,-0.0298328437,0.0037865830,0.1589026451,0.0006068125,0.0760722235,0.1589075178,0.0121788811
