Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:09:49:35.984,61,0.0000000000,0.2851357758,0.1211497039,0.0000000000,0.0000000000,0.0158628058,0.0052391212,0.0000000000,0.2858759761,0.0090685440,0.0000000000,0.0000000000,0.0158628877,0.0052496865,0.0211171489,0.0093286289,0.0000000000,0.0376044251,0.0512478501,0.0602580197,0.0841371119,0.0066476706,0.0000000000,0.0000000000,0.0000000000,0.1412525177,0.1048416495,0.0151237836,0.0156436656,0.0946137458,0.0943828970,0.0170204975,0.0138530703,0.0515293293,0.0317831412,0.0114563899,0.0116058784,0.0506633781,0.0460014567,0.0125300344,0.0135811521,0.0000000000,0.0000000000,0.0748832896,0.1304095089,0.1304930151,0.0144995321,0.0159962550,0.0175554883,0.0460558310,0.0524517670,0.0000000049,0.0081575997,-0.0220158361,0.0414615981,-0.0054554036,0.1746343225,-0.0009625000,0.0728843659,0.1746479571,0.0128480345
02:09:49:36.985,61,0.0000000000,0.2842963934,0.1200112179,0.0000000000,0.0000000000,0.0159370638,0.0046630879,0.0000000000,0.2850190401,0.0102224192,0.0000000000,0.0000000000,0.0159371551,0.0046715662,0.0213616583,0.0091244606,0.0000000000,0.0381261930,0.0515997484,0.0612124279,0.0843657106,0.0067661745,0.0000000000,0.0000000000,0.0000000000,0.1419014782,0.1055359915,0.0151749393,0.0156877395,0.0955490917,0.0953472555,0.0170471855,0.0138445850,0.0515514314,0.0318139754,0.0114345262,0.0115826298,0.0511159003,0.0464029349,0.0126544824,0.0137157338,0.0000000000,0.0000000000,0.0744878724,0.1210235953,0.1210806593,0.0145436702,0.0160594936,0.0176136438,0.0460948162,0.0524822250,0.0000000046,0.0086412570,-0.0215851087,0.0404830389,-0.0061501111,0.1741115600,-0.0010817515,0.0722059980,0.1741251796,0.0126897944
02:09:49:37.987,61,0.0000000000,0.2846022248,0.1199806556,0.0000000000,0.0000000000,0.0160043873,0.0037880444,0.0000000000,0.2853251696,0.0102595016,0.0000000000,0.0000000000,0.0160044879,0.0037947835,0.0215515532,0.0089065339,0.0000000000,0.0385853872,0.0518881455,0.0617125928,0.0846266299,0.0067910063,0.0000000000,0.0000000000,0.0000000000,0.1424492896,0.1060797200,0.0151954591,0.0156980082,0.0960672274,0.0959193185,0.0170401856,0.0138114989,0.0515818670,0.0318565927,0.0114124781,0.0115592191,0.0513684675,0.0466454588,0.0127514852,0.0138266180,0.0000000000,0.0000000000,0.0735571608,0.1117177457,0.1117678210,0.0145722618,0.0161057077,0.0176569819,0.0461397432,0.0525292605,0.0000000044,0.0084307566,-0.0213816259,0.0397930816,-0.0061722188,0.1742985845,-0.0010868300,0.0721852407,0.1743121743,0.0127000567
02:09:49:38.988,61,0.0000000000,0.2848516107,0.1203237027,0.0000000000,0.0000000000,0.0160444416,0.0015244954,0.0000000000,0.2855799198,0.0098417988,0.0000000000,0.0000000000,0.0160445515,0.0015314549,0.0217702668,0.0086947195,0.0000000000,0.0391071029,0.0522912182,0.0624090880,0.0850528330,0.0068532731,0.0000000000,0.0000000000,0.0000000000,0.1429053098,0.1065506712,0.0152419526,0.0157379452,0.0967188999,0.0965941250,0.0170660019,0.0137843285,0.0516944043,0.0319319405,0.0114058303,0.0115514379,0.0517394282,0.0470079109,0.0128923375,0.0139805414,0.0000000000,0.0000000000,0.0733818561,0.1102677658,0.1103208289,0.0146328881,0.0161773488,0.0177274719,0.0462507941,0.0526535399,0.0000000044,0.0082140956,-0.0205924287,0.0391905494,-0.0059207617,0.1744539440,-0.0010435015,0.0723896697,0.1744675934,0.0127475439
02:09:49:39.990,61,0.0017005530,0.2844756246,0.1208589673,0.0000000000,0.0000000000,0.0160848964,0.0000000000,0.0016915064,0.2852103710,0.0092918919,0.0000000000,0.0000000000,0.0160850193,0.0000000000,0.0221097749,0.0084351953,0.0000000000,0.0400510505,0.0529906377,0.0680531487,0.0863576606,0.0070371041,0.0000000000,0.0000000000,0.0000000000,0.1443579644,0.1093788221,0.0153334187,0.0158184581,0.1002936289,0.1001337767,0.0171703901,0.0137787750,0.0519678071,0.0320819244,0.0114255417,0.0115680723,0.0526567809,0.0477264784,0.0131119760,0.0142122023,0.0000000000,0.0000000000,0.0752283409,0.1251619309,0.1252607405,0.0147521533,0.0163022801,0.0178469587,0.0464861989,0.0529143624,0.0000000048,0.0077231894,-0.0194996670,0.0384886041,-0.0055901636,0.1742278636,-0.0009839329,0.0727146268,0.1742413938,0.0127877221
02:09:49:40.991,61,0.0044123554,0.2835443318,0.1210641041,0.0000000000,0.0000000000,0.0161343738,0.0000000000,0.0044024922,0.2842794657,0.0090532927,0.0000000000,0.0000000000,0.0161345117,0.0000000000,0.0225284100,0.0081559354,0.0000000000,0.0419447161,0.0543615334,0.0749876425,0.0881607085,0.0071964934,0.0000000000,0.0000000000,0.0000000000,0.1454671621,0.1108173355,0.0154718244,0.0159463082,0.1052566469,0.1050671563,0.0173253417,0.0137920901,0.0523193851,0.0322711430,0.0114632435,0.0116048316,0.0547454767,0.0495504327,0.0133906910,0.0145092681,0.0000000000,0.0000000000,0.0775321871,0.1311978549,0.1313035935,0.0148878759,0.0164671894,0.0180102047,0.0468154885,0.0532807037,0.0000000051,0.0077841016,-0.0191550497,0.0375083908,-0.0054471628,0.1736590564,-0.0009555694,0.0728453249,0.1736726314,0.0127679948
02:09:49:41.993,61,0.0057299337,0.2842544615,0.1211550906,0.0000000000,0.0000000000,0.0161703415,0.0000000000,0.0057196678,0.2849926949,0.0089545026,0.0000000000,0.0000000000,0.0161704924,0.0000000000,0.0229266938,0.0078499299,0.0000000000,0.0432876423,0.0552317202,0.0776385069,0.0891239643,0.0073204334,0.0000000000,0.0000000000,0.0000000000,0.1461833268,0.1116705164,0.0156079065,0.0160754398,0.1075114608,0.1073712111,0.0174660850,0.0137945898,0.0526161678,0.0324429385,0.0114915641,0.0116325021,0.0560218729,0.0507001579,0.0136722466,0.0148130758,0.0000000000,0.0000000000,0.0784465894,0.1333349198,0.1334442943,0.0149871968,0.0166177042,0.0181582514,0.0471318364,0.0536324605,0.0000000049,0.0080225393,-0.0183701888,0.0363183990,-0.0053873099,0.1740946919,-0.0009474892,0.0728945062,0.1741082817,0.0128093017
02:09:49:42.995,61,0.0066306954,0.2849264145,0.1215286404,0.0000000000,0.0000000000,0.0162210204,0.0000000000,0.0066199871,0.2856714129,0.0085654901,0.0000000000,0.0000000000,0.0162211880,0.0000000000,0.0233804565,0.0075544030,0.0000000000,0.0451955944,0.0562731884,0.0815852806,0.0900174826,0.0074654100,0.0000000000,0.0000000000,0.0000000000,0.1468799710,0.1124219224,0.0157796033,0.0162387267,0.1108964160,0.1105327830,0.0176461264,0.0138146989,0.0529395342,0.0326286890,0.0115339933,0.0116746770,0.0586236045,0.0530496128,0.0140057346,0.0151720690,0.0000000000,0.0000000000,0.0793348327,0.1344706863,0.1345820278,0.0151029127,0.0167894233,0.0183338579,0.0475144498,0.0540536158,0.0000000039,0.0079303226,-0.0176169612,0.0349465199,-0.0051528923,0.1745090783,-0.0009084630,0.0731139705,0.1745226979,0.0128789991
02:09:49:43.996,61,0.0071946103,0.2853829563,0.1220790222,0.0000000000,0.0000000000,0.0163163450,0.0000000000,0.0071831779,0.2861366272,0.0079822578,0.0000000000,0.0000000000,0.0163165387,0.0000000000,0.0239233952,0.0073071797,0.0000000000,0.0482046716,0.0579639412,0.0909304023,0.0912034363,0.0076862881,0.0000000000,0.0000000000,0.0000000000,0.1475400627,0.1131203994,0.0160079058,0.0164580774,0.1180890203,0.1169348136,0.0178927314,0.0138488505,0.0533425212,0.0328620486,0.0115846749,0.0117253419,0.0637203604,0.0574155264,0.0144337900,0.0156290289,0.0000000000,0.0000000000,0.0835449845,0.1382382810,0.1383531094,0.0152279539,0.0170044806,0.0185580887,0.0479697064,0.0545613021,0.0000000024,0.0078388620,-0.0171877388,0.0334225707,-0.0048017860,0.1747929454,-0.0008479685,0.0734414682,0.1748065948,0.0129580554
02:09:49:44.998,61,0.0072973836,0.2861469388,0.1223719418,0.0000000000,0.0000000000,0.0164127201,0.0000000000,0.0072850338,0.2869066000,0.0076916744,0.0000000000,0.0000000000,0.0164129417,0.0000000000,0.0245437287,0.0070717200,0.0000000000,0.0517588146,0.0595731772,0.0985268205,0.0920971707,0.0079125511,0.0000000000,0.0000000000,0.0000000000,0.1481083035,0.1136520728,0.0162865352,0.0167307705,0.1242752373,0.1226183102,0.0181729570,0.0138941612,0.0537354909,0.0331031345,0.0116380863,0.0117788613,0.0696306154,0.0627695322,0.0149444873,0.0161764026,0.0000000000,0.0000000000,0.0870150104,0.1398448497,0.1399615705,0.0153399752,0.0172342900,0.0188036542,0.0484700724,0.0551208854,0.0000000018,0.0077060317,-0.0163849741,0.0313966572,-0.0046265987,0.1752631664,-0.0008192752,0.0736116022,0.1752768010,0.0130236736
