Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:38:56:11.997,61,0.0000000000,0.3306306601,0.1113238633,0.0000000000,0.0000000000,0.0109694600,0.1458238363,0.0000000000,0.3313208520,0.0177893378,0.0000000000,0.0000000000,0.0109694749,0.1458404362,0.0092069414,0.0310785789,0.0000000000,0.0243393146,0.0293466318,0.0124820806,0.0655050278,0.0000000000,0.0040501705,0.0000000000,0.0168529022,0.0296059903,0.0000000000,0.0116552562,0.0123297181,0.0472226925,0.0454419591,0.0108706383,0.0129967965,0.0354174823,0.0212814510,0.0097674085,0.0103569962,0.0207836349,0.0191663373,0.0053100730,0.0058751735,0.0000000000,0.0000000000,0.0391822346,0.0475705303,0.0478740893,0.0092917243,0.0099746818,0.0118404143,0.0284387264,0.0309550818,0.0000000277,-0.0047745709,-0.0169786923,0.0219241604,-0.0106450710,0.2024040371,-0.0021844739,0.0666195229,0.2024260461,0.0136618279
02:38:56:12.998,61,0.0000000000,0.3422953784,0.1106149927,0.0000000000,0.0000000000,0.0107697109,0.1252028197,0.0000000000,0.3429968357,0.0187584013,0.0000000000,0.0000000000,0.0107697258,0.1252275556,0.0091104489,0.0310651995,0.0000000000,0.0241807271,0.0292197987,0.0124488762,0.0656324103,0.0000000000,0.0038190512,0.0000000000,0.0168783125,0.0297558643,0.0000000000,0.0115698101,0.0122314477,0.0470126718,0.0451596454,0.0107247392,0.0128624737,0.0353238098,0.0212622322,0.0097067738,0.0102951722,0.0207411423,0.0191287417,0.0053228680,0.0058927485,0.0000000000,0.0000000000,0.0392185748,0.0522908717,0.0526567288,0.0092448490,0.0098827872,0.0117296549,0.0284338705,0.0309653115,0.0000000213,-0.0044120145,-0.0163033195,0.0225455873,-0.0112082390,0.2095382363,-0.0023834868,0.0660969168,0.2095607370,0.0140465526
02:38:56:14.000,61,0.0000000000,0.3499888778,0.1099602580,0.0000000000,0.0000000000,0.0105642173,0.1156743765,0.0000000000,0.3506941497,0.0196178164,0.0000000000,0.0000000000,0.0105642322,0.1157023460,0.0089932866,0.0310900360,0.0000000000,0.0239741951,0.0290359650,0.0123833735,0.0656885579,0.0000000000,0.0035879451,0.0000000000,0.0165909547,0.0302506331,0.0000000000,0.0114611061,0.0121091120,0.0467643850,0.0448327623,0.0105617540,0.0126979118,0.0352195390,0.0212447029,0.0096299239,0.0102159195,0.0206515044,0.0190436989,0.0053347712,0.0059088743,0.0000000000,0.0000000000,0.0392479934,0.0563199669,0.0567107648,0.0091880476,0.0097793248,0.0116095133,0.0284293313,0.0309708063,0.0000000151,-0.0044853655,-0.0149847455,0.0233553965,-0.0117098903,0.2142417729,-0.0025477861,0.0656393692,0.2142646462,0.0142722242
02:38:56:15.001,61,0.0000000000,0.3535146117,0.1090882570,0.0000000000,0.0000000000,0.0103667341,0.1061898768,0.0000000000,0.3542119861,0.0205649715,0.0000000000,0.0000000000,0.0103667490,0.1062223166,0.0088643497,0.0311118197,0.0000000000,0.0237760935,0.0288612451,0.0123159830,0.0657932609,0.0000000000,0.0033578607,0.0000000000,0.0161083173,0.0309048928,0.0000000000,0.0113434633,0.0119758938,0.0464949906,0.0444873422,0.0103878928,0.0125280414,0.0350887254,0.0212067496,0.0095420470,0.0101247579,0.0205343235,0.0189356636,0.0053398022,0.0059184921,0.0000000000,0.0000000000,0.0393632911,0.0599406324,0.0603456013,0.0091253156,0.0096814474,0.0114951106,0.0284293443,0.0309740379,0.0000000135,-0.0050182706,-0.0138354590,0.0240537766,-0.0122694820,0.2163923383,-0.0026971798,0.0650882274,0.2164153308,0.0142991235
02:38:56:16.003,61,0.0000000000,0.3556381762,0.1086948887,0.0000000000,0.0000000000,0.0101849334,0.0954070240,0.0000000000,0.3563329279,0.0209700931,0.0000000000,0.0000000000,0.0101849474,0.0954420716,0.0087331738,0.0310837626,0.0000000000,0.0235741958,0.0286885109,0.0122562405,0.0658640862,0.0000000000,0.0031435685,0.0000000000,0.0155102806,0.0316070057,0.0000000000,0.0112258624,0.0118428627,0.0462354720,0.0441589616,0.0102106342,0.0123549616,0.0349414386,0.0211599246,0.0094497148,0.0100286836,0.0204263087,0.0188347306,0.0053516454,0.0059358515,0.0000000000,0.0000000000,0.0395379923,0.0620024055,0.0624068528,0.0090584550,0.0095969653,0.0113946283,0.0284643937,0.0310071912,0.0000000103,-0.0055099428,-0.0131801553,0.0243102871,-0.0125076091,0.2176887244,-0.0027665268,0.0648349971,0.2177117765,0.0143316425
02:38:56:17.005,61,0.0000000000,0.3578049839,0.1081808656,0.0000000000,0.0000000000,0.0100169620,0.0852816924,0.0000000000,0.3584949374,0.0215419307,0.0000000000,0.0000000000,0.0100169750,0.0853151307,0.0086265374,0.0310177933,0.0000000000,0.0234013610,0.0285525173,0.0122211762,0.0658470690,0.0000000000,0.0029450487,0.0000000000,0.0148596875,0.0325474553,0.0000000000,0.0111265006,0.0117272949,0.0460546762,0.0439064242,0.0100512421,0.0122088082,0.0347738937,0.0210964307,0.0093598580,0.0099350773,0.0203780066,0.0187833589,0.0053718365,0.0059636929,0.0000000000,0.0000000000,0.0397282802,0.0634800196,0.0638764873,0.0089885462,0.0095234225,0.0113066630,0.0285376068,0.0310855098,0.0000000078,-0.0060738162,-0.0135288490,0.0239450186,-0.0128449164,0.2190104723,-0.0028589435,0.0645094737,0.2190336585,0.0143491877
02:38:56:18.006,61,0.0000000000,0.3600119352,0.1073052138,0.0000000000,0.0000000000,0.0098548494,0.0792278796,0.0000000000,0.3606908321,0.0225012861,0.0000000000,0.0000000000,0.0098548615,0.0792607889,0.0085455729,0.0309556630,0.0000000000,0.0232751612,0.0284636468,0.0121942712,0.0658135787,0.0000000000,0.0027712723,0.0000000000,0.0138732679,0.0340777002,0.0000000000,0.0110441400,0.0116296243,0.0459441841,0.0437208489,0.0099198837,0.0120864473,0.0346267261,0.0210330449,0.0092793712,0.0098495660,0.0203584302,0.0187555514,0.0053934148,0.0059931343,0.0000000000,0.0000000000,0.0399300791,0.0645764843,0.0649692863,0.0089240996,0.0094554359,0.0112250987,0.0286359619,0.0311852712,0.0000000077,-0.0065226643,-0.0138485916,0.0236019641,-0.0134129385,0.2203536481,-0.0030042755,0.0639681220,0.2203769237,0.0143190809
02:38:56:19.008,61,0.0000000000,0.3619526327,0.1061618030,0.0000000000,0.0000000000,0.0097103994,0.0710555464,0.0000000000,0.3626155555,0.0236564428,0.0000000000,0.0000000000,0.0097104106,0.0710905939,0.0084794471,0.0308600627,0.0000000000,0.0231855139,0.0284359474,0.0122329248,0.0657361820,0.0000000000,0.0026162197,0.0000000000,0.0132360756,0.0349683203,0.0000000000,0.0109831141,0.0115546826,0.0459299684,0.0436257869,0.0097964648,0.0119714532,0.0344933569,0.0209891163,0.0091988128,0.0097652161,0.0204255115,0.0188084878,0.0054475283,0.0060603125,0.0000000000,0.0000000000,0.0402370654,0.0654087961,0.0657988861,0.0088499365,0.0094102705,0.0111704972,0.0287849382,0.0313419700,0.0000000067,-0.0072877007,-0.0137785384,0.0236290302,-0.0140977958,0.2215316296,-0.0031751054,0.0632696822,0.2215549499,0.0142411999
02:38:56:20.009,61,0.0000000000,0.3623391390,0.1057347953,0.0000000000,0.0000000000,0.0095797591,0.0638483912,0.0000000000,0.3629954159,0.0240794104,0.0000000000,0.0000000000,0.0095797693,0.0638869628,0.0084253382,0.0307550747,0.0000000000,0.0231192261,0.0284364782,0.0122995591,0.0656433403,0.0000000000,0.0024590374,0.0000000000,0.0124706980,0.0359828696,0.0000000000,0.0109277554,0.0114863347,0.0459765084,0.0435876921,0.0096832253,0.0118577871,0.0343896896,0.0209657066,0.0091196941,0.0096825138,0.0205154959,0.0188790653,0.0055146660,0.0061407285,0.0000000000,0.0000000000,0.0406194441,0.0661372617,0.0665249974,0.0087743178,0.0093788458,0.0111321779,0.0289560780,0.0315198787,0.0000000064,-0.0081844609,-0.0134397773,0.0235636421,-0.0143491086,0.2217644900,-0.0032352128,0.0630118772,0.2217878848,0.0141986646
02:38:56:21.011,61,0.0000000000,0.3626242280,0.1058267578,0.0000000000,0.0000000000,0.0094595691,0.0585924499,0.0000000000,0.3632825017,0.0239971392,0.0000000000,0.0000000000,0.0094595784,0.0586326495,0.0084035518,0.0306545403,0.0000000000,0.0231293477,0.0285300389,0.0124420440,0.0656431541,0.0000000000,0.0023242317,0.0000000000,0.0116525209,0.0372905061,0.0000000000,0.0108986292,0.0114459889,0.0461739153,0.0436856113,0.0095923804,0.0117696654,0.0343186148,0.0209516734,0.0090530142,0.0096130427,0.0206887089,0.0190275814,0.0055979439,0.0062387516,0.0000000000,0.0000000000,0.0410472378,0.0669195503,0.0673034638,0.0087107643,0.0093593169,0.0111079896,0.0291639213,0.0317404941,0.0000000061,-0.0089838021,-0.0128695192,0.0235081632,-0.0142995166,0.2219397575,-0.0032266655,0.0630642027,0.2219631523,0.0142220436
