Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
01:43:15:39.570,61,0.0000000000,0.1977109611,0.1377734989,0.0000000000,0.0000000000,0.0259298887,0.2780641317,0.0000000000,0.1983787864,0.0000000000,0.0121500418,0.0000000000,0.0259298831,0.2780946791,0.0144826407,0.0227954257,0.0000000000,0.0297925547,0.0352420546,0.0170068387,0.0516042337,0.0008303497,0.0000000000,0.0000000000,0.0105114952,0.0187322274,0.0000000000,0.0158328563,0.0170355160,0.0565584153,0.0586994626,0.0167515446,0.0159018766,0.0399240218,0.0238000900,0.0102908304,0.0106776431,0.0281002373,0.0256014653,0.0050300462,0.0053509362,0.0000000000,0.0000000000,0.0286697671,0.0280189905,0.0282044467,0.0114282314,0.0153381275,0.0172398463,0.0272119641,0.0308538321,0.0000000452,0.0405438542,-0.0022926261,0.0011523075,0.0073676067,0.1211860254,0.0008972393,0.0835465565,0.1211995855,0.0101634981
01:43:15:40.572,61,0.0000000000,0.1954144239,0.1377423257,0.0000000000,0.0000000000,0.0259163715,0.2808651924,0.0000000000,0.1960742176,0.0000000000,0.0122282831,0.0000000000,0.0259163734,0.2808927298,0.0144921169,0.0228907298,0.0000000000,0.0299108401,0.0353579782,0.0170760322,0.0518670045,0.0007686435,0.0000000000,0.0000000000,0.0102762310,0.0192330331,0.0000000000,0.0158352964,0.0170367807,0.0566141345,0.0587391444,0.0167881902,0.0159318130,0.0399845876,0.0238064658,0.0103109693,0.0107022868,0.0280743688,0.0255755894,0.0050177714,0.0053412057,0.0000000000,0.0000000000,0.0287757367,0.0284158159,0.0285992101,0.0114870183,0.0153689673,0.0172903519,0.0272295270,0.0308996234,0.0000000294,0.0402701758,-0.0024639852,0.0011106732,0.0074163154,0.1197782308,0.0008925775,0.0835418254,0.1197916791,0.0100437310
01:43:15:41.573,61,0.0000000000,0.1925188750,0.1381440908,0.0000000000,0.0000000000,0.0259686373,0.2827678919,0.0000000000,0.1931724250,0.0000000000,0.0127466554,0.0000000000,0.0259686466,0.2827927768,0.0144773703,0.0230248403,0.0000000000,0.0299947243,0.0354069993,0.0170508120,0.0521235503,0.0006087603,0.0000000000,0.0000000000,0.0098731881,0.0198145732,0.0000000000,0.0158114936,0.0170136224,0.0565070994,0.0586414263,0.0168363247,0.0159863140,0.0399871916,0.0237600803,0.0103356019,0.0107318629,0.0279027447,0.0254184455,0.0049742036,0.0052974271,0.0000000000,0.0000000000,0.0288732834,0.0286912248,0.0288721155,0.0115593793,0.0154171772,0.0173703358,0.0272404458,0.0309348293,0.0000000216,0.0402335785,-0.0024841540,0.0015275064,0.0077323397,0.1180058941,0.0009167113,0.0838031620,0.1180192083,0.0099246083
01:43:15:42.575,61,0.0000000000,0.1875384450,0.1398905814,0.0000000000,0.0000000000,0.0260170661,0.2829889059,0.0000000000,0.1881902665,0.0000000000,0.0146723781,0.0000000000,0.0260170773,0.2830132246,0.0143684056,0.0231987964,0.0000000000,0.0299018621,0.0352399535,0.0168896560,0.0522016734,0.0004175284,0.0000000000,0.0000000000,0.0093654925,0.0203241017,0.0000000000,0.0157189220,0.0169172604,0.0560934246,0.0582418032,0.0167858023,0.0159971267,0.0398434699,0.0236353017,0.0103347953,0.0107328389,0.0275415536,0.0250811335,0.0049002869,0.0052209976,0.0000000000,0.0000000000,0.0288862661,0.0289607942,0.0291417893,0.0116106002,0.0154170664,0.0173938293,0.0271616448,0.0308557283,0.0000000156,0.0405020081,-0.0029625900,0.0024329505,0.0089036860,0.1149634793,0.0010281182,0.0848927945,0.1149765998,0.0097918399
01:43:15:43.577,61,0.0000000000,0.1778133214,0.1444714814,0.0000000000,0.0000000000,0.0260536019,0.2758909166,0.0000000000,0.1784690022,0.0000000000,0.0195745118,0.0000000000,0.0260536131,0.2759358585,0.0141914347,0.0233866423,0.0000000000,0.0297762472,0.0350295417,0.0166594386,0.0521910712,0.0003121177,0.0000000000,0.0000000000,0.0086937668,0.0207336824,0.0000000000,0.0155959502,0.0167884529,0.0555316284,0.0576788709,0.0166769978,0.0160052311,0.0395388268,0.0234120246,0.0103052231,0.0107033476,0.0270972736,0.0246634204,0.0048058070,0.0051223603,0.0000000000,0.0000000000,0.0290314350,0.0296265110,0.0298375785,0.0116084069,0.0154035026,0.0173980836,0.0270159375,0.0306919254,0.0000000155,0.0410630889,-0.0041594976,0.0037655840,0.0118863974,0.1090282425,0.0013010812,0.0877311528,0.1090410128,0.0095917787
01:43:15:44.578,61,0.0000000000,0.1681029648,0.1465093940,0.0000000000,0.0000000000,0.0261286553,0.2647154629,0.0000000000,0.1687383652,0.0000000000,0.0219272710,0.0000000000,0.0261286646,0.2647699118,0.0140088238,0.0235685837,0.0000000000,0.0296318624,0.0348100178,0.0164388008,0.0521721207,0.0001578999,0.0000000000,0.0000000000,0.0080899727,0.0211499874,0.0000000000,0.0154693741,0.0166586600,0.0549825281,0.0571275502,0.0165590532,0.0160009190,0.0392353721,0.0231983531,0.0102723241,0.0106681073,0.0266554020,0.0242504049,0.0047151032,0.0050290893,0.0000000000,0.0000000000,0.0291876271,0.0301177204,0.0303382035,0.0115965884,0.0153903877,0.0174010713,0.0268715676,0.0305292308,0.0000000186,0.0430364832,-0.0059748767,0.0051974123,0.0133235091,0.1030855849,0.0013783061,0.0890247971,0.1030979902,0.0091985147
01:43:15:45.580,61,0.0000000000,0.1750026792,0.1418786794,0.0000000000,0.0000000000,0.0262180623,0.2640991509,0.0000000000,0.1756268889,0.0000000000,0.0169743877,0.0000000000,0.0262180734,0.2641450763,0.0139726615,0.0235733520,0.0000000000,0.0297475234,0.0349013917,0.0164073166,0.0524943285,0.0000000000,0.0000523288,0.0000000000,0.0073781414,0.0224477854,0.0000000000,0.0154354312,0.0166231245,0.0548982061,0.0570803545,0.0165835321,0.0160530303,0.0391815156,0.0231160019,0.0102835223,0.0106800636,0.0264667720,0.0240854695,0.0046653016,0.0049791960,0.0000000000,0.0000000000,0.0293134581,0.0302233584,0.0304428544,0.0116510717,0.0154434955,0.0174780916,0.0268822853,0.0305501353,0.0000000246,0.0437691510,-0.0075371535,0.0056353132,0.0103094466,0.1072901040,0.0011103452,0.0861727744,0.1073027551,0.0092704780
01:43:15:46.582,61,0.0000000000,0.1832217872,0.1368910372,0.0000000000,0.0000000000,0.0261795036,0.2650693059,0.0000000000,0.1838330328,0.0000000000,0.0116313398,0.0000000000,0.0261795186,0.2651081979,0.0139836567,0.0235320702,0.0000000000,0.0298550241,0.0350235477,0.0164703298,0.0527861342,0.0000000000,0.0000534406,0.0000000000,0.0068711750,0.0231046733,0.0000000000,0.0154189589,0.0166020170,0.0549982414,0.0571782477,0.0165869575,0.0160615686,0.0392074101,0.0231042188,0.0102899596,0.0106893284,0.0264363177,0.0240646098,0.0046544760,0.0049689696,0.0000000000,0.0000000000,0.0293267090,0.0301166605,0.0303340089,0.0116958944,0.0154696023,0.0175126437,0.0269292388,0.0306043290,0.0000000328,0.0429245904,-0.0083232000,0.0058243014,0.0070604272,0.1123000309,0.0007962294,0.0830975547,0.1123129949,0.0093613202
01:43:15:47.583,61,0.0000000000,0.1837293506,0.1351683885,0.0000000000,0.0000000000,0.0261355899,0.2650898397,0.0000000000,0.1843275428,0.0000000000,0.0098954057,0.0000000000,0.0261356067,0.2651261985,0.0139841475,0.0235480051,0.0000000000,0.0299444478,0.0351282842,0.0165209603,0.0530561022,0.0000000000,0.0000265315,0.0000000000,0.0065130908,0.0235314909,0.0000000000,0.0153985070,0.0165755060,0.0550726056,0.0572296605,0.0165714305,0.0160592329,0.0392069295,0.0230785124,0.0102895284,0.0106898341,0.0264030527,0.0240370482,0.0046417094,0.0049561225,0.0000000000,0.0000000000,0.0293075666,0.0300576575,0.0302724503,0.0117305154,0.0154769113,0.0175260399,0.0269555617,0.0306278504,0.0000000376,0.0415573791,-0.0082621556,0.0054362249,0.0060064802,0.1126013547,0.0006792066,0.0820490047,0.1126143336,0.0092684804
01:43:15:48.585,61,0.0000000000,0.1845670640,0.1342791766,0.0000000000,0.0000000000,0.0260823853,0.2655330896,0.0000000000,0.1851603538,0.0000000000,0.0090043535,0.0000000000,0.0260824040,0.2655676603,0.0140121272,0.0235423967,0.0000000000,0.0301284287,0.0353363045,0.0166316479,0.0534217507,0.0000000000,0.0000061909,0.0000000000,0.0061152685,0.0239743348,0.0000000000,0.0154104503,0.0165832788,0.0552672148,0.0574096665,0.0165978558,0.0160835776,0.0392386690,0.0230572447,0.0102998251,0.0107033048,0.0264255945,0.0240595471,0.0046322504,0.0049465089,0.0000000000,0.0000000000,0.0293721370,0.0302545372,0.0304656848,0.0117802341,0.0155088026,0.0175662674,0.0270196777,0.0306920875,0.0000000399,0.0396314561,-0.0075065270,0.0048682569,0.0054652998,0.1131097451,0.0006208253,0.0815045536,0.1131227389,0.0092490362
