Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
01:37:22:14.776,61,0.0014471291,0.1520009786,0.1354337931,0.0000000000,0.0000000000,0.0298655517,0.3509701788,0.0014477003,0.1525118500,0.0000000000,0.0113761090,0.0000000000,0.0298656859,0.3510155976,0.0122547727,0.0251444858,0.0000000000,0.0325326025,0.0411464646,0.0213631522,0.0485993922,0.0085019926,0.0000000000,0.0000000000,0.0000000000,0.0413897596,0.0079653952,0.0152574433,0.0161263049,0.0650917590,0.0629682392,0.0158002246,0.0172786210,0.0366786309,0.0217452925,0.0107871937,0.0112316189,0.0305666495,0.0265145022,0.0045682248,0.0048133596,0.0000000000,0.0000000000,0.0320512801,0.0345522761,0.0348780118,0.0114902370,0.0171506871,0.0188657101,0.0265926290,0.0305171069,0.0000000939,0.0338302441,-0.0200079158,-0.0095117530,0.0069191335,0.0931664407,0.0006464974,0.0823746175,0.0931689665,0.0076881894
01:37:22:15.778,61,0.0013318039,0.1425424814,0.1363314092,0.0000000000,0.0000000000,0.0304436870,0.3505606055,0.0013323295,0.1430280507,0.0000000000,0.0125819221,0.0000000000,0.0304438919,0.3506042361,0.0127177350,0.0249027684,0.0000000000,0.0350152813,0.0443806499,0.0258245338,0.0512501299,0.0086780395,0.0000000000,0.0000000000,0.0000000000,0.0454486609,0.0114763556,0.0154617317,0.0163159855,0.0690706819,0.0673054308,0.0160513502,0.0173135921,0.0372168720,0.0220571700,0.0107662054,0.0112020411,0.0328454413,0.0287316591,0.0047898707,0.0050482005,0.0000000000,0.0000000000,0.0341805033,0.0369827449,0.0372963063,0.0114785135,0.0174801406,0.0192142185,0.0268122945,0.0308038034,0.0000000884,0.0345188715,-0.0197951365,-0.0094460854,0.0076565421,0.0873734429,0.0006706793,0.0829638839,0.0873755440,0.0072590560
01:37:22:16.780,61,0.0012256694,0.1450578570,0.1362476349,0.0000000000,0.0000000000,0.0309814438,0.3503473997,0.0012261531,0.1455512643,0.0000000000,0.0124210371,0.0000000000,0.0309816934,0.3503895700,0.0132661760,0.0245640762,0.0000000000,0.0379069559,0.0482284799,0.0321088545,0.0550601743,0.0088274786,0.0000000000,0.0000000000,0.0000000000,0.0557064377,0.0199398249,0.0156977642,0.0165394209,0.0739839226,0.0723817348,0.0163454227,0.0173472222,0.0380247682,0.0224895217,0.0107785566,0.0112100262,0.0360609815,0.0318606161,0.0050756335,0.0053520421,0.0000000000,0.0000000000,0.0357138328,0.0377842672,0.0380942076,0.0114999441,0.0178555362,0.0196136162,0.0271114651,0.0311904587,0.0000000648,0.0352842994,-0.0198566001,-0.0092799040,0.0075576087,0.0889147520,0.0006737527,0.0829016715,0.0889169723,0.0073822578
01:37:22:17.781,61,0.0011279932,0.1486976892,0.1368211359,0.0000000000,0.0000000000,0.0313754305,0.3499249518,0.0011284384,0.1492072195,0.0000000000,0.0128429243,0.0000000000,0.0313756950,0.3499659598,0.0138498973,0.0241440516,0.0000000000,0.0399105027,0.0506904945,0.0362161212,0.0583738051,0.0090014441,0.0000000000,0.0000000000,0.0000000000,0.0676144287,0.0325958692,0.0159025304,0.0167298447,0.0770231038,0.0755368397,0.0166403949,0.0173629355,0.0389892198,0.0229741875,0.0108024618,0.0112305488,0.0380176492,0.0337857865,0.0053830273,0.0056773536,0.0000000000,0.0000000000,0.0367295407,0.0379766859,0.0382879823,0.0115577430,0.0182052702,0.0199742038,0.0274400953,0.0316049233,0.0000000508,0.0358436145,-0.0205235332,-0.0085286843,0.0078127291,0.0911482945,0.0007140883,0.0832339302,0.0911506861,0.0075989831
01:37:22:18.783,61,0.0010381010,0.1553027630,0.1366662234,0.0000000000,0.0000000000,0.0317821652,0.3502889872,0.0010385108,0.1558334380,0.0000000000,0.0124769704,0.0000000000,0.0317824297,0.3503291011,0.0145354094,0.0236755107,0.0000000000,0.0428219549,0.0537102036,0.0408569314,0.0617137253,0.0091750147,0.0000000000,0.0000000000,0.0000000000,0.0785151199,0.0444095060,0.0161334015,0.0169482194,0.0811735913,0.0799680576,0.0170153752,0.0174182225,0.0403306149,0.0235071611,0.0108504947,0.0112741617,0.0402735882,0.0359603427,0.0057152063,0.0060245083,0.0000000000,0.0000000000,0.0378079079,0.0378152914,0.0381317511,0.0116511863,0.0185943842,0.0203682333,0.0278145391,0.0320698917,0.0000000506,0.0362067558,-0.0203545243,-0.0075648851,0.0075872405,0.0951959863,0.0007244575,0.0831083655,0.0951986387,0.0079264948
01:37:22:19.784,61,0.0009553726,0.1607718617,0.1362275332,0.0000000000,0.0000000000,0.0320977904,0.3501775861,0.0009557497,0.1613175571,0.0000000000,0.0119237341,0.0000000000,0.0320980474,0.3502172232,0.0151819438,0.0232650526,0.0000000000,0.0442670546,0.0551519804,0.0430347025,0.0632673278,0.0093386741,0.0000000000,0.0000000000,0.0000000000,0.0828680694,0.0489641316,0.0163542349,0.0171631146,0.0834275633,0.0821485370,0.0173546318,0.0174516868,0.0412342995,0.0240280200,0.0108901476,0.0113090556,0.0418029390,0.0374384522,0.0060512675,0.0063789045,0.0000000000,0.0000000000,0.0386684090,0.0375962220,0.0379186422,0.0117195845,0.0189353693,0.0207159854,0.0281421337,0.0324816667,0.0000000526,0.0369976535,-0.0190651119,-0.0082029486,0.0072484566,0.0985458940,0.0007166205,0.0828147531,0.0985487849,0.0081782779
01:37:22:20.786,61,0.0008792370,0.1587899625,0.1357701570,0.0000000000,0.0000000000,0.0323688164,0.3457999825,0.0008795841,0.1593256593,0.0000000000,0.0115601504,0.0000000000,0.0323690884,0.3458406925,0.0157852415,0.0229034405,0.0000000000,0.0453645140,0.0561435595,0.0450518392,0.0642581359,0.0095307902,0.0000000000,0.0000000000,0.0000000000,0.0851210132,0.0512491837,0.0165869091,0.0173908826,0.0852476731,0.0836182311,0.0176591966,0.0174871925,0.0419667065,0.0245014373,0.0109320693,0.0113464724,0.0434676446,0.0389757156,0.0063940086,0.0067408434,0.0000000000,0.0000000000,0.0398077741,0.0376220495,0.0379483961,0.0117742484,0.0192585662,0.0210581217,0.0284486562,0.0328780450,0.0000000412,0.0373679735,-0.0177889112,-0.0084994463,0.0070282747,0.0973289311,0.0006862169,0.0825465173,0.0973317400,0.0080505405
01:37:22:21.787,61,0.0008091689,0.1863078475,0.1355825663,0.0000000000,0.0000000000,0.0321708173,0.3245346546,0.0008094884,0.1869325936,0.0000000000,0.0107990010,0.0000000000,0.0321710967,0.3245721757,0.0162979085,0.0225712862,0.0000000000,0.0460456572,0.0568268150,0.0458918139,0.0649911463,0.0097654862,0.0000000000,0.0000000000,0.0000000000,0.0862924978,0.0524628684,0.0167454742,0.0175393727,0.0860756710,0.0843104571,0.0179091655,0.0175240580,0.0425229147,0.0248703603,0.0109592844,0.0113712661,0.0443546176,0.0398245566,0.0066958857,0.0070640664,0.0000000000,0.0000000000,0.0406662486,0.0380393900,0.0383693613,0.0118291657,0.0194437318,0.0212474801,0.0288101323,0.0333241560,0.0000000301,0.0375386700,-0.0159222092,-0.0085624363,0.0065537719,0.1141930893,0.0007516600,0.0822856575,0.1141970754,0.0094269160
01:37:22:22.789,61,0.0007446845,0.2463421971,0.1439759284,0.0000000000,0.0000000000,0.0309237912,0.2523253262,0.0007449786,0.2472580969,0.0000000000,0.0180484504,0.0000000000,0.0309240762,0.2523697317,0.0165616143,0.0221797898,0.0000000000,0.0461450890,0.0569480397,0.0458341315,0.0653894097,0.0100627672,0.0000000000,0.0000000000,0.0000000000,0.0797387660,0.0492531620,0.0167623926,0.0175416190,0.0859796256,0.0839645043,0.0179320443,0.0174462236,0.0427790135,0.0250798184,0.0109399967,0.0113425553,0.0447050035,0.0401521251,0.0069831708,0.0073707597,0.0000000000,0.0000000000,0.0414264314,0.0417502634,0.0421133600,0.0118207298,0.0194211118,0.0211960543,0.0293001477,0.0338912420,0.0000000229,0.0373879224,-0.0148204947,-0.0086403973,0.0108996453,0.1510504484,0.0016589987,0.0869534388,0.1510569453,0.0132183041
01:37:22:23.791,61,0.0006853392,0.2744976580,0.1416523606,0.0000000000,0.0000000000,0.0291176960,0.1515176743,0.0006856098,0.2754850388,0.0000000000,0.0151027208,0.0000000000,0.0291179512,0.1515660733,0.0167005118,0.0215726122,0.0000000000,0.0459957831,0.0568565577,0.0454769209,0.0657573938,0.0101875421,0.0000000000,0.0000000000,0.0000000000,0.0705787092,0.0422320664,0.0167002399,0.0174657851,0.0844306424,0.0825429559,0.0178264454,0.0173320957,0.0428766981,0.0251852255,0.0109255966,0.0113137802,0.0447743386,0.0402126387,0.0072767660,0.0076930430,0.0000000000,0.0000000000,0.0421519391,0.0471864119,0.0475318432,0.0117903436,0.0193258300,0.0210548788,0.0305075664,0.0356412977,0.0000000154,0.0370852798,-0.0124987913,-0.0092474846,0.0090953987,0.1682912856,0.0015452700,0.0853138939,0.1682989895,0.0144767705
