Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:01:51:46.742,61,0.1187043190,0.2881026268,0.0505351983,0.0000000000,0.0000000000,0.0138167152,0.0000000000,0.1187365651,0.2879765630,0.0718981624,0.0000000000,0.0000000000,0.0138162458,0.0000000000,0.0614340231,0.0000000000,0.0201288871,0.1592087448,0.1349303722,0.1404497921,0.2893691361,0.0000000000,0.0041711563,0.0000000000,0.0000000000,0.0506045781,0.0552451760,0.0147460504,0.0145425741,0.0942733139,0.0971602052,0.0435189977,0.0278042797,0.0874188319,0.0401110984,0.0302917156,0.0291354135,0.1259793043,0.1164763942,0.0439381711,0.0464997292,0.0000000000,0.0000000000,0.1330625117,0.1500505060,0.1501858830,0.0267963950,0.0346686170,0.0327753089,0.1026007757,0.1105462313,0.0000001243,-0.0159858931,-0.0632378086,0.0712665766,-0.0432418399,0.1760812104,-0.0076912045,0.0303932093,0.1760740727,0.0054065674
00:01:51:47.743,61,0.1183611751,0.2878005207,0.0510479175,0.0000000000,0.0000000000,0.0138221001,0.0000000000,0.1183940768,0.2876811028,0.0714021623,0.0000000000,0.0000000000,0.0138216158,0.0000000000,0.0614476800,0.0000000000,0.0202728547,0.1584984362,0.1343454719,0.1401971281,0.2893394232,0.0000000000,0.0045484239,0.0000000000,0.0000000000,0.0505880751,0.0550596826,0.0147138350,0.0145132765,0.0943069533,0.0972795337,0.0435295664,0.0276754703,0.0877306908,0.0403515510,0.0303252656,0.0291574299,0.1257407665,0.1162859127,0.0441422462,0.0467302836,0.0000000000,0.0000000000,0.1329416484,0.1501269788,0.1502588093,0.0266980790,0.0346152112,0.0327073671,0.1023983210,0.1103386134,0.0000001237,-0.0159858931,-0.0632378086,0.0712665766,-0.0429449119,0.1758982688,-0.0076303249,0.0307025779,0.1758911312,0.0054557878
00:01:51:48.745,61,0.1179756522,0.2873727679,0.0513569266,0.0000000000,0.0000000000,0.0138423769,0.0000000000,0.1180097461,0.2872576416,0.0710872337,0.0000000000,0.0000000000,0.0138418749,0.0000000000,0.0614073388,0.0000000000,0.0203663502,0.1562293470,0.1338014305,0.1396737993,0.2893812358,0.0000000000,0.0049009928,0.0000000000,0.0000000000,0.0505772568,0.0548981279,0.0146785118,0.0144780781,0.0943583548,0.0974068120,0.0435798056,0.0275463462,0.0880724117,0.0405654870,0.0303525105,0.0291766841,0.1252524555,0.1158550158,0.0442199707,0.0468231812,0.0000000000,0.0000000000,0.1327826828,0.1500498652,0.1501784921,0.0266247652,0.0345603414,0.0326350220,0.1021639630,0.1100915521,0.0000001354,-0.0156152602,-0.0633183867,0.0710387602,-0.0427574664,0.1756379157,-0.0075855618,0.0308898594,0.1756307185,0.0054807602
00:01:51:49.747,61,0.1176333278,0.2873374522,0.0518432669,0.0000000000,0.0000000000,0.0138732223,0.0000000000,0.1176687628,0.2872283459,0.0705978051,0.0000000000,0.0000000000,0.0138727054,0.0000000000,0.0613273010,0.0000000000,0.0203975365,0.1532604545,0.1332166493,0.1364165992,0.2894827127,0.0000000000,0.0051846579,0.0000000000,0.0000000000,0.0505688488,0.0547265112,0.0146416565,0.0144406948,0.0943744406,0.0974745452,0.0436558388,0.0274036415,0.0884056017,0.0407626219,0.0303548444,0.0291759167,0.1246169209,0.1152741164,0.0442517065,0.0468662642,0.0000000000,0.0000000000,0.1324722469,0.1496533602,0.1497786343,0.0265322197,0.0345099792,0.0325699635,0.1018773615,0.1097975224,0.0000001395,-0.0156152602,-0.0633183867,0.0710387602,-0.0424632281,0.1756178141,-0.0075325146,0.0311824959,0.1756107360,0.0055320226
00:01:51:50.748,61,0.1174036711,0.2874092758,0.0523210727,0.0000000000,0.0000000000,0.0139218066,0.0000000000,0.1174406260,0.2873064280,0.0701072440,0.0000000000,0.0000000000,0.0139212711,0.0000000000,0.0611402579,0.0000000000,0.0203713998,0.1486202776,0.1326223165,0.1305180043,0.2896700203,0.0000000000,0.0054392675,0.0000000000,0.0000000000,0.0505923778,0.0546147376,0.0146115990,0.0144124264,0.0942984298,0.0974468291,0.0437881798,0.0272701308,0.0887386724,0.0409361534,0.0303622857,0.0291841719,0.1225713715,0.1135720834,0.0441729389,0.0467956513,0.0000000000,0.0000000000,0.1319345683,0.1482420117,0.1483518481,0.0264563896,0.0344564877,0.0325063467,0.1015547290,0.1094756350,0.0000001480,-0.0156152602,-0.0633183867,0.0710387602,-0.0421678051,0.1756632924,-0.0074821222,0.0314696394,0.1756562144,0.0055844225
00:01:51:51.750,61,0.1172867939,0.2877185643,0.0529200956,0.0000000000,0.0000000000,0.0139919836,0.0000000000,0.1173248366,0.2876235247,0.0694883168,0.0000000000,0.0000000000,0.0139914248,0.0000000000,0.0608955920,0.0000000000,0.0202600043,0.1434080899,0.1315920949,0.1264545768,0.2897433043,0.0000000000,0.0056425505,0.0000000000,0.0000000000,0.0506259203,0.0544714332,0.0145709645,0.0143741295,0.0942095518,0.0973931104,0.0439473577,0.0271063335,0.0891799480,0.0411628932,0.0303689912,0.0291957613,0.1197107807,0.1110057384,0.0440855622,0.0467117913,0.0000000000,0.0000000000,0.1312721968,0.1455533803,0.1456502527,0.0263902731,0.0343955569,0.0324346125,0.1011501774,0.1090769395,0.0000001552,-0.0151158683,-0.0636926815,0.0709861591,-0.0417941101,0.1758544147,-0.0074240919,0.0318288617,0.1758473068,0.0056544174
00:01:51:52.751,61,0.1173018739,0.2882046998,0.0534089953,0.0000000000,0.0000000000,0.0140525354,0.0000000000,0.1173405200,0.2881160975,0.0689749494,0.0000000000,0.0000000000,0.0140519515,0.0000000000,0.0604720935,0.0000000000,0.0200963020,0.1360149533,0.1292728633,0.1194581091,0.2895963788,0.0000000000,0.0058134561,0.0000000000,0.0000000000,0.0506395362,0.0543237068,0.0145010902,0.0143070640,0.0938745439,0.0970794261,0.0440541022,0.0269155353,0.0895671844,0.0413648523,0.0303436965,0.0291802622,0.1146355569,0.1063033044,0.0438943803,0.0465208031,0.0000000000,0.0000000000,0.1290918291,0.1416151971,0.1417034417,0.0262898952,0.0343011618,0.0323351175,0.1006254777,0.1085509211,0.0000001846,-0.0147175752,-0.0638021603,0.0710262582,-0.0414831266,0.1761532277,-0.0073816683,0.0321212113,0.1761460602,0.0057162330
00:01:51:53.753,61,0.1174044386,0.2884831727,0.0539769754,0.0000000000,0.0000000000,0.0141149741,0.0000000000,0.1174437329,0.2884019911,0.0683821067,0.0000000000,0.0000000000,0.0141143706,0.0000000000,0.0599903166,0.0000000000,0.0198945031,0.1319404095,0.1274099350,0.1158753484,0.2894569933,0.0000000000,0.0059439293,0.0000000000,0.0000000000,0.0506548360,0.0542101562,0.0144295283,0.0142383249,0.0934231207,0.0966334566,0.0441078544,0.0267304406,0.0898954272,0.0415372252,0.0303287543,0.0291756317,0.1117240936,0.1034128368,0.0436541252,0.0462737009,0.0000000000,0.0000000000,0.1271507442,0.1389267147,0.1390090436,0.0262036212,0.0341903493,0.0322245322,0.1000338793,0.1079524532,0.0000002044,-0.0142930411,-0.0639273748,0.0710325092,-0.0411253124,0.1763253957,-0.0073253373,0.0324618183,0.1763182133,0.0057825889
00:01:51:54.754,61,0.1172813103,0.2885990739,0.0544008836,0.0000000000,0.0000000000,0.0141632156,0.0000000000,0.1173213795,0.2885233760,0.0679374635,0.0000000000,0.0000000000,0.0141625954,0.0000000000,0.0593660325,0.0000000000,0.0196219776,0.1265634894,0.1244706511,0.1113322526,0.2889783382,0.0000000000,0.0060471664,0.0000000000,0.0000000000,0.0506764352,0.0540599413,0.0143386470,0.0141504100,0.0928498283,0.0960492194,0.0441267490,0.0265148692,0.0902159736,0.0417132452,0.0302895531,0.0291530322,0.1076528430,0.0993510708,0.0433397815,0.0459507294,0.0000000000,0.0000000000,0.1256909966,0.1375750005,0.1376543939,0.0261159986,0.0340361297,0.0320831724,0.0993199423,0.1072482318,0.0000002255,-0.0141041782,-0.0638212711,0.0710981488,-0.0408573598,0.1763976514,-0.0072806836,0.0327163488,0.1763905585,0.0058303531
00:01:51:55.756,61,0.1171157360,0.2887916863,0.0548146740,0.0000000000,0.0000000000,0.0141819427,0.0000000000,0.1171563938,0.2887214422,0.0674945116,0.0000000000,0.0000000000,0.0141813131,0.0000000000,0.0584027991,0.0000000000,0.0192648713,0.1211350858,0.1206863970,0.1063933969,0.2871760726,0.0000000000,0.0061469669,0.0000000000,0.0000000000,0.0507272705,0.0538721979,0.0142197795,0.0140371090,0.0921735987,0.0952811465,0.0440913215,0.0262559354,0.0905143991,0.0418915749,0.0302103739,0.0290950257,0.1030542850,0.0948771387,0.0429710448,0.0455737449,0.0000000000,0.0000000000,0.1237149239,0.1366303712,0.1367081702,0.0260091983,0.0338124633,0.0318841152,0.0983361527,0.1062382534,0.0000002230,-0.0140158907,-0.0639883280,0.0709769800,-0.0405901037,0.1765168309,-0.0072380751,0.0329645053,0.1765097231,0.0058786124
