Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:03:57:56.719,61,0.0062087825,0.1463219523,0.0646918043,0.0000000000,0.0000000000,0.0366854593,0.0449235849,0.0061975694,0.1463562995,0.0573026240,0.0000000000,0.0000000000,0.0366740152,0.0442720726,0.0373073369,0.0000000000,0.0263269451,0.0947528332,0.0884115249,0.0537719838,0.1370318830,0.0000000000,0.0067001372,0.0000000000,0.0000000000,0.0461054742,0.0402449258,0.0156030981,0.0154623669,0.0679889992,0.0695089698,0.0385409296,0.0232815128,0.0721146762,0.0369358398,0.0247392710,0.0242241323,0.0743312165,0.0671154112,0.0262378417,0.0283539426,0.0000000000,0.0000000000,0.0846685246,0.1154211536,0.1153795719,0.0192171354,0.0321132950,0.0316816047,0.0560721867,0.0632519349,0.0000000068,-0.0369160585,-0.1243368313,0.0708621219,-0.0348643251,0.0894584954,-0.0031266131,0.0393601432,0.0894524753,0.0035293568
00:03:57:57.721,61,0.0056880624,0.1450117379,0.0646854267,0.0000000000,0.0000000000,0.0360699445,0.0509615950,0.0056771343,0.1450458914,0.0573319010,0.0000000000,0.0000000000,0.0360587537,0.0503165945,0.0359128714,0.0000000000,0.0260876883,0.0878605768,0.0877023861,0.0494843088,0.1350096315,0.0000000000,0.0067918976,0.0000000000,0.0000000000,0.0458689444,0.0402153842,0.0153904818,0.0152418893,0.0663910881,0.0678403303,0.0383090153,0.0231421497,0.0717529207,0.0367262177,0.0244151857,0.0239725970,0.0682934076,0.0618195012,0.0253811385,0.0274527129,0.0000000000,0.0000000000,0.0820266753,0.1153201535,0.1152782813,0.0191194192,0.0314696543,0.0310830623,0.0553615205,0.0624782927,0.0000000085,-0.0369160585,-0.1243368313,0.0708621219,-0.0348846354,0.0886575729,-0.0031002772,0.0393590704,0.0886514708,0.0034974918
00:03:57:58.723,61,0.0052208905,0.1423830837,0.0642824173,0.0000000000,0.0000000000,0.0354504548,0.0565986224,0.0052105077,0.1424141228,0.0577197969,0.0000000000,0.0000000000,0.0354395136,0.0559456572,0.0342102870,0.0000000000,0.0257735159,0.0816619694,0.0867319182,0.0447471142,0.1319325566,0.0000000000,0.0069199312,0.0000000000,0.0000000000,0.0456086695,0.0401757918,0.0151572684,0.0150018670,0.0637681633,0.0652047545,0.0380900204,0.0230017938,0.0713075027,0.0364249088,0.0240752883,0.0237093922,0.0614165515,0.0556185469,0.0239756946,0.0259117428,0.0000000000,0.0000000000,0.0784990564,0.1151834205,0.1151409820,0.0190259907,0.0307833850,0.0304415450,0.0541037098,0.0610305145,0.0000000094,-0.0369160585,-0.1243368313,0.0708621219,-0.0351256207,0.0870496705,-0.0030647805,0.0391193777,0.0870436504,0.0034128358
00:03:57:59.724,61,0.0047973990,0.1396902353,0.0635677204,0.0000000000,0.0000000000,0.0348438323,0.0631977096,0.0047876691,0.1397161931,0.0584233776,0.0000000000,0.0000000000,0.0348331705,0.0625141263,0.0327789187,0.0000000000,0.0253760889,0.0768979266,0.0843004659,0.0400683172,0.1282434016,0.0000000000,0.0070646089,0.0000000000,0.0000000000,0.0452327654,0.0400679894,0.0149023896,0.0147391465,0.0608140044,0.0622137263,0.0378729329,0.0228824876,0.0707480311,0.0360503457,0.0237099510,0.0234188586,0.0550907739,0.0498394556,0.0223523565,0.0240826737,0.0000000000,0.0000000000,0.0747791827,0.1149329618,0.1148887947,0.0189397968,0.0300714541,0.0297798216,0.0523599349,0.0589938648,0.0000000113,-0.0369160585,-0.1243368313,0.0708621219,-0.0355588533,0.0854019001,-0.0030435470,0.0386899561,0.0853959918,0.0033111833
00:03:58:00.726,61,0.0044111088,0.1375174522,0.0625045374,0.0000000000,0.0000000000,0.0342660435,0.0699099228,0.0044020610,0.1375363916,0.0595027357,0.0000000000,0.0000000000,0.0342557132,0.0692249238,0.0317854248,0.0000000000,0.0249539521,0.0745264515,0.0828998759,0.0375078581,0.1261652261,0.0000000000,0.0071434537,0.0000000000,0.0000000000,0.0448697917,0.0400130823,0.0146640325,0.0144929178,0.0590388477,0.0604236014,0.0376807302,0.0227945019,0.0701761767,0.0356602296,0.0233620331,0.0231382959,0.0521608889,0.0470511466,0.0211633239,0.0227620900,0.0000000000,0.0000000000,0.0726018772,0.1147100553,0.1146644205,0.0188646410,0.0293889679,0.0291505437,0.0509934612,0.0574599691,0.0000000133,-0.0364895165,-0.1247542202,0.0698878542,-0.0362198949,0.0840714872,-0.0030515778,0.0380471461,0.0840656236,0.0032052286
00:03:58:01.728,61,0.0040574507,0.1357158422,0.0619585365,0.0000000000,0.0000000000,0.0337269492,0.0754068643,0.0040490739,0.1357314587,0.0600593798,0.0000000000,0.0000000000,0.0337169766,0.0747258067,0.0310116298,0.0000000000,0.0245928112,0.0730941370,0.0819998458,0.0360593721,0.1250877380,0.0000000000,0.0071776374,0.0000000000,0.0000000000,0.0447655320,0.0402160324,0.0144442888,0.0142655410,0.0579450652,0.0593351349,0.0375587046,0.0227219146,0.0697259381,0.0353321023,0.0230596736,0.0228968561,0.0505286381,0.0454832353,0.0202765502,0.0218204875,0.0000000000,0.0000000000,0.0713298023,0.1145163104,0.1144689247,0.0188315846,0.0287614651,0.0285771042,0.0500597805,0.0564622357,0.0000000116,-0.0358742289,-0.1248193532,0.0687872842,-0.0365620963,0.0829692110,-0.0030398215,0.0377182662,0.0829632431,0.0031356751
00:03:58:02.729,61,0.0037329653,0.1348427534,0.0615626052,0.0000000000,0.0000000000,0.0332407951,0.0785209313,0.0037252293,0.1348556280,0.0604600422,0.0000000000,0.0000000000,0.0332311578,0.0778422207,0.0304188542,0.0000000000,0.0243336968,0.0722547248,0.0814471096,0.0351963192,0.1243794188,0.0000000000,0.0072083496,0.0000000000,0.0000000000,0.0446787439,0.0404318683,0.0142616415,0.0140752150,0.0571855605,0.0585932098,0.0374964103,0.0226910077,0.0693488270,0.0350479595,0.0228070430,0.0226986594,0.0496519431,0.0446167849,0.0195655432,0.0210864469,0.0000000000,0.0000000000,0.0704813004,0.1143198535,0.1142705828,0.0188221876,0.0282007288,0.0280644316,0.0493165478,0.0556927659,0.0000000118,-0.0352269672,-0.1250106692,0.0679675639,-0.0368076339,0.0824346021,-0.0030404183,0.0374788903,0.0824287906,0.0030956203
00:03:58:03.731,61,0.0034348683,0.1336103976,0.0612842925,0.0000000000,0.0000000000,0.0327889398,0.0811277851,0.0034277344,0.1336217076,0.0607237294,0.0000000000,0.0000000000,0.0327795893,0.0804507807,0.0298575144,0.0000000000,0.0240668505,0.0715853721,0.0808914080,0.0344787873,0.1237310991,0.0000000000,0.0072275107,0.0000000000,0.0000000000,0.0446015745,0.0406753905,0.0140776215,0.0138843749,0.0565033183,0.0579242334,0.0374186970,0.0226499774,0.0689505264,0.0347592495,0.0225557704,0.0224982295,0.0489732251,0.0439307541,0.0189136229,0.0204180572,0.0000000000,0.0000000000,0.0697324723,0.1140740365,0.1140231565,0.0188057888,0.0276635587,0.0275711063,0.0486377738,0.0549945794,0.0000000111,-0.0352269672,-0.1250106692,0.0679675639,-0.0369704627,0.0816808045,-0.0030258116,0.0373117663,0.0816749185,0.0030535120
00:03:58:04.732,61,0.0031608106,0.1317742467,0.0614008158,0.0000000000,0.0000000000,0.0323842131,0.0832962692,0.0031542375,0.1317861527,0.0606018007,0.0000000000,0.0000000000,0.0323751047,0.0826239809,0.0293719284,0.0000000000,0.0237828922,0.0711173043,0.0804367661,0.0339219347,0.1232831925,0.0000000000,0.0072500496,0.0000000000,0.0000000000,0.0445085391,0.0409203209,0.0139051788,0.0137034291,0.0559342764,0.0573638529,0.0373738296,0.0226286314,0.0686027929,0.0344934277,0.0223288834,0.0223203469,0.0484328009,0.0433651134,0.0183220115,0.0198153798,0.0000000000,0.0000000000,0.0690426528,0.1138978228,0.1138458103,0.0188105796,0.0271704383,0.0271141939,0.0480484441,0.0543958023,0.0000000106,-0.0343068317,-0.1248236522,0.0667447299,-0.0368995890,0.0805585459,-0.0029783396,0.0373861268,0.0805527270,0.0030173725
00:03:58:05.734,61,0.0029087446,0.1305334866,0.0614175238,0.0000000000,0.0000000000,0.0319779217,0.0849230960,0.0029026915,0.1305455863,0.0605803579,0.0000000000,0.0000000000,0.0319690630,0.0842603967,0.0289175510,0.0000000000,0.0234790444,0.0707499385,0.0800862908,0.0335428268,0.1230524853,0.0000000000,0.0072758188,0.0000000000,0.0000000000,0.0445263647,0.0411777943,0.0137402611,0.0135324122,0.0555162020,0.0569502749,0.0373085290,0.0225753319,0.0683148876,0.0342650972,0.0221129414,0.0221479926,0.0480835736,0.0429767109,0.0178202670,0.0193102695,0.0000000000,0.0000000000,0.0684946850,0.1138360873,0.1137838364,0.0188024435,0.0267197974,0.0266978629,0.0475711972,0.0539301895,0.0000000129,-0.0338168181,-0.1246248484,0.0661427677,-0.0368887819,0.0798001662,-0.0029493177,0.0373985693,0.0797943026,0.0029898365
