Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:05:46:55.058,61,0.0012478933,0.1885971129,0.0772861913,0.0000000000,0.0000000000,0.0332723148,0.0186443068,0.0012484672,0.1887590885,0.0429242179,0.0000000000,0.0000000000,0.0332471877,0.0184539389,0.0157735832,0.0000000000,0.0178135075,0.0408597551,0.0471065864,0.0130030829,0.0424564593,0.0023782107,0.0000000000,0.0349518731,0.0180732571,0.0000000000,0.0000000000,0.0146714551,0.0143992379,0.0357179791,0.0365219153,0.0303025432,0.0177779887,0.0499289818,0.0262114387,0.0200288538,0.0203070566,0.0315593220,0.0273694601,0.0117866909,0.0124996668,0.0000000000,0.0000000000,0.0478440858,0.0889860317,0.0890132785,0.0099641643,0.0272024106,0.0254074764,0.0478271246,0.0512779951,0.0000000014,-0.0220109094,-0.0978370234,-0.0134496838,-0.0260467567,0.1153456792,-0.0030174258,0.0468982570,0.1153348163,0.0054310686
00:05:46:56.060,61,0.0011484462,0.1891774833,0.0772382692,0.0000000000,0.0000000000,0.0333495066,0.0190267768,0.0011489744,0.1893394589,0.0429915451,0.0000000000,0.0000000000,0.0333243161,0.0188326184,0.0157713275,0.0000000000,0.0178702958,0.0408345573,0.0471038595,0.0130122202,0.0423549525,0.0023737694,0.0000000000,0.0352638066,0.0183579158,0.0000000000,0.0000000000,0.0146911060,0.0144206043,0.0357414857,0.0365541279,0.0303278882,0.0177530330,0.0500212535,0.0262852795,0.0200626664,0.0203445610,0.0315579176,0.0273628980,0.0118184108,0.0125359092,0.0000000000,0.0000000000,0.0477697812,0.0888577327,0.0888845474,0.0099742468,0.0272585172,0.0254700538,0.0478617363,0.0513321459,0.0000000014,-0.0220109094,-0.0978370234,-0.0134496838,-0.0260865409,0.1157004610,-0.0030314117,0.0468672477,0.1156895459,0.0054443232
00:05:46:57.062,61,0.0010569242,0.1896747351,0.0769269466,0.0000000000,0.0000000000,0.0333840735,0.0195702389,0.0010574104,0.1898343563,0.0433225743,0.0000000000,0.0000000000,0.0333588757,0.0193723142,0.0157288071,0.0000000000,0.0179090165,0.0407193825,0.0469923690,0.0129834572,0.0422156826,0.0023501359,0.0000000000,0.0355016664,0.0185750313,0.0000000000,0.0000000000,0.0146879619,0.0144202020,0.0357049480,0.0365301594,0.0303040966,0.0177028589,0.0500883795,0.0263602324,0.0200728532,0.0203574914,0.0314724557,0.0272876378,0.0118369088,0.0125581166,0.0000000000,0.0000000000,0.0476662591,0.0887659639,0.0887923241,0.0099743912,0.0272786785,0.0255011134,0.0478370041,0.0513173714,0.0000000014,-0.0220109094,-0.0978370234,-0.0134496838,-0.0262864735,0.1160034761,-0.0030627123,0.0466766879,0.1159926131,0.0054365355
00:05:46:58.063,61,0.0009726958,0.1903823316,0.0769998357,0.0000000000,0.0000000000,0.0334233232,0.0200102963,0.0009731433,0.1905431449,0.0432804674,0.0000000000,0.0000000000,0.0333980955,0.0198078062,0.0157004371,0.0000000000,0.0179736447,0.0406312943,0.0469173267,0.0129646426,0.0420813859,0.0023178682,0.0000000000,0.0357710272,0.0188427120,0.0000000000,0.0000000000,0.0146908350,0.0144259650,0.0356904566,0.0365292653,0.0302964132,0.0176620502,0.0501584336,0.0264309477,0.0200895425,0.0203766357,0.0314295068,0.0272477660,0.0118622724,0.0125875352,0.0000000000,0.0000000000,0.0475482941,0.0885526389,0.0885783285,0.0099754781,0.0273099393,0.0255402345,0.0478363074,0.0513312817,0.0000000015,-0.0220109094,-0.0978370234,-0.0134496838,-0.0262596011,0.1164365336,-0.0030711074,0.0467185602,0.1164255738,0.0054619028
00:05:46:59.064,61,0.0008951797,0.1905889958,0.0769517198,0.0000000000,0.0000000000,0.0334875211,0.0205841754,0.0008955916,0.1907496005,0.0433556512,0.0000000000,0.0000000000,0.0334623121,0.0203773230,0.0156565215,0.0000000000,0.0179775748,0.0404826738,0.0467633791,0.0129129672,0.0419113263,0.0023250405,0.0000000000,0.0361021273,0.0191612802,0.0000000000,0.0000000000,0.0146880019,0.0144261168,0.0356283709,0.0364724696,0.0302584376,0.0176206809,0.0501814783,0.0264840629,0.0200956557,0.0203867238,0.0313442722,0.0271661486,0.0118639739,0.0125892693,0.0000000000,0.0000000000,0.0473759063,0.0882155597,0.0882404819,0.0099721495,0.0273263361,0.0255669281,0.0477843247,0.0512898304,0.0000000014,-0.0220109094,-0.0978370234,-0.0134496838,-0.0263048299,0.1165628210,-0.0030797624,0.0466886796,0.1165518016,0.0054643839
00:05:47:00.066,61,0.0008238411,0.1896411628,0.0767326877,0.0000000000,0.0000000000,0.0337242298,0.0211551879,0.0008242201,0.1897990406,0.0435889475,0.0000000000,0.0000000000,0.0336986035,0.0209436063,0.0156805329,0.0000000000,0.0180689115,0.0404489189,0.0467387736,0.0128965387,0.0417630263,0.0022877748,0.0000000000,0.0364419520,0.0194847826,0.0000000000,0.0000000000,0.0147096813,0.0144503061,0.0356008373,0.0364558883,0.0303134061,0.0176373404,0.0502148084,0.0265298840,0.0201360397,0.0204298235,0.0313783437,0.0271949936,0.0118736858,0.0125988387,0.0000000000,0.0000000000,0.0471806861,0.0865648463,0.0865852311,0.0099833151,0.0274048503,0.0256441999,0.0477800108,0.0512988307,0.0000000016,-0.0220109094,-0.0978370234,-0.0134496838,-0.0264481679,0.1159823984,-0.0030809818,0.0465589315,0.1159714386,0.0054218308
00:05:47:01.067,61,0.0007581876,0.1876274347,0.0763788223,0.0000000000,0.0000000000,0.0341689549,0.0216095075,0.0007585364,0.1877808124,0.0439104252,0.0000000000,0.0000000000,0.0341423303,0.0213932600,0.0157159753,0.0000000000,0.0182216652,0.0404148102,0.0467248261,0.0128800888,0.0415334292,0.0022834148,0.0000000000,0.0369782597,0.0199145731,0.0000000000,0.0000000000,0.0147476848,0.0144875133,0.0356172919,0.0364916697,0.0303806588,0.0176518727,0.0502506159,0.0265781377,0.0201821644,0.0204722546,0.0314687304,0.0272742324,0.0118904114,0.0126130655,0.0000000000,0.0000000000,0.0470150299,0.0844742432,0.0844906196,0.0099816257,0.0275352653,0.0257628802,0.0477978922,0.0513164103,0.0000000021,-0.0220109094,-0.0978370234,-0.0134496838,-0.0266470332,0.1147496998,-0.0030708576,0.0463508293,0.1147388443,0.0053397398
00:05:47:02.069,61,0.0006977661,0.1863117367,0.0765186176,0.0000000000,0.0000000000,0.0346244089,0.0218789689,0.0006980872,0.1864653230,0.0437622406,0.0000000000,0.0000000000,0.0345968120,0.0216580387,0.0157756004,0.0000000000,0.0184048619,0.0404228233,0.0467562973,0.0128686139,0.0413140766,0.0021943478,0.0000000000,0.0374372751,0.0203130003,0.0000000000,0.0000000000,0.0147922412,0.0145362597,0.0356316380,0.0365402289,0.0304739662,0.0176932402,0.0502710305,0.0266083963,0.0202354062,0.0205183830,0.0316006914,0.0273986645,0.0119011691,0.0126228565,0.0000000000,0.0000000000,0.0468709134,0.0830372274,0.0830506384,0.0099873608,0.0276396349,0.0258551873,0.0478002541,0.0513184965,0.0000000033,-0.0220109094,-0.0978370234,-0.0134496838,-0.0265595615,0.1139455661,-0.0030391435,0.0464399457,0.1139347479,0.0053121783
00:05:47:03.071,61,0.0006421598,0.1848957390,0.0767393708,0.0000000000,0.0000000000,0.0350279957,0.0220918879,0.0006424552,0.1850501001,0.0435428470,0.0000000000,0.0000000000,0.0349994227,0.0218647104,0.0158529337,0.0000000000,0.0186715927,0.0404577926,0.0468176082,0.0128947906,0.0411881953,0.0020636928,0.0000000000,0.0378550887,0.0206459239,0.0000000000,0.0000000000,0.0148376077,0.0145866172,0.0356479324,0.0366038382,0.0305985529,0.0177452825,0.0503626280,0.0266741198,0.0203253198,0.0206026398,0.0317417011,0.0275328923,0.0119220968,0.0126462663,0.0000000000,0.0000000000,0.0467447825,0.0820349678,0.0820468515,0.0100200409,0.0277614947,0.0259604193,0.0478545576,0.0513802804,0.0000000040,-0.0220604185,-0.0984172076,-0.0135209933,-0.0264290143,0.1130803451,-0.0030010475,0.0465785153,0.1130695567,0.0052872095
00:05:47:04.072,61,0.0005909848,0.1826743633,0.0767075196,0.0000000000,0.0000000000,0.0353555828,0.0225775484,0.0005912567,0.1828269809,0.0435747579,0.0000000000,0.0000000000,0.0353261717,0.0223433562,0.0159039218,0.0000000000,0.0189252011,0.0404701568,0.0468470082,0.0128939506,0.0410388522,0.0019262200,0.0000000000,0.0382189602,0.0209665000,0.0000000000,0.0000000000,0.0148728462,0.0146242613,0.0356377475,0.0366313420,0.0306815412,0.0177886952,0.0503763631,0.0266950391,0.0203757733,0.0206513535,0.0318349600,0.0276230834,0.0119187860,0.0126470299,0.0000000000,0.0000000000,0.0465726256,0.0812458694,0.0812567025,0.0100339912,0.0278479792,0.0260370616,0.0478690267,0.0514000431,0.0000000040,-0.0220604185,-0.0984172076,-0.0135209933,-0.0264524315,0.1117218956,-0.0029673188,0.0465663150,0.1117110476,0.0052217841
