Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:01:13:07.071,61,0.0011573930,0.1277018934,0.0527935661,0.0000000000,0.0000000000,0.0427475758,0.0897955522,0.0011593923,0.1276593506,0.0685076490,0.0000000000,0.0000000000,0.0427359827,0.0894472227,0.0489532053,0.0000000000,0.0361342914,0.1362151355,0.0720583051,0.1090340987,0.1295039952,0.0000000000,0.0041543976,0.0000000000,0.0000000000,0.0424283110,0.0393952914,0.0197840333,0.0197687428,0.0893871039,0.0914780274,0.0339730009,0.0204916783,0.0722278133,0.0459843464,0.0275377650,0.0264674760,0.1539425701,0.1412683427,0.0613496602,0.0656765178,0.0000000000,0.0000000000,0.1062994227,0.0950846970,0.0950846747,0.0179605205,0.0412499905,0.0411562994,0.0659137592,0.0742599964,0.0000000027,-0.0245778654,-0.1036411673,0.0095976386,-0.0417216867,0.0780507252,-0.0032620786,0.0321516469,0.0780490637,0.0025140755
00:01:13:08.072,61,0.0010651535,0.1274128705,0.0520344377,0.0000000000,0.0000000000,0.0426766537,0.0910396725,0.0010669935,0.1273658425,0.0692718402,0.0000000000,0.0000000000,0.0426651612,0.0906906575,0.0486385114,0.0000000000,0.0359938256,0.1348277330,0.0717484951,0.1080590412,0.1295352876,0.0000000000,0.0041099023,0.0000000000,0.0000000000,0.0424118601,0.0394909419,0.0196575671,0.0196326151,0.0886151344,0.0906640440,0.0340108275,0.0204858556,0.0723719373,0.0460458174,0.0275076572,0.0264686607,0.1528059393,0.1401851773,0.0607682355,0.0650781766,0.0000000000,0.0000000000,0.1053173691,0.0945189223,0.0945188701,0.0180131085,0.0410194099,0.0409521274,0.0656663924,0.0739971399,0.0000000027,-0.0245778654,-0.1036411673,0.0095976386,-0.0421876758,0.0778727904,-0.0032909415,0.0316897780,0.0778712779,0.0024723043
00:01:13:09.074,61,0.0009802668,0.1270126253,0.0513030104,0.0000000000,0.0000000000,0.0425961837,0.0925458893,0.0009819602,0.1269614995,0.0700002164,0.0000000000,0.0000000000,0.0425847918,0.0921931565,0.0483098775,0.0000000000,0.0358675048,0.1330943406,0.0714186653,0.1070983559,0.1294973642,0.0000000000,0.0040559424,0.0000000000,0.0000000000,0.0423686244,0.0395740978,0.0195255969,0.0194917787,0.0878828466,0.0898971409,0.0340134241,0.0204666108,0.0724734738,0.0460827872,0.0274642203,0.0264549423,0.1518010646,0.1392019391,0.0601953492,0.0644878224,0.0000000000,0.0000000000,0.1044522151,0.0940067992,0.0940067396,0.0180463158,0.0407932848,0.0407530554,0.0654279888,0.0737434253,0.0000000026,-0.0245778654,-0.1036411673,0.0095976386,-0.0426320881,0.0776270404,-0.0033150499,0.0312449168,0.0776255652,0.0024298877
00:01:13:10.075,61,0.0009021461,0.1263200492,0.0507231951,0.0000000000,0.0000000000,0.0424955525,0.0940749049,0.0009037046,0.1262659878,0.0705706775,0.0000000000,0.0000000000,0.0424842685,0.0937195793,0.0479341149,0.0000000000,0.0357448161,0.1313939691,0.0710747540,0.1059512869,0.1294686645,0.0000000000,0.0039973697,0.0000000000,0.0000000000,0.0423478670,0.0397002101,0.0193916615,0.0193463601,0.0869810134,0.0888907164,0.0339933634,0.0204488486,0.0725456476,0.0460990183,0.0274179392,0.0264389422,0.1499778777,0.1374086440,0.0595862530,0.0638571978,0.0000000000,0.0000000000,0.1034601778,0.0935456604,0.0935455933,0.0180804003,0.0405610278,0.0405461043,0.0651644766,0.0734606311,0.0000000024,-0.0245778654,-0.1036411673,0.0095976386,-0.0429809280,0.0772029459,-0.0033238265,0.0308928080,0.0772014409,0.0023893341
00:01:13:11.077,61,0.0008302515,0.1258495450,0.0505934879,0.0000000000,0.0000000000,0.0424312688,0.0950020701,0.0008316858,0.1257950962,0.0706922486,0.0000000000,0.0000000000,0.0424200073,0.0946453214,0.0476508029,0.0000000000,0.0356639661,0.1304541379,0.0707857758,0.1051719263,0.1293417066,0.0000000000,0.0039467607,0.0000000000,0.0000000000,0.0423345007,0.0397882536,0.0192893371,0.0192339867,0.0862988681,0.0881700590,0.0339948907,0.0204470642,0.0725843087,0.0460949242,0.0273854323,0.0264349300,0.1491032094,0.1365380883,0.0590724796,0.0633272156,0.0000000000,0.0000000000,0.1026662514,0.0930296406,0.0930295661,0.0181030147,0.0403828509,0.0403845087,0.0649542660,0.0732366294,0.0000000023,-0.0248157121,-0.1040060222,0.0093627945,-0.0430559255,0.0769152939,-0.0033171675,0.0308144949,0.0769136995,0.0023743610
00:01:13:12.078,61,0.0007640868,0.1253542602,0.0504761897,0.0000000000,0.0000000000,0.0423738658,0.0959157795,0.0007654068,0.1252992302,0.0708091483,0.0000000000,0.0000000000,0.0423626341,0.0955574140,0.0473436117,0.0000000000,0.0355782174,0.1294389367,0.0703788027,0.1043764874,0.1289200932,0.0000000000,0.0038960723,0.0000000000,0.0000000000,0.0423138216,0.0398055315,0.0191840753,0.0191246476,0.0856737569,0.0875200853,0.0339582264,0.0204068571,0.0726035908,0.0461144038,0.0273321122,0.0264112744,0.1483860612,0.1358237565,0.0586504787,0.0628994480,0.0000000000,0.0000000000,0.1019214019,0.0925720632,0.0925719664,0.0180954784,0.0402051769,0.0402274318,0.0647377148,0.0730110183,0.0000000023,-0.0246506277,-0.1039424166,0.0091750184,-0.0431281291,0.0766123235,-0.0033095868,0.0307437684,0.0766108260,0.0023595481
00:01:13:13.080,61,0.0007031950,0.1244536489,0.0505151190,0.0000000000,0.0000000000,0.0423537269,0.0972767547,0.0007044098,0.1243993938,0.0707692802,0.0000000000,0.0000000000,0.0423425883,0.0969170332,0.0470388122,0.0000000000,0.0354495905,0.1286568046,0.0699135363,0.1038519815,0.1284249723,0.0000000000,0.0038120700,0.0000000000,0.0000000000,0.0423265733,0.0398164280,0.0190974157,0.0190355964,0.0851983801,0.0870073885,0.0338806100,0.0203341469,0.0726274848,0.0461762249,0.0272821821,0.0263846405,0.1480388790,0.1354361176,0.0584213547,0.0626726002,0.0000000000,0.0000000000,0.1013370529,0.0922264308,0.0922263339,0.0180665553,0.0400651470,0.0401148647,0.0645620227,0.0728445575,0.0000000023,-0.0244989358,-0.1038470641,0.0088888118,-0.0431056544,0.0760620609,-0.0032840131,0.0307687707,0.0760604814,0.0023444367
00:01:13:14.081,61,0.0006471559,0.1237831190,0.0506820492,0.0000000000,0.0000000000,0.0423750691,0.0982366651,0.0006482739,0.1237298399,0.0705889836,0.0000000000,0.0000000000,0.0423639864,0.0978734493,0.0467986874,0.0000000000,0.0353705995,0.1279994398,0.0695150346,0.1034248471,0.1280632466,0.0000000000,0.0037275974,0.0000000000,0.0000000000,0.0423268303,0.0398293622,0.0190322585,0.0189636722,0.0847542733,0.0865259171,0.0338477269,0.0202941801,0.0727025196,0.0462596603,0.0272729993,0.0264028031,0.1477556825,0.1350972801,0.0582115576,0.0624698773,0.0000000000,0.0000000000,0.1008106172,0.0918061435,0.0918059051,0.0180659182,0.0399788879,0.0400531590,0.0644285902,0.0727276653,0.0000000023,-0.0242807455,-0.1036666185,0.0084929215,-0.0429971740,0.0756523237,-0.0032580406,0.0308714099,0.0756509230,0.0023395403
00:01:13:15.083,61,0.0005955826,0.1232162118,0.0511655509,0.0000000000,0.0000000000,0.0423123129,0.0997411907,0.0005966116,0.1231660619,0.0700915083,0.0000000000,0.0000000000,0.0423012748,0.0993735418,0.0464895330,0.0000000000,0.0353203937,0.1272631586,0.0690481514,0.1028055698,0.1274307072,0.0000000000,0.0036443691,0.0000000000,0.0000000000,0.0422956012,0.0398389287,0.0189646594,0.0188923460,0.0842873007,0.0860364810,0.0337527841,0.0202241577,0.0726675689,0.0462861061,0.0272230860,0.0263754856,0.1474292874,0.1347415745,0.0579748452,0.0622321926,0.0000000000,0.0000000000,0.1002367586,0.0915008411,0.0915005729,0.0180294253,0.0398261361,0.0399191342,0.0642463416,0.0725364983,0.0000000022,-0.0240516420,-0.1034729928,0.0080343019,-0.0426952653,0.0753066167,-0.0032203384,0.0311667323,0.0753051415,0.0023510766
00:01:13:16.085,61,0.0005481194,0.1232714355,0.0517880097,0.0000000000,0.0000000000,0.0421891250,0.1027579084,0.0005490664,0.1232248023,0.0694479197,0.0000000000,0.0000000000,0.0421782024,0.1023666486,0.0461632870,0.0000000000,0.0352883674,0.1263324171,0.0685392097,0.1022903472,0.1270015240,0.0000000000,0.0036199652,0.0000000000,0.0000000000,0.0422777124,0.0398072638,0.0188825838,0.0188056678,0.0838147998,0.0855528563,0.0336341746,0.0201388523,0.0726957917,0.0463648848,0.0271732472,0.0263484567,0.1470486075,0.1343433261,0.0577737503,0.0620414950,0.0000000000,0.0000000000,0.0996211842,0.0911062583,0.0911058411,0.0180108901,0.0396441743,0.0397638641,0.0640589222,0.0723662376,0.0000000024,-0.0240048692,-0.1034321114,0.0075890119,-0.0423031226,0.0753412917,-0.0031922527,0.0315458141,0.0753397867,0.0023807629
