Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:05:31:36.607,61,0.0089492463,0.1888619363,0.0773915201,0.0000000000,0.0000000000,0.0171256531,0.0345881507,0.0089492463,0.1890102476,0.0455223210,0.0000000000,0.0000000000,0.0171243977,0.0344112031,0.0319160707,0.0000000000,0.0071272268,0.0841233507,0.0930549204,0.0343729742,0.1519283354,0.0047316235,0.0000000000,0.0000000000,0.0000000000,0.0527450368,0.0520966724,0.0156596713,0.0154977692,0.0625504926,0.0625165328,0.0464133173,0.0280824620,0.0705596879,0.0303023066,0.0237629768,0.0238750856,0.0486416705,0.0431622416,0.0136456667,0.0147695420,0.0000000000,0.0000000000,0.1120762527,0.1925889403,0.1926617473,0.0198201425,0.0249176696,0.0243257247,0.0573246218,0.0639645085,0.0000000691,-0.0200988315,-0.0921454504,-0.0057057468,-0.0276228096,0.1155040562,-0.0032043930,0.0469612852,0.1154971048,0.0054460834
00:05:31:37.608,61,0.0080615208,0.1836592853,0.0791317150,0.0000000000,0.0000000000,0.0173307918,0.0403829105,0.0080595426,0.1838187128,0.0437182225,0.0000000000,0.0000000000,0.0173294954,0.0402026922,0.0317622870,0.0000000000,0.0072402628,0.0840887576,0.0928811505,0.0340895094,0.1514002383,0.0045026336,0.0000000000,0.0000000000,0.0000000000,0.0528835356,0.0522988178,0.0155322999,0.0153678479,0.0622923300,0.0622660480,0.0461731367,0.0279877353,0.0702289343,0.0302495062,0.0235721990,0.0236991458,0.0482993536,0.0428047441,0.0134915328,0.0146177653,0.0000000000,0.0000000000,0.1107457131,0.1916348487,0.1917075366,0.0197885185,0.0247525275,0.0241983961,0.0568136647,0.0634816661,0.0000000479,-0.0200988315,-0.0921454504,-0.0057057468,-0.0265377164,0.1123281866,-0.0029931744,0.0480346829,0.1123211756,0.0054159807
00:05:31:38.610,61,0.0073256590,0.1812876463,0.0799189731,0.0000000000,0.0000000000,0.0175119285,0.0437800214,0.0073227794,0.1814515740,0.0428933166,0.0000000000,0.0000000000,0.0175105818,0.0435980558,0.0315704718,0.0000000000,0.0073381718,0.0839205682,0.0925595835,0.0337409340,0.1500263065,0.0042628166,0.0000000000,0.0000000000,0.0000000000,0.0529169179,0.0523703918,0.0154015822,0.0152368369,0.0619654953,0.0619439706,0.0459035635,0.0278782714,0.0698540062,0.0301809330,0.0233726557,0.0235160794,0.0479081571,0.0424030460,0.0133343656,0.0144654959,0.0000000000,0.0000000000,0.1091066897,0.1908631772,0.1909358054,0.0197285060,0.0245751366,0.0240554661,0.0562922731,0.0629860163,0.0000000299,-0.0200988315,-0.0921454504,-0.0057057468,-0.0260412097,0.1108802184,-0.0028990109,0.0485204421,0.1108733416,0.0053996043
00:05:31:39.611,61,0.0066918582,0.1818920225,0.0801701173,0.0000000000,0.0000000000,0.0176434312,0.0455685779,0.0066886414,0.1820586771,0.0426622219,0.0000000000,0.0000000000,0.0176420398,0.0453860238,0.0313024633,0.0000000000,0.0074198674,0.0835983604,0.0920929164,0.0333231539,0.1489359885,0.0039985278,0.0000000000,0.0000000000,0.0000000000,0.0527984165,0.0522616953,0.0152560733,0.0150916595,0.0615464486,0.0615229383,0.0455393866,0.0277460925,0.0693731532,0.0300611369,0.0231438857,0.0233028885,0.0474554710,0.0419568345,0.0131649664,0.0142990611,0.0000000000,0.0000000000,0.1062601060,0.1891123652,0.1891855150,0.0196286254,0.0243601017,0.0238701403,0.0557367578,0.0624412335,0.0000000249,-0.0200988315,-0.0921454504,-0.0057057468,-0.0258998331,0.1112507954,-0.0028929918,0.0486709103,0.1112437993,0.0054345829
00:05:31:40.614,61,0.0061318059,0.1833236217,0.0804880112,0.0000000000,0.0000000000,0.0176957455,0.0463997945,0.0061285421,0.1834937930,0.0423923172,0.0000000000,0.0000000000,0.0176943168,0.0462156683,0.0309808422,0.0000000000,0.0076067750,0.0832104981,0.0915435702,0.0328408442,0.1478339136,0.0036764776,0.0000000000,0.0000000000,0.0000000000,0.0526492298,0.0521618500,0.0151045537,0.0149383079,0.0610395037,0.0610422678,0.0451243110,0.0276172031,0.0688032210,0.0298943501,0.0228932649,0.0230646506,0.0469465330,0.0414758809,0.0129779922,0.0141143817,0.0000000000,0.0000000000,0.1030277610,0.1868613362,0.1869278699,0.0195103753,0.0241002757,0.0236354396,0.0551346838,0.0618319102,0.0000000321,-0.0200988315,-0.0921454504,-0.0057057468,-0.0257334504,0.1121272743,-0.0028972472,0.0488591120,0.1121204123,0.0054989308
00:05:31:41.615,61,0.0056288242,0.1841356456,0.0785955340,0.0000000000,0.0000000000,0.0177186765,0.0470281616,0.0056256582,0.1842905879,0.0443094000,0.0000000000,0.0000000000,0.0177172329,0.0468404666,0.0306120738,0.0000000000,0.0077571515,0.0828137696,0.0910271928,0.0323462784,0.1453205198,0.0033711321,0.0000000000,0.0000000000,0.0000000000,0.0523803532,0.0518563837,0.0149634341,0.0147949019,0.0605591089,0.0605833791,0.0446527638,0.0274744239,0.0681005865,0.0296672061,0.0226058122,0.0227893442,0.0464902408,0.0410404168,0.0127972523,0.0139357774,0.0000000000,0.0000000000,0.1010177583,0.1852941215,0.1853509396,0.0193342045,0.0238340981,0.0234033428,0.0545013547,0.0611898750,0.0000000579,-0.0200988315,-0.0921454504,-0.0057057468,-0.0268956982,0.1126176119,-0.0030414234,0.0477076471,0.1126107350,0.0053931205
00:05:31:42.616,61,0.0051725842,0.1839949340,0.0780876651,0.0000000000,0.0000000000,0.0177036915,0.0472750477,0.0051695835,0.1841453910,0.0448336117,0.0000000000,0.0000000000,0.0177022517,0.0470823124,0.0302649457,0.0000000000,0.0078634592,0.0824203789,0.0905439854,0.0319285691,0.1444341540,0.0030258577,0.0000000000,0.0000000000,0.0000000000,0.0521936119,0.0515152998,0.0148161687,0.0146454591,0.0601169467,0.0601520501,0.0442113616,0.0273351837,0.0674914047,0.0294707697,0.0223436356,0.0225388128,0.0460842587,0.0406551883,0.0126423426,0.0137869287,0.0000000000,0.0000000000,0.0997861177,0.1844038814,0.1844560653,0.0192002021,0.0235781278,0.0231854934,0.0539409071,0.0606313646,0.0000001295,-0.0200988315,-0.0921454504,-0.0057057468,-0.0272141621,0.1125298813,-0.0030750094,0.0473998263,0.1125230417,0.0053541409
00:05:31:43.618,61,0.0047562667,0.1841071546,0.0774992406,0.0000000000,0.0000000000,0.0176620875,0.0476269275,0.0047534583,0.1842529178,0.0454408452,0.0000000000,0.0000000000,0.0176606551,0.0474272594,0.0298805442,0.0000000000,0.0079723792,0.0818874165,0.0899219587,0.0314559676,0.1435649097,0.0026830838,0.0000000000,0.0000000000,0.0000000000,0.0519939139,0.0511898287,0.0146628805,0.0144902552,0.0596458837,0.0597036295,0.0437300354,0.0271739196,0.0668433085,0.0292587988,0.0220671985,0.0222727209,0.0456368439,0.0402333178,0.0124829588,0.0136321401,0.0000000000,0.0000000000,0.0989067629,0.1839930564,0.1840414107,0.0190523081,0.0233167801,0.0229636468,0.0533711538,0.0600536540,0.0000001492,-0.0200988315,-0.0921454504,-0.0057057468,-0.0275825523,0.1125967279,-0.0031184913,0.0470422916,0.1125897616,0.0053169630
00:05:31:44.619,61,0.0043750340,0.1847037226,0.0769818947,0.0000000000,0.0000000000,0.0176126994,0.0478042513,0.0043724244,0.1848455966,0.0459449850,0.0000000000,0.0000000000,0.0176112782,0.0475981236,0.0295112096,0.0000000000,0.0080685485,0.0813800544,0.0893282443,0.0310345404,0.1430085748,0.0023818442,0.0000000000,0.0000000000,0.0000000000,0.0518343598,0.0509303398,0.0145057738,0.0143315317,0.0592035763,0.0592851639,0.0432706699,0.0270057805,0.0662922040,0.0290797818,0.0218073092,0.0220223814,0.0452053547,0.0398272686,0.0123403072,0.0134923672,0.0000000000,0.0000000000,0.0982578546,0.1838547736,0.1839000583,0.0189299993,0.0230713338,0.0227545388,0.0528488383,0.0595192872,0.0000001765,-0.0200988315,-0.0921454504,-0.0057057468,-0.0278874189,0.1129598692,-0.0031632057,0.0467263348,0.1129528955,0.0052984576
00:05:31:45.621,61,0.0040252032,0.1846133620,0.0770832300,0.0000000000,0.0000000000,0.0176124647,0.0476713739,0.0040227883,0.1847560108,0.0458283722,0.0000000000,0.0000000000,0.0176110342,0.0474612266,0.0292102210,0.0000000000,0.0081279324,0.0810472146,0.0889198408,0.0307001565,0.1424459219,0.0021122633,0.0000000000,0.0000000000,0.0000000000,0.0517184772,0.0506995395,0.0143847987,0.0142086595,0.0588445440,0.0589398444,0.0428984389,0.0268740766,0.0658130348,0.0289221760,0.0215873774,0.0218116343,0.0448431149,0.0394872986,0.0122132031,0.0133656915,0.0000000000,0.0000000000,0.0977710038,0.1837512851,0.1837949604,0.0188230127,0.0228671748,0.0225765351,0.0523690879,0.0590419881,0.0000001873,-0.0200988315,-0.0921454504,-0.0057057468,-0.0278168097,0.1129048988,-0.0031536503,0.0467881374,0.1128979847,0.0053028590
