Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:03:43:29.347,61,0.7292625904,0.4414985180,0.0621330254,0.0000000000,0.0000000000,0.0412779376,0.0000000000,0.7292733192,0.4415591955,0.0574809164,0.0000000000,0.0000000000,0.0412577465,0.0000000000,0.0429600924,0.0000000000,0.0277533978,0.1496418715,0.0933404267,0.0990761817,0.1374283433,0.0000000000,0.0042923572,0.0000000000,0.0000000000,0.0486556739,0.0238675792,0.0199918915,0.0200570729,0.0873518437,0.0875250995,0.0389175750,0.0219792929,0.0716619045,0.0373084508,0.0272982977,0.0257907286,0.1273366213,0.1274740100,0.0618056543,0.0662316978,0.0000000000,0.0000000000,0.1584582329,0.1505852789,0.1505442858,0.0162791610,0.0497811884,0.0517491587,0.0925340354,0.0997537598,0.0000000221,-0.0336900875,-0.0870462954,0.0067018331,-0.0338429809,0.2698916197,-0.0093603106,0.0365822874,0.2698812187,0.0101171648
00:03:43:30.349,61,0.5000203848,0.4316509366,0.0564395450,0.0000000000,0.0000000000,0.0443288907,0.0000000000,0.4999900460,0.4315961003,0.0642010495,0.0000000000,0.0000000000,0.0443014540,0.0000000000,0.0437186658,0.0000000000,0.0274399314,0.1534429938,0.0932717100,0.1004855782,0.1373725384,0.0000000000,0.0042559807,0.0000000000,0.0000000000,0.0483707078,0.0235974882,0.0203186423,0.0204277448,0.0883744583,0.0888342187,0.0390516147,0.0221214499,0.0721624866,0.0376873165,0.0277727097,0.0261681825,0.1293921769,0.1293592155,0.0622819401,0.0665989518,0.0000000000,0.0000000000,0.1510922611,0.1403925121,0.1403827518,0.0163572263,0.0499819592,0.0516646169,0.0907728076,0.0959668979,0.0000000204,-0.0336900875,-0.0870462954,0.0067018331,-0.0378623791,0.2638406754,-0.0102252774,0.0332848914,0.2638302445,0.0089892466
00:03:43:31.351,61,0.3354997039,0.3830949366,0.0624775216,0.0000000000,0.0000000000,0.0454279669,0.0000000000,0.3356758952,0.3831427395,0.0586945750,0.0000000000,0.0000000000,0.0453981534,0.0000000000,0.0442634001,0.0000000000,0.0273948181,0.1565632671,0.0932116136,0.1011166349,0.1373186260,0.0000000000,0.0043871570,0.0000000000,0.0000000000,0.0479648113,0.0235302299,0.0205835663,0.0207334440,0.0888613239,0.0895984918,0.0391269289,0.0222423002,0.0725267678,0.0380372107,0.0280526076,0.0264038444,0.1310561746,0.1306208819,0.0623017251,0.0665261596,0.0000000000,0.0000000000,0.1477027684,0.1361294538,0.1361313611,0.0163807441,0.0497823991,0.0509432703,0.0881137475,0.0932181180,0.0000000185,-0.0336900875,-0.0870462954,0.0067018331,-0.0348765142,0.2341936976,-0.0083186589,0.0371245630,0.2341837585,0.0088542020
00:03:43:32.352,61,0.2259099334,0.3469257653,0.0648915097,0.0000000000,0.0000000000,0.0454036444,0.0000000000,0.2260735780,0.3470063806,0.0563674979,0.0000000000,0.0000000000,0.0453747846,0.0000000000,0.0445688777,0.0000000000,0.0274429601,0.1580138206,0.0930870920,0.1012442634,0.1373033822,0.0000000000,0.0045404159,0.0000000000,0.0000000000,0.0476594605,0.0238371361,0.0207742751,0.0209521819,0.0891089737,0.0901156217,0.0391988754,0.0222932212,0.0729212239,0.0384193920,0.0282235835,0.0265587606,0.1319217235,0.1311825067,0.0620154329,0.0661604553,0.0000000000,0.0000000000,0.1460605562,0.1339299679,0.1339376569,0.0164090972,0.0493274145,0.0497177392,0.0854318365,0.0910229981,0.0000000146,-0.0336900875,-0.0870462954,0.0067018331,-0.0336619467,0.2120961547,-0.0072470936,0.0387526937,0.2120865732,0.0083421329
00:03:43:33.354,61,0.1809397042,0.3163575530,0.0701843053,0.0000000000,0.0000000000,0.0444182679,0.0000000000,0.1811093837,0.3165048957,0.0512775742,0.0000000000,0.0000000000,0.0443920195,0.0000000000,0.0447617061,0.0000000000,0.0276074987,0.1588079929,0.0930712074,0.1009374782,0.1373247653,0.0000000000,0.0046890574,0.0000000000,0.0000000000,0.0475483648,0.0254359450,0.0209235717,0.0211180970,0.0891747475,0.0904385373,0.0393109135,0.0223503876,0.0732404441,0.0387269482,0.0283057541,0.0266387612,0.1323641092,0.1313235164,0.0612182245,0.0650852695,0.0000000000,0.0000000000,0.1451939195,0.1328065842,0.1328168958,0.0164483953,0.0485036150,0.0478939191,0.0830880404,0.0892768949,0.0000000070,-0.0345586613,-0.0833836794,0.0062673371,-0.0307398681,0.1934344023,-0.0060204156,0.0420745909,0.1934252083,0.0082387039
00:03:43:34.355,61,0.1540207267,0.2909658253,0.0698968023,0.0000000000,0.0000000000,0.0430381373,0.0000000000,0.1541648060,0.2910979688,0.0517078042,0.0000000000,0.0000000000,0.0430148728,0.0000000000,0.0448889360,0.0000000000,0.0278254207,0.1591692120,0.0931296274,0.0996544361,0.1372635365,0.0000000000,0.0048346370,0.0000000000,0.0000000000,0.0476234891,0.0282367785,0.0210406650,0.0212471839,0.0891102925,0.0906036794,0.0394566655,0.0224261340,0.0734634548,0.0389484875,0.0283190347,0.0266629625,0.1325676292,0.1312131584,0.0595879778,0.0631968156,0.0000000000,0.0000000000,0.1443992108,0.1319057494,0.1319171041,0.0164809451,0.0472605117,0.0459505320,0.0808474794,0.0875781849,0.0000000053,-0.0340265110,-0.0812322423,0.0061841793,-0.0310882647,0.1779085547,-0.0055890111,0.0420244560,0.1778997034,0.0075536510
00:03:43:35.357,61,0.1314054281,0.2736208737,0.0694786459,0.0000000000,0.0000000000,0.0415505879,0.0000000000,0.1315826476,0.2737391293,0.0521414541,0.0000000000,0.0000000000,0.0415298976,0.0000000000,0.0448690914,0.0000000000,0.0280924235,0.1584074497,0.0928544253,0.0944570154,0.1365005970,0.0000000000,0.0049921931,0.0000000000,0.0000000000,0.0477848537,0.0299955867,0.0210900959,0.0213011745,0.0887860060,0.0904574320,0.0395142846,0.0224579778,0.0735194162,0.0390917398,0.0282569192,0.0266257674,0.1323338598,0.1304398179,0.0573790483,0.0608586930,0.0000000000,0.0000000000,0.1415579319,0.1311110556,0.1311224997,0.0164757874,0.0455928519,0.0439466983,0.0779356211,0.0851260498,0.0000000054,-0.0334962942,-0.0797922090,0.0062155728,-0.0314069875,0.1673010141,-0.0053030765,0.0418502577,0.1672933549,0.0070651439
00:03:43:36.358,61,0.1069542468,0.2578240037,0.0691694692,0.0000000000,0.0000000000,0.0399233811,0.0000000000,0.1071837023,0.2579323053,0.0524556972,0.0000000000,0.0000000000,0.0399051867,0.0000000000,0.0446765870,0.0000000000,0.0283657555,0.1538333893,0.0925405622,0.0864606425,0.1352418810,0.0000000000,0.0051200725,0.0000000000,0.0000000000,0.0480722189,0.0325904377,0.0210563075,0.0212630052,0.0879916251,0.0899722129,0.0394949205,0.0224848930,0.0733814910,0.0390884615,0.0281129256,0.0265197698,0.1285568774,0.1240252852,0.0531219691,0.0563801154,0.0000000000,0.0000000000,0.1357669979,0.1305013299,0.1305124015,0.0164459124,0.0436823405,0.0419096202,0.0751748532,0.0825603828,0.0000000055,-0.0330184177,-0.0801951215,0.0067046988,-0.0316463038,0.1576415151,-0.0050296285,0.0417299569,0.1576341391,0.0066310754
00:03:43:37.360,61,0.0892574117,0.2448214740,0.0691370741,0.0000000000,0.0000000000,0.0385557003,0.0000000000,0.0894886553,0.2449245155,0.0524887256,0.0000000000,0.0000000000,0.0385393873,0.0000000000,0.0443353988,0.0000000000,0.0285699442,0.1440590322,0.0921432748,0.0800853074,0.1345957369,0.0000000000,0.0052140509,0.0000000000,0.0000000000,0.0483507663,0.0347089358,0.0208970960,0.0210895576,0.0861452892,0.0884768516,0.0394096114,0.0224830974,0.0731837600,0.0390072614,0.0278968960,0.0263553243,0.1185902655,0.1123942584,0.0487109460,0.0516614579,0.0000000000,0.0000000000,0.1288703233,0.1300046444,0.1300151348,0.0164274368,0.0419812091,0.0401958935,0.0728702992,0.0802162886,0.0000000050,-0.0325421281,-0.0810281113,0.0075099189,-0.0317052156,0.1496916860,-0.0047809393,0.0417617410,0.1496844441,0.0062962770
00:03:43:38.362,61,0.0792492330,0.2379062027,0.0673779026,0.0000000000,0.0000000000,0.0374703407,0.0000000000,0.0794845670,0.2379873842,0.0543427840,0.0000000000,0.0000000000,0.0374553315,0.0000000000,0.0439679846,0.0000000000,0.0287065990,0.1391095817,0.0917146429,0.0768341944,0.1342000961,0.0000000000,0.0053115916,0.0000000000,0.0000000000,0.0486252494,0.0359576717,0.0206845645,0.0208604336,0.0846264511,0.0870277435,0.0392990522,0.0224712230,0.0729974285,0.0389173999,0.0276646689,0.0261789355,0.1134973392,0.1068836749,0.0459400639,0.0487927906,0.0000000000,0.0000000000,0.1240519136,0.1294376105,0.1294474602,0.0164261945,0.0407344773,0.0390008651,0.0710903853,0.0784193948,0.0000000041,-0.0323639549,-0.0818546936,0.0079410886,-0.0328458138,0.1454572529,-0.0048107426,0.0407246985,0.1454500705,0.0059638186
