Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:05:59:31.253,61,0.3404759467,0.3379485607,0.0678448230,0.0000000000,0.0000000000,0.0301766340,0.0000000000,0.3403482735,0.3380787373,0.0537740067,0.0000000000,0.0000000000,0.0301684849,0.0000000000,0.0677817687,0.0000000000,0.0298908092,0.2906082869,0.1155059189,0.1567785144,0.1374437809,0.0000000000,0.0013796591,0.0000000000,0.0000000000,0.0424275696,0.0322878361,0.0233374350,0.0233144909,0.1194927171,0.1208916083,0.0366371535,0.0262365937,0.0589134693,0.0325901173,0.0249928720,0.0234592147,0.2442892790,0.2339651287,0.0602532923,0.0623432882,0.0000000000,0.0000000000,0.1046260446,0.0808338523,0.0810762495,0.0171056855,0.0376596823,0.0356727019,0.0703515708,0.0790245235,0.0000000152,-0.0212593973,-0.1018736288,0.0402163416,-0.0321504101,0.2066288590,-0.0067381267,0.0405635610,0.2066134661,0.0084997723
00:05:59:32.254,61,0.8066666722,0.2982870340,0.0771917030,0.0000000000,0.0000000000,0.0323215760,0.0000000000,0.8063540459,0.2985352576,0.0429556705,0.0000000000,0.0000000000,0.0323144421,0.0000000000,0.0693282261,0.0000000000,0.0300186779,0.2651360035,0.1122755781,0.1622515172,0.1372010559,0.0000000000,0.0015099536,0.0000000000,0.0000000000,0.0419264585,0.0269004162,0.0236075930,0.0236227158,0.1201796234,0.1215550303,0.0361615121,0.0262104161,0.0582065023,0.0323827416,0.0252013914,0.0235611554,0.2461560071,0.2385408431,0.0700819641,0.0728792548,0.0000000000,0.0000000000,0.1288378537,0.1036954969,0.1036789119,0.0168501362,0.0451309532,0.0451124012,0.0788264722,0.0856250301,0.0000000140,-0.0212593973,-0.1018736288,0.0402163416,-0.0258049052,0.1824262291,-0.0047598528,0.0463725403,0.1824114770,0.0085506951
00:05:59:33.256,61,0.9548406005,0.2301728725,0.0894428715,0.0000000000,0.0000000000,0.0327253267,0.0000000000,0.9548305273,0.2304979861,0.0293399841,0.0000000000,0.0000000000,0.0327185467,0.0000000000,0.0701201856,0.0000000000,0.0302008614,0.2536557615,0.1077637449,0.1635803133,0.1367642283,0.0000000000,0.0016618704,0.0000000000,0.0000000000,0.0414761379,0.0219625216,0.0239110868,0.0239610095,0.1204143539,0.1216086224,0.0356976539,0.0261124820,0.0574810803,0.0320814215,0.0254940279,0.0237509161,0.2469589114,0.2406896502,0.0771601647,0.0808413178,0.0000000000,0.0000000000,0.1509767324,0.1188682988,0.1188354492,0.0166160706,0.0499137007,0.0511484332,0.0884733647,0.0978995934,0.0000000117,-0.0212593973,-0.1018736288,0.0402163416,-0.0177453868,0.1408255249,-0.0025155183,0.0540978275,0.1408119798,0.0076644830
00:05:59:34.258,61,0.9778839350,0.2089040577,0.0928472504,0.0000000000,0.0000000000,0.0327639692,0.0000000000,0.9778898358,0.2092330754,0.0256443098,0.0000000000,0.0000000000,0.0327575989,0.0000000000,0.0705622435,0.0000000000,0.0302952640,0.2452755421,0.1058869362,0.1618784964,0.1364668012,0.0000000000,0.0017547384,0.0000000000,0.0000000000,0.0410545319,0.0198031422,0.0242063086,0.0242866036,0.1202651411,0.1212324128,0.0353206694,0.0260388535,0.0568329096,0.0317520723,0.0258316882,0.0239832904,0.2464974821,0.2414637059,0.0800614133,0.0839664266,0.0000000000,0.0000000000,0.1600787789,0.1251144111,0.1250702292,0.0164338388,0.0529884920,0.0546259433,0.0929805487,0.1025729254,0.0000000101,-0.0202096384,-0.1018098965,0.0394794866,-0.0155374259,0.1278287321,-0.0019969356,0.0562554784,0.1278155297,0.0072257984
00:05:59:35.259,61,0.9860381484,0.2054815441,0.0928786844,0.0000000000,0.0000000000,0.0328047872,0.0000000000,0.9860321283,0.2058062702,0.0254716035,0.0000000000,0.0000000000,0.0327988267,0.0000000000,0.0707610846,0.0000000000,0.0303956661,0.2381934971,0.1042512134,0.1601816714,0.1359982193,0.0000000000,0.0018458096,0.0000000000,0.0000000000,0.0406695716,0.0185263753,0.0244938936,0.0246020686,0.1199457869,0.1207007021,0.0349846445,0.0259376056,0.0562754758,0.0314706787,0.0261956993,0.0242437124,0.2459534705,0.2416882366,0.0817788541,0.0857733190,0.0000000000,0.0000000000,0.1645543873,0.1281123012,0.1280620098,0.0162655655,0.0556783676,0.0574440584,0.0955653116,0.1051558927,0.0000000098,-0.0202096384,-0.1018098965,0.0394794866,-0.0154369026,0.1257349551,-0.0019511722,0.0562895164,0.1257217228,0.0071104611
00:05:59:36.261,61,0.9500607848,0.2499852926,0.0847704858,0.0000000000,0.0000000000,0.0343299732,0.0000000000,0.9500351548,0.2502856255,0.0338235237,0.0000000000,0.0000000000,0.0343252271,0.0000000000,0.0710267946,0.0000000000,0.0301316921,0.2350406796,0.1040180475,0.1520570666,0.1359252483,0.0000000000,0.0017012937,0.0000000000,0.0000000000,0.0402708612,0.0182406642,0.0248364918,0.0249572285,0.1195083782,0.1200783849,0.0349462740,0.0261430647,0.0557924770,0.0310985260,0.0265657026,0.0245061871,0.2411720902,0.2391845137,0.0793366581,0.0816716999,0.0000000000,0.0000000000,0.1631645560,0.1287327856,0.1286949515,0.0161798783,0.0570623539,0.0587567538,0.0968201086,0.1061166003,0.0000000144,-0.0202096384,-0.1018098965,0.0394794866,-0.0204205643,0.1529229581,-0.0031471162,0.0511802062,0.1529091150,0.0078838822
00:05:59:37.262,61,0.8087046742,0.4092254937,0.0431783013,0.0000000000,0.0000000000,0.0446057096,0.0000000000,0.8044957519,0.4089612365,0.0763735771,0.0000000000,0.0000000000,0.0445903093,0.0000000000,0.0709871799,0.0000000000,0.0296166185,0.2332011610,0.1084006429,0.1459990889,0.1362271011,0.0000000000,0.0013203023,0.0000000000,0.0000000000,0.0400386825,0.0205214284,0.0251723584,0.0253066178,0.1189569235,0.1194735616,0.0351225436,0.0265641883,0.0556141883,0.0308219939,0.0268954970,0.0247201547,0.2131855339,0.2160216868,0.0715447664,0.0717619359,0.0000000000,0.0000000000,0.1508979350,0.1256159842,0.1256444901,0.0161329675,0.0576447919,0.0590133183,0.0971154198,0.1036610603,0.0000000174,-0.0202096384,-0.1018098965,0.0394794866,-0.0452046767,0.2500811815,-0.0115421135,0.0255560949,0.2500650287,0.0065265102
00:05:59:38.264,61,0.5977415442,0.4335353076,0.0369254425,0.0000000000,0.0000000000,0.0503594242,0.0000000000,0.5941206813,0.4331284165,0.0835728124,0.0000000000,0.0000000000,0.0503172204,0.0000000000,0.0706199929,0.0000000000,0.0289117005,0.2320101410,0.1174369454,0.1364731193,0.1367862076,0.0000000000,0.0009374411,0.0000000000,0.0000000000,0.0398409218,0.0224705711,0.0254793372,0.0256144200,0.1178353429,0.1181595549,0.0354076289,0.0271245800,0.0555730164,0.0305776037,0.0270933360,0.0248447116,0.2039944530,0.2051643729,0.0642418563,0.0643342286,0.0000000000,0.0000000000,0.1409815252,0.1204646304,0.1206281483,0.0160736199,0.0577003136,0.0577660985,0.0962719694,0.0983820930,0.0000000197,-0.0202096384,-0.1018098965,0.0394794866,-0.0492737442,0.2649123073,-0.0133611923,0.0217699483,0.2648959160,0.0059050173
00:05:59:39.265,61,0.4414450228,0.3983348310,0.0466088578,0.0000000000,0.0000000000,0.0527780950,0.0000000000,0.4399598241,0.3981205821,0.0744340345,0.0000000000,0.0000000000,0.0527271070,0.0000000000,0.0701704696,0.0000000000,0.0284069274,0.2314304411,0.1219406053,0.1286295354,0.1371169686,0.0000000000,0.0006518483,0.0000000000,0.0000000000,0.0394588336,0.0234767236,0.0257865377,0.0259275436,0.1166647002,0.1170188934,0.0357204080,0.0277539492,0.0555372015,0.0303501766,0.0271802470,0.0249067508,0.1996044666,0.2004023492,0.0600719973,0.0603565462,0.0000000000,0.0000000000,0.1361946911,0.1156654805,0.1159201711,0.0159612391,0.0573307872,0.0552547425,0.0930684432,0.0934198052,0.0000000223,-0.0202096384,-0.1018098965,0.0394794866,-0.0441302545,0.2434398085,-0.0109564420,0.0276327766,0.2434237450,0.0068615787
00:05:59:40.267,61,0.3277156651,0.3584201932,0.0538999885,0.0000000000,0.0000000000,0.0535507128,0.0000000000,0.3274999261,0.3583380282,0.0675965548,0.0000000000,0.0000000000,0.0534968600,0.0000000000,0.0697970018,0.0000000000,0.0282553975,0.2319400162,0.1239595190,0.1230544895,0.1370813698,0.0000000000,0.0005276019,0.0000000000,0.0000000000,0.0342504419,0.0233751498,0.0261221565,0.0262811761,0.1148540676,0.1158289984,0.0360100791,0.0283860136,0.0553352572,0.0300949458,0.0271582492,0.0249038786,0.2056911588,0.2013513744,0.0579001829,0.0582562238,0.0000000000,0.0000000000,0.1336481422,0.1128268465,0.1130774841,0.0158043038,0.0557036102,0.0524070114,0.0877479315,0.0892730057,0.0000000173,-0.0202096384,-0.1018098965,0.0394794866,-0.0403065160,0.2190770954,-0.0089715989,0.0321393237,0.2190614194,0.0071539558
