Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:02:52:47.535,61,0.0000140427,0.1481298059,0.0307223834,0.0000000000,0.0000000000,0.0287705194,0.0509390272,0.0000140280,0.1479331106,0.0914200470,0.0000000000,0.0000000000,0.0287684333,0.0504683889,0.0499211997,0.0000000000,0.0311549995,0.1283310801,0.1017865166,0.1078028902,0.2141627073,0.0000000000,0.0087040681,0.0000000000,0.0000000000,0.0643970296,0.0706506371,0.0138363605,0.0133594694,0.0874014497,0.0915204734,0.0430934355,0.0240606181,0.0824865550,0.0429713167,0.0256630145,0.0250118170,0.1206395626,0.1109385043,0.0381731912,0.0413403884,0.0000000000,0.0000000000,0.1052392796,0.1146694124,0.1146499813,0.0237883665,0.0326397792,0.0332754664,0.0706544369,0.0778979436,0.0000000040,-0.0542635955,-0.1348963827,0.0337442085,-0.0556172282,0.0905075222,-0.0050449227,0.0186904483,0.0905032232,0.0016960787
00:02:52:48.536,61,0.0000129236,0.1465584785,0.0317976885,0.0000000000,0.0000000000,0.0289193653,0.0525841527,0.0000129100,0.1463711411,0.0903138369,0.0000000000,0.0000000000,0.0289172325,0.0521200262,0.0496933460,0.0000000000,0.0310869794,0.1282663643,0.1012270525,0.1091174781,0.2103922963,0.0000000000,0.0087298648,0.0000000000,0.0000000000,0.0639835447,0.0700826794,0.0138400597,0.0133673567,0.0873508677,0.0914430171,0.0429707095,0.0239725541,0.0826121122,0.0431284420,0.0256883278,0.0250356905,0.1211123094,0.1113181636,0.0384094194,0.0415954776,0.0000000000,0.0000000000,0.1053741351,0.1153372675,0.1153187007,0.0237609278,0.0326805972,0.0333133191,0.0706389546,0.0779050514,0.0000000065,-0.0542635955,-0.1348963827,0.0337442085,-0.0549489819,0.0895485654,-0.0049312748,0.0193463024,0.0895442814,0.0017368859
00:02:52:49.538,61,0.0000118937,0.1454904377,0.0330170989,0.0000000000,0.0000000000,0.0290786438,0.0535221659,0.0000118812,0.1453128457,0.0890453458,0.0000000000,0.0000000000,0.0290764682,0.0530593544,0.0495383665,0.0000000000,0.0310360417,0.1284547150,0.1008402929,0.1104885116,0.2087868303,0.0000000000,0.0087400656,0.0000000000,0.0000000000,0.0634979457,0.0694554448,0.0138658946,0.0133991772,0.0873712003,0.0914414376,0.0428965576,0.0239307489,0.0827553049,0.0432768203,0.0257470328,0.0250916537,0.1217199564,0.1118258536,0.0386415757,0.0418445244,0.0000000000,0.0000000000,0.1056446433,0.1160484329,0.1160306111,0.0237641949,0.0327423587,0.0333683938,0.0706670061,0.0779573545,0.0000000073,-0.0542635955,-0.1348963827,0.0337442085,-0.0541803353,0.0888973624,-0.0048268172,0.0200893860,0.0888930336,0.0017904028
00:02:52:50.539,61,0.0000109459,0.1446493417,0.0336562805,0.0000000000,0.0000000000,0.0292614009,0.0539997555,0.0000109344,0.1444772184,0.0883708149,0.0000000000,0.0000000000,0.0292591732,0.0535384007,0.0494598113,0.0000000000,0.0310071781,0.1289328188,0.1006107479,0.1122611240,0.2077123970,0.0000000000,0.0087254765,0.0000000000,0.0000000000,0.0629170090,0.0687775239,0.0139121031,0.0134483324,0.0874509737,0.0914871022,0.0428438373,0.0239326712,0.0828301460,0.0433809608,0.0258090217,0.0251531135,0.1229587123,0.1125715226,0.0388818011,0.0421015024,0.0000000000,0.0000000000,0.1057632864,0.1162461638,0.1162291467,0.0237595029,0.0328248441,0.0334403664,0.0706989840,0.0780119002,0.0000000073,-0.0542635955,-0.1348963827,0.0337442085,-0.0537723564,0.0883842111,-0.0047627096,0.0204792358,0.0883798525,0.0018145499
00:02:52:51.541,61,0.0000100736,0.1442260742,0.0338428393,0.0000000000,0.0000000000,0.0293662306,0.0542005859,0.0000100630,0.1440557092,0.0881817266,0.0000000000,0.0000000000,0.0293639656,0.0537401736,0.0493547581,0.0000000000,0.0310417749,0.1292896271,0.1004862711,0.1129174307,0.2071151137,0.0000000000,0.0087093050,0.0000000000,0.0000000000,0.0623699464,0.0682537332,0.0139435055,0.0134824654,0.0874295235,0.0914747193,0.0428015701,0.0239414051,0.0828395933,0.0434149094,0.0258409195,0.0251808185,0.1234970614,0.1129736602,0.0389836505,0.0422050282,0.0000000000,0.0000000000,0.1057752967,0.1164610311,0.1164445430,0.0237500891,0.0328628272,0.0334633626,0.0706820711,0.0779901072,0.0000000074,-0.0544983633,-0.1346348822,0.0333877243,-0.0536585264,0.0881258026,-0.0047386694,0.0205932204,0.0881214291,0.0018192853
00:02:52:52.543,61,0.0000092708,0.1440244764,0.0338668264,0.0000000000,0.0000000000,0.0293841325,0.0545279905,0.0000092611,0.1438543051,0.0881608427,0.0000000000,0.0000000000,0.0293818470,0.0540661328,0.0492412224,0.0000000000,0.0311226044,0.1293722093,0.1005043089,0.1129880548,0.2071004212,0.0000000000,0.0087026320,0.0000000000,0.0000000000,0.0619138591,0.0679223388,0.0139551964,0.0134892398,0.0873203799,0.0913730115,0.0427699871,0.0239782371,0.0827620551,0.0433512703,0.0258473735,0.0251877382,0.1236200258,0.1130438074,0.0389046744,0.0421166867,0.0000000000,0.0000000000,0.1055727154,0.1164557412,0.1164393723,0.0237511694,0.0328405388,0.0334248655,0.0706169605,0.0779030994,0.0000000056,-0.0545481741,-0.1345527321,0.0335709341,-0.0536463968,0.0880025327,-0.0047309389,0.0206080414,0.0879982933,0.0018180371
00:02:52:53.544,61,0.0000085320,0.1441054642,0.0336880796,0.0000000000,0.0000000000,0.0293399058,0.0548945367,0.0000085230,0.1439341307,0.0883331969,0.0000000000,0.0000000000,0.0293376204,0.0544305928,0.0491850637,0.0000000000,0.0311802607,0.1293215901,0.1005576700,0.1127701849,0.2072283179,0.0000000000,0.0087041184,0.0000000000,0.0000000000,0.0617659539,0.0678759739,0.0139556201,0.0134858321,0.0872822627,0.0913482308,0.0427557565,0.0239959434,0.0826835185,0.0432771929,0.0258357730,0.0251801293,0.1236012280,0.1130212620,0.0388006642,0.0420019962,0.0000000000,0.0000000000,0.1053187996,0.1163938865,0.1163775325,0.0237431452,0.0327991284,0.0333734863,0.0705911964,0.0778621361,0.0000000048,-0.0546833724,-0.1337892711,0.0338651836,-0.0537510440,0.0880518556,-0.0047428291,0.0204991866,0.0880475864,0.0018094536
00:02:52:54.546,61,0.0000078520,0.1447592080,0.0329699814,0.0000000000,0.0000000000,0.0292481109,0.0551625527,0.0000078438,0.1445824057,0.0890726224,0.0000000000,0.0000000000,0.0292458311,0.0546979308,0.0491047576,0.0000000000,0.0312060099,0.1290511638,0.1005402058,0.1108872592,0.2073048651,0.0000000000,0.0086927293,0.0000000000,0.0000000000,0.0617299378,0.0679257065,0.0139360428,0.0134654837,0.0871643350,0.0912409052,0.0427236669,0.0239828955,0.0825364068,0.0431653745,0.0257870480,0.0251346771,0.1233281866,0.1127702892,0.0386372283,0.0418236032,0.0000000000,0.0000000000,0.1050668210,0.1164527610,0.1164364740,0.0237027686,0.0327265635,0.0332894363,0.0705217794,0.0777668133,0.0000000042,-0.0549841300,-0.1329611391,0.0340699442,-0.0541990846,0.0884506032,-0.0048040934,0.0200615153,0.0884462222,0.0017788854
00:02:52:55.547,61,0.0000072263,0.1450607181,0.0325923786,0.0000000000,0.0000000000,0.0292037204,0.0552096963,0.0000072187,0.1448807865,0.0894669592,0.0000000000,0.0000000000,0.0292014424,0.0547437742,0.0491448678,0.0000000000,0.0312862247,0.1291076094,0.1006358564,0.1103665754,0.2073868811,0.0000000000,0.0086847153,0.0000000000,0.0000000000,0.0617809407,0.0680732280,0.0139434505,0.0134717757,0.0872217566,0.0913247615,0.0427219868,0.0239941776,0.0824286193,0.0430863723,0.0257708654,0.0251183547,0.1234655976,0.1129207015,0.0385848843,0.0417614169,0.0000000000,0.0000000000,0.1049468592,0.1163801849,0.1163639203,0.0236759093,0.0327083729,0.0332579687,0.0705489069,0.0777759701,0.0000000042,-0.0551707856,-0.1321840435,0.0341057144,-0.0544381440,0.0886342973,-0.0048353351,0.0198314246,0.0886300206,0.0017621592
00:02:52:56.549,61,0.0000066504,0.1454313099,0.0321099460,0.0000000000,0.0000000000,0.0291509647,0.0556270815,0.0000066434,0.1452476680,0.0899664015,0.0000000000,0.0000000000,0.0291486960,0.0551595874,0.0492166877,0.0000000000,0.0313233994,0.1292187274,0.1007424444,0.1100451052,0.2075655758,0.0000000000,0.0086978758,0.0000000000,0.0000000000,0.0620002151,0.0683555454,0.0139447441,0.0134698777,0.0873151124,0.0914388150,0.0427593887,0.0239995476,0.0823749900,0.0430361554,0.0257509481,0.0250977445,0.1235739216,0.1130444929,0.0385429598,0.0417099372,0.0000000000,0.0000000000,0.1049927250,0.1166592166,0.1166428402,0.0236740466,0.0326803476,0.0332259387,0.0705638081,0.0777791664,0.0000000037,-0.0554714724,-0.1316270679,0.0336423330,-0.0547409579,0.0888602212,-0.0048746625,0.0195374861,0.0888559297,0.0017404924
00:02:52:57.550,61,0.0000061204,0.1453071833,0.0322905444,0.0000000000,0.0000000000,0.0291518550,0.0560509562,0.0000061140,0.1451249272,0.0897792578,0.0000000000,0.0000000000,0.0291495677,0.0555827767,0.0493096337,0.0000000000,0.0313617066,0.1295573413,0.1009250060,0.1100385264,0.2076308876,0.0000000000,0.0087293722,0.0000000000,0.0000000000,0.0620794967,0.0684233457,0.0139787858,0.0135046067,0.0874465108,0.0915822163,0.0428267047,0.0240367074,0.0823681653,0.0430128425,0.0257693902,0.0251118056,0.1238254383,0.1133069769,0.0385258794,0.0416890904,0.0000000000,0.0000000000,0.1052456498,0.1172156185,0.1171995550,0.0236970391,0.0326911807,0.0332262479,0.0705740750,0.0777866095,0.0000000034,-0.0558390990,-0.1317089498,0.0334520489,-0.0546274446,0.0887845606,-0.0048604016,0.0196475089,0.0887802914,0.0017487947
00:02:52:58.552,61,0.0000056327,0.1454059333,0.0322340280,0.0000000000,0.0000000000,0.0291478578,0.0566220209,0.0000056268,0.1452232748,0.0898476765,0.0000000000,0.0000000000,0.0291455444,0.0561571345,0.0493147336,0.0000000000,0.0313308388,0.1297172755,0.1010833010,0.1095504165,0.2075992823,0.0000000000,0.0086782044,0.0000000000,0.0000000000,0.0619661398,0.0683608726,0.0139997117,0.0135249430,0.0874213576,0.0915432274,0.0428562798,0.0240610391,0.0822383985,0.0429128669,0.0257546902,0.0250954423,0.1237261593,0.1132296026,0.0383918136,0.0415320918,0.0000000000,0.0000000000,0.1053149179,0.1177158728,0.1177005842,0.0236792006,0.0326771140,0.0331945866,0.0705134198,0.0776987448,0.0000000041,-0.0560096689,-0.1321700215,0.0334066078,-0.0546687879,0.0888449475,-0.0048674014,0.0196130127,0.0888405666,0.0017469159
00:02:52:59.553,61,0.0000051838,0.1453805715,0.0321734808,0.0000000000,0.0000000000,0.0291698780,0.0570883602,0.0000051784,0.1451975107,0.0899235159,0.0000000000,0.0000000000,0.0291675366,0.0566263609,0.0493276939,0.0000000000,0.0312634520,0.1297863722,0.1012512445,0.1094278544,0.2078961730,0.0000000000,0.0086378381,0.0000000000,0.0000000000,0.0620486625,0.0685137212,0.0139995180,0.0135247260,0.0874401256,0.0915449560,0.0429101661,0.0240829941,0.0822422430,0.0428759046,0.0257619247,0.0251032282,0.1236230657,0.1131206602,0.0382928252,0.0414110012,0.0000000000,0.0000000000,0.1053704321,0.1181086972,0.1180942580,0.0237040017,0.0326816961,0.0331806019,0.0705274194,0.0776965171,0.0000000042,-0.0562230423,-0.1327257901,0.0334747657,-0.0547150038,0.0888293982,-0.0048706555,0.0195762031,0.0888250023,0.0017433306
00:02:53:00.555,61,0.0000047707,0.1458563358,0.0321905203,0.0000000000,0.0000000000,0.0291359629,0.0576663986,0.0000047657,0.1456725001,0.0899342671,0.0000000000,0.0000000000,0.0291335993,0.0572065599,0.0493005179,0.0000000000,0.0312415473,0.1298390925,0.1014493555,0.1089987606,0.2083584815,0.0000000000,0.0086624976,0.0000000000,0.0000000000,0.0620445274,0.0685884804,0.0139911706,0.0135165593,0.0873745307,0.0914892480,0.0429656282,0.0240960289,0.0822202563,0.0428163446,0.0257386025,0.0250795484,0.1233036295,0.1128378585,0.0381285921,0.0412268303,0.0000000000,0.0000000000,0.1053571776,0.1185495406,0.1185358167,0.0237244889,0.0326438136,0.0331270210,0.0704716370,0.0776191428,0.0000000046,-0.0561250336,-0.1328605562,0.0336318687,-0.0547201298,0.0891200230,-0.0048871334,0.0195860621,0.0891157091,0.0017499476
00:02:53:01.557,61,0.0000043905,0.1466691345,0.0318853892,0.0000000000,0.0000000000,0.0290886853,0.0590942614,0.0000043859,0.1464821696,0.0902589560,0.0000000000,0.0000000000,0.0290863290,0.0586408339,0.0492867306,0.0000000000,0.0311895609,0.1298719645,0.1013612226,0.1088454202,0.2084662318,0.0000000000,0.0086635994,0.0000000000,0.0000000000,0.0620555617,0.0686207563,0.0139824692,0.0135080200,0.0873927549,0.0915029272,0.0429753736,0.0240496714,0.0822440758,0.0428452902,0.0257051364,0.0250434764,0.1232528016,0.1127983481,0.0381586850,0.0412497260,0.0000000000,0.0000000000,0.1054636985,0.1190024912,0.1189893782,0.0237269010,0.0326165222,0.0331009552,0.0704430789,0.0775725394,0.0000000047,-0.0560416803,-0.1328696609,0.0335908793,-0.0549152493,0.0896163285,-0.0049319998,0.0193995424,0.0896119773,0.0017429886
00:02:53:02.558,61,0.0000040406,0.1476218402,0.0315196849,0.0000000000,0.0000000000,0.0289907940,0.0621427409,0.0000040364,0.1474309862,0.0906512886,0.0000000000,0.0000000000,0.0289884787,0.0616847984,0.0493294895,0.0000000000,0.0310524330,0.1297259182,0.1014390215,0.1080330685,0.2089127451,0.0000000000,0.0086487373,0.0000000000,0.0000000000,0.0623112060,0.0688634813,0.0139600150,0.0134861795,0.0874411538,0.0915292948,0.0430141278,0.0240036529,0.0822264403,0.0428096503,0.0256383698,0.0249813590,0.1229441762,0.1125007123,0.0380701087,0.0411492102,0.0000000000,0.0000000000,0.1056362689,0.1200689152,0.1200564653,0.0237205308,0.0325785764,0.0330775343,0.0704382882,0.0775599554,0.0000000041,-0.0563425347,-0.1327474862,0.0334664695,-0.0551510826,0.0901979953,-0.0049854815,0.0191760398,0.0901936814,0.0017341548
