Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:58:24.674,61,0.0439707413,0.2450718582,0.1163387969,0.0000000000,0.0000000000,0.0162800662,0.0000000000,0.0440719649,0.2456978858,0.0060959896,0.0000000000,0.0000000000,0.0162784494,0.0000000000,0.0364028178,0.0000000000,0.0120188287,0.0856140181,0.0949521959,0.0385494828,0.1159273535,0.0000000000,0.0016412279,0.0000000000,0.0000000000,0.0448306464,0.0426053256,0.0192413107,0.0194993671,0.0691333115,0.0695761666,0.0504347831,0.0256451648,0.0747500435,0.0346182063,0.0248579495,0.0243942738,0.0547356866,0.0484386757,0.0187491644,0.0202722326,0.0000000000,0.0000000000,0.1335570067,0.2448601723,0.2450305521,0.0172132216,0.0296309255,0.0280713495,0.0623507239,0.0713461190,0.0000000626,0.0177236628,-0.0989278778,0.0285651032,-0.0036819640,0.1500893682,-0.0005568097,0.0702711269,0.1500790864,0.0106169824
00:00:58:25.675,61,0.0439469628,0.2446179390,0.1167399362,0.0000000000,0.0000000000,0.0162185300,0.0000000000,0.0440452546,0.2452472895,0.0056915767,0.0000000000,0.0000000000,0.0162168965,0.0000000000,0.0360366330,0.0000000000,0.0116687128,0.0850081667,0.0937972069,0.0375008881,0.1123495549,0.0000000000,0.0012985446,0.0000000000,0.0000000000,0.0446125492,0.0427337661,0.0191837326,0.0194352251,0.0679242760,0.0682271868,0.0504164025,0.0257920083,0.0744139776,0.0343722403,0.0248680115,0.0244583637,0.0540494919,0.0477784276,0.0183403399,0.0198381152,0.0000000000,0.0000000000,0.1324158013,0.2455661893,0.2457449138,0.0172836687,0.0292510334,0.0276950076,0.0617309064,0.0706268325,0.0000000421,0.0177236628,-0.0989278778,0.0285651032,-0.0034378429,0.1498139501,-0.0005189239,0.0705163553,0.1498036981,0.0106341280
00:00:58:26.677,61,0.0439257920,0.2444526404,0.1169231832,0.0000000000,0.0000000000,0.0161453281,0.0000000000,0.0440229587,0.2450835556,0.0055108978,0.0000000000,0.0000000000,0.0161436833,0.0000000000,0.0355121531,0.0000000000,0.0114046866,0.0836535096,0.0918394700,0.0361551270,0.1083399802,0.0000000000,0.0010374144,0.0000000000,0.0000000000,0.0443080217,0.0428269841,0.0191090461,0.0193526447,0.0663580075,0.0666667819,0.0501776002,0.0258373376,0.0739028305,0.0340850465,0.0248104371,0.0244530775,0.0532866307,0.0470739603,0.0179449990,0.0194205288,0.0000000000,0.0000000000,0.1284631342,0.2454488575,0.2456307262,0.0172505155,0.0288603567,0.0273127276,0.0610802509,0.0698619187,0.0000000366,0.0177236628,-0.0989278778,0.0285651032,-0.0033287590,0.1497138888,-0.0005021176,0.0706281289,0.1497036666,0.0106437337
00:00:58:27.678,61,0.0435665771,0.2434039116,0.1164098904,0.0000000000,0.0000000000,0.0160989296,0.0000000000,0.0436644927,0.2440264374,0.0060166311,0.0000000000,0.0000000000,0.0160972904,0.0000000000,0.0349692702,0.0000000000,0.0111187380,0.0824306682,0.0900321007,0.0349926762,0.1062615216,0.0000000000,0.0008134253,0.0000000000,0.0000000000,0.0441157259,0.0428166427,0.0189827289,0.0192181841,0.0651474521,0.0654476434,0.0498653129,0.0258266106,0.0734084845,0.0338349454,0.0246908758,0.0243820455,0.0522204004,0.0462436713,0.0175665598,0.0190210510,0.0000000000,0.0000000000,0.1241203099,0.2421986163,0.2423524559,0.0171820112,0.0284757148,0.0269526299,0.0603777729,0.0688730627,0.0000000438,0.0177236628,-0.0989278778,0.0285651032,-0.0036345916,0.1490682811,-0.0005458502,0.0703248605,0.1490581930,0.0105517311
00:00:58:28.680,61,0.0433082096,0.2419885099,0.1153922826,0.0000000000,0.0000000000,0.0161114950,0.0000000000,0.0434054956,0.2425965965,0.0070161130,0.0000000000,0.0000000000,0.0161098596,0.0000000000,0.0344919749,0.0000000000,0.0108009772,0.0810500830,0.0875008702,0.0336541273,0.1049958989,0.0000000000,0.0004017967,0.0000000000,0.0000000000,0.0438548401,0.0427972451,0.0188261438,0.0190471616,0.0631467402,0.0633239895,0.0495859832,0.0258693695,0.0729789138,0.0336299241,0.0245901402,0.0243244451,0.0504242443,0.0448241420,0.0171564966,0.0185789019,0.0000000000,0.0000000000,0.1187155545,0.2282944620,0.2284499258,0.0171547011,0.0281243026,0.0266216174,0.0591279007,0.0669937953,0.0000000752,0.0169099793,-0.0994562879,0.0279298890,-0.0042389231,0.1481952071,-0.0006328255,0.0697191283,0.1481850296,0.0103988182
00:00:58:29.682,61,0.0431673750,0.2414030582,0.1143620312,0.0000000000,0.0000000000,0.0161455907,0.0000000000,0.0432634689,0.2419984639,0.0080126887,0.0000000000,0.0000000000,0.0161439646,0.0000000000,0.0340316296,0.0000000000,0.0104242424,0.0796341226,0.0851222053,0.0323568247,0.1039121896,0.0001316674,0.0000000000,0.0000000000,0.0000000000,0.0435635000,0.0427358635,0.0186568014,0.0188656803,0.0614776947,0.0614097491,0.0492986217,0.0259152278,0.0725290924,0.0334271304,0.0244740136,0.0242452957,0.0488015786,0.0434744060,0.0167444889,0.0181301367,0.0000000000,0.0000000000,0.1145654023,0.2193632424,0.2195203155,0.0171218347,0.0277805645,0.0263004042,0.0576655827,0.0650278106,0.0000001072,0.0160698108,-0.0994836465,0.0275223106,-0.0048412886,0.1478302032,-0.0007209451,0.0691003725,0.1478201002,0.0102809286
00:00:58:30.683,61,0.0429699011,0.2407610267,0.1131150201,0.0000000000,0.0000000000,0.0161809791,0.0000000000,0.0430656634,0.2413413972,0.0092468336,0.0000000000,0.0000000000,0.0161793660,0.0000000000,0.0336124972,0.0000000000,0.0100913914,0.0786910802,0.0838173032,0.0314411782,0.1031813771,0.0005650443,0.0000000000,0.0000000000,0.0000000000,0.0432945341,0.0426571406,0.0185122639,0.0187098496,0.0603812337,0.0602434054,0.0490534827,0.0259922054,0.0721186399,0.0332412496,0.0243885517,0.0241955034,0.0477703363,0.0425520912,0.0163553972,0.0177070629,0.0000000000,0.0000000000,0.1125578508,0.2157155424,0.2158722430,0.0171070136,0.0274716504,0.0260171108,0.0567204542,0.0638966933,0.0000001643,0.0157517567,-0.0992287174,0.0272623561,-0.0055872956,0.1474294215,-0.0008297475,0.0683509111,0.1474192888,0.0101416269
00:00:58:31.685,61,0.0425713882,0.2398522198,0.1124922931,0.0000000000,0.0000000000,0.0161954258,0.0000000000,0.0426665470,0.2404236197,0.0098534506,0.0000000000,0.0000000000,0.0161938220,0.0000000000,0.0332428329,0.0000000000,0.0097729322,0.0779384077,0.0828394368,0.0305981506,0.1022863537,0.0010531450,0.0000000000,0.0000000000,0.0000000000,0.0429869629,0.0426250286,0.0183958355,0.0185797010,0.0594522618,0.0592724197,0.0488651842,0.0261263046,0.0716056451,0.0329979509,0.0242983028,0.0241381712,0.0469157249,0.0417530350,0.0159643777,0.0172795542,0.0000000000,0.0000000000,0.1111818105,0.2138407528,0.2139981836,0.0170876663,0.0271518677,0.0257178862,0.0558873154,0.0629562065,0.0000001876,0.0155521231,-0.0990864635,0.0271774437,-0.0059543313,0.1468690634,-0.0008808441,0.0679802150,0.1468590647,0.0100478269
00:00:58:32.686,61,0.0424427651,0.2393547893,0.1121933088,0.0000000000,0.0000000000,0.0162283555,0.0000000000,0.0425369069,0.2399218827,0.0101447059,0.0000000000,0.0000000000,0.0162267610,0.0000000000,0.0330788270,0.0000000000,0.0094741052,0.0776827037,0.0825148970,0.0300249122,0.1016959772,0.0015957281,0.0000000000,0.0000000000,0.0000000000,0.0427210294,0.0426878072,0.0183689594,0.0185428448,0.0589082353,0.0586875118,0.0489171445,0.0263440795,0.0712155998,0.0327709615,0.0242766831,0.0241498817,0.0464667231,0.0412889682,0.0156502798,0.0169319306,0.0000000000,0.0000000000,0.1107958704,0.2182349861,0.2184161842,0.0171056781,0.0269255582,0.0254994575,0.0553556718,0.0623851866,0.0000001696,0.0160365235,-0.0989821553,0.0275074784,-0.0061306106,0.1465627253,-0.0009050026,0.0678025931,0.1465527266,0.0100004086
00:00:58:33.688,61,0.0423013084,0.2387841791,0.1122266352,0.0000000000,0.0000000000,0.0162634980,0.0000000000,0.0423946269,0.2393504977,0.0101054693,0.0000000000,0.0000000000,0.0162618924,0.0000000000,0.0329172909,0.0000000000,0.0091445390,0.0772369057,0.0820525661,0.0294836890,0.1004667357,0.0020336928,0.0000000000,0.0000000000,0.0000000000,0.0424352288,0.0426316373,0.0183480866,0.0185132008,0.0584314577,0.0581573844,0.0489596464,0.0264777448,0.0709248185,0.0326197892,0.0242896061,0.0242041089,0.0460444205,0.0408404469,0.0153830172,0.0166368429,0.0000000000,0.0000000000,0.1106738597,0.2252354324,0.2254293561,0.0171286371,0.0267171450,0.0252938680,0.0549295694,0.0619475506,0.0000001400,0.0163750574,-0.0992144495,0.0278127920,-0.0061072139,0.1462136507,-0.0008993704,0.0678262115,0.1462035328,0.0099797100
00:00:58:34.689,61,0.0420186669,0.2382022440,0.1125780866,0.0000000000,0.0000000000,0.0162670072,0.0000000000,0.0421113633,0.2387710959,0.0097493818,0.0000000000,0.0000000000,0.0162653849,0.0000000000,0.0326370485,0.0000000000,0.0088243410,0.0758756250,0.0806647539,0.0288481172,0.0965405926,0.0023590901,0.0000000000,0.0000000000,0.0000000000,0.0420572832,0.0424962677,0.0183100533,0.0184706654,0.0578562729,0.0575370938,0.0488397628,0.0265185628,0.0705394149,0.0324599296,0.0242752861,0.0242348872,0.0455299690,0.0403028391,0.0151081169,0.0163391568,0.0000000000,0.0000000000,0.1102896556,0.2280302793,0.2282270044,0.0171018858,0.0264594257,0.0250386987,0.0544356070,0.0614380166,0.0000000749,0.0165007971,-0.1000571698,0.0284530930,-0.0058923205,0.1458595246,-0.0008655932,0.0680421516,0.1458493918,0.0099868355
00:00:58:35.691,61,0.0418946110,0.2382051647,0.1132256463,0.0000000000,0.0000000000,0.0162459519,0.0000000000,0.0419865176,0.2387808561,0.0090989787,0.0000000000,0.0000000000,0.0162443202,0.0000000000,0.0323186256,0.0000000000,0.0085430332,0.0743829161,0.0792540759,0.0282263700,0.0942265689,0.0026638801,0.0000000000,0.0000000000,0.0000000000,0.0416595638,0.0423316322,0.0182481371,0.0183988065,0.0572930016,0.0569371693,0.0486382581,0.0264889095,0.0701699033,0.0323195122,0.0242469348,0.0242459308,0.0449994244,0.0397589393,0.0148562184,0.0160653424,0.0000000000,0.0000000000,0.1097717509,0.2293984741,0.2295967788,0.0170557275,0.0262029413,0.0247841477,0.0539893508,0.0609780736,0.0000000465,0.0173303112,-0.1008982062,0.0292235687,-0.0054992270,0.1458651870,-0.0008078793,0.0684335157,0.1458550990,0.0100445822
00:00:58:36.692,61,0.0418714732,0.2382512242,0.1136352718,0.0000000000,0.0000000000,0.0162301939,0.0000000000,0.0419626310,0.2388314009,0.0086872336,0.0000000000,0.0000000000,0.0162285510,0.0000000000,0.0319608785,0.0000000000,0.0082584890,0.0729394630,0.0777753219,0.0276135914,0.0928255022,0.0029225477,0.0000000000,0.0000000000,0.0000000000,0.0412829816,0.0421903916,0.0181696694,0.0183131397,0.0567068197,0.0563193560,0.0483837202,0.0264244303,0.0698128268,0.0321945287,0.0242111478,0.0242441539,0.0444349386,0.0391909704,0.0146118132,0.0157998540,0.0000000000,0.0000000000,0.1092490479,0.2301114500,0.2303104550,0.0170104448,0.0259527564,0.0245337002,0.0535312034,0.0605021231,0.0000000411,0.0181516819,-0.1012962535,0.0297969468,-0.0052503520,0.1458958536,-0.0007714825,0.0686808005,0.1458857805,0.0100829713
