Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:02:23:57.798,61,0.0197127368,0.2137242109,0.0554232597,0.0000000000,0.0000000000,0.0239030719,0.0000000000,0.0198381208,0.2136779577,0.0668265224,0.0000000000,0.0000000000,0.0239003841,0.0000000000,0.0365196951,0.0000000000,0.0303441174,0.1055466011,0.0605775826,0.0757603347,0.1326096356,0.0000000000,0.0045616557,0.0000000000,0.0000000000,0.0408123694,0.0372754559,0.0137428539,0.0137092983,0.0728226900,0.0749613121,0.0302499495,0.0163331628,0.0714026019,0.0439287312,0.0224062819,0.0216256902,0.1182296053,0.1093693450,0.0494293571,0.0531200431,0.0000000000,0.0000000000,0.0805556625,0.0880796239,0.0881011933,0.0154972710,0.0277849454,0.0277105030,0.0597609803,0.0661761761,0.0000000019,-0.0300241392,-0.1082172543,0.0087346546,-0.0404745415,0.1306360215,-0.0053162174,0.0335679092,0.1306307167,0.0044092573
00:02:23:58.799,61,0.0239298698,0.2170916945,0.0549594648,0.0000000000,0.0000000000,0.0236210059,0.0000000000,0.0240421258,0.2170403600,0.0672855452,0.0000000000,0.0000000000,0.0236183889,0.0000000000,0.0365406349,0.0000000000,0.0302255917,0.1057792231,0.0608837046,0.0758214444,0.1349974722,0.0000000000,0.0044163186,0.0000000000,0.0000000000,0.0410046130,0.0375086442,0.0137540121,0.0137247518,0.0727261975,0.0748736933,0.0303202588,0.0163590908,0.0715395808,0.0439306386,0.0224586464,0.0216560513,0.1182309389,0.1094531566,0.0495472550,0.0532167926,0.0000000000,0.0000000000,0.0812627822,0.0891068652,0.0891307890,0.0154954046,0.0277693737,0.0276611261,0.0600586198,0.0664618984,0.0000000021,-0.0300241392,-0.1082172543,0.0087346546,-0.0407414809,0.1326931864,-0.0054365145,0.0332779437,0.1326876879,0.0044408208
00:02:23:59.800,61,0.0273099467,0.2199435830,0.0550158322,0.0000000000,0.0000000000,0.0233791452,0.0000000000,0.0274099372,0.2198918760,0.0672269613,0.0000000000,0.0000000000,0.0233765785,0.0000000000,0.0365828946,0.0000000000,0.0300981663,0.1060898229,0.0612409636,0.0759235620,0.1368882805,0.0000000000,0.0043018167,0.0000000000,0.0000000000,0.0412435606,0.0377887711,0.0137737626,0.0137504153,0.0726110190,0.0747589022,0.0304120649,0.0164022464,0.0716871619,0.0439319387,0.0225318950,0.0217072330,0.1182278097,0.1095302999,0.0496415682,0.0532900393,0.0000000000,0.0000000000,0.0819648504,0.0899925455,0.0900186002,0.0155037334,0.0277846735,0.0276368242,0.0603714213,0.0667643175,0.0000000022,-0.0300241392,-0.1082172543,0.0087346546,-0.0406964831,0.1344363242,-0.0055027097,0.0333042666,0.1344309151,0.0045034261
00:02:24:00.802,61,0.0295786299,0.2218620926,0.0552693605,0.0000000000,0.0000000000,0.0231474284,0.0000000000,0.0296716932,0.2218127102,0.0669720694,0.0000000000,0.0000000000,0.0231449138,0.0000000000,0.0366855338,0.0000000000,0.0299696065,0.1066296995,0.0616250709,0.0762789026,0.1389191598,0.0000000000,0.0042015738,0.0000000000,0.0000000000,0.0414904542,0.0380607061,0.0138078965,0.0137903895,0.0726101995,0.0747592151,0.0305184666,0.0164464712,0.0718627498,0.0439585559,0.0226165429,0.0217704289,0.1184837520,0.1098426729,0.0498573259,0.0534889176,0.0000000000,0.0000000000,0.0826842934,0.0907848328,0.0908127874,0.0155312512,0.0278225169,0.0276374593,0.0607482418,0.0671445727,0.0000000024,-0.0300241392,-0.1082172543,0.0087346546,-0.0405357257,0.1356098056,-0.0055294172,0.0334524289,0.1356042027,0.0045634178
00:02:24:01.804,61,0.0323791504,0.2235165536,0.0548469685,0.0000000000,0.0000000000,0.0229278412,0.0000000000,0.0324711353,0.2234622985,0.0674314424,0.0000000000,0.0000000000,0.0229253732,0.0000000000,0.0368065946,0.0000000000,0.0298338477,0.1071449444,0.0619716309,0.0767401606,0.1407326907,0.0000000000,0.0041774823,0.0000000000,0.0000000000,0.0417697430,0.0382877924,0.0138333514,0.0138241099,0.0726418793,0.0747985393,0.0306189582,0.0164839141,0.0720842183,0.0440183841,0.0227035992,0.0218371302,0.1187814549,0.1102035195,0.0501222871,0.0537513867,0.0000000000,0.0000000000,0.0833103061,0.0914400518,0.0914695263,0.0155663332,0.0278604869,0.0276429448,0.0611467287,0.0675518736,0.0000000024,-0.0299988780,-0.1077716053,0.0088371104,-0.0408081338,0.1366198063,-0.0056085316,0.0331921726,0.1366142184,0.0045620757
00:02:24:02.805,61,0.0338172093,0.2242473811,0.0550039485,0.0000000000,0.0000000000,0.0227570869,0.0000000000,0.0339090750,0.2241944969,0.0672630966,0.0000000000,0.0000000000,0.0227546580,0.0000000000,0.0369705744,0.0000000000,0.0297538079,0.1076937765,0.0622290187,0.0773654506,0.1418108195,0.0000000000,0.0041702068,0.0000000000,0.0000000000,0.0420017354,0.0384519286,0.0138646299,0.0138611430,0.0727604330,0.0749349296,0.0307113733,0.0164990537,0.0723556355,0.0441529192,0.0227994397,0.0219112337,0.1193258539,0.1107952073,0.0505671054,0.0542031899,0.0000000000,0.0000000000,0.0840036869,0.0920088366,0.0920390338,0.0156061398,0.0279311854,0.0276887286,0.0615774654,0.0680037513,0.0000000023,-0.0302695800,-0.1076590195,0.0091674533,-0.0407037474,0.1370668709,-0.0056127296,0.0332851298,0.1370613426,0.0045900089
00:02:24:03.807,61,0.0346830487,0.2242936343,0.0548584573,0.0000000000,0.0000000000,0.0225969832,0.0000000000,0.0347769335,0.2242393792,0.0673855916,0.0000000000,0.0000000000,0.0225945972,0.0000000000,0.0370666943,0.0000000000,0.0296894088,0.1079635397,0.0622938722,0.0778665990,0.1424935460,0.0000000000,0.0041497829,0.0000000000,0.0000000000,0.0421763510,0.0385530815,0.0138791818,0.0138806375,0.0728245154,0.0750097632,0.0307585429,0.0164826196,0.0726498738,0.0443407930,0.0228839610,0.0219774470,0.1197435781,0.1112580597,0.0510441177,0.0546904728,0.0000000000,0.0000000000,0.0845751911,0.0923881531,0.0924181417,0.0156336743,0.0279796366,0.0277187936,0.0619124211,0.0683414713,0.0000000020,-0.0303899795,-0.1076933593,0.0091902772,-0.0407777205,0.1370947510,-0.0056240819,0.0331969559,0.1370892078,0.0045787962
00:02:24:04.808,61,0.0353516303,0.2249811441,0.0546233617,0.0000000000,0.0000000000,0.0224538464,0.0000000000,0.0354469381,0.2249243557,0.0675986409,0.0000000000,0.0000000000,0.0224515032,0.0000000000,0.0370781273,0.0000000000,0.0295844227,0.1080126613,0.0622459464,0.0782000348,0.1429457814,0.0000000000,0.0040960028,0.0000000000,0.0000000000,0.0422937199,0.0386289395,0.0138706192,0.0138763795,0.0728257075,0.0750119314,0.0307683740,0.0164394546,0.0729184449,0.0445290618,0.0229396001,0.0220174976,0.1199427471,0.1114941612,0.0514759049,0.0551200025,0.0000000000,0.0000000000,0.0850028545,0.0926144794,0.0926442966,0.0156421959,0.0280062798,0.0277303755,0.0621799901,0.0685989335,0.0000000019,-0.0306503102,-0.1076159105,0.0089065842,-0.0409042798,0.1375142485,-0.0056590084,0.0330527648,0.1375087351,0.0045730453
00:02:24:05.810,61,0.0359356850,0.2254959494,0.0544715151,0.0000000000,0.0000000000,0.0223622788,0.0000000000,0.0360331796,0.2254375964,0.0677338615,0.0000000000,0.0000000000,0.0223599635,0.0000000000,0.0372073576,0.0000000000,0.0295345075,0.1083225161,0.0622545555,0.0790088698,0.1434091330,0.0000000000,0.0040708189,0.0000000000,0.0000000000,0.0423792228,0.0386834331,0.0138797611,0.0138921859,0.0729906186,0.0751870275,0.0307917465,0.0164108202,0.0731973425,0.0447347835,0.0230119023,0.0220724493,0.1205704957,0.1120979562,0.0520465225,0.0556955189,0.0000000000,0.0000000000,0.0855032802,0.0926171914,0.0926466882,0.0156662408,0.0280770641,0.0277847536,0.0624779612,0.0688889921,0.0000000019,-0.0309298374,-0.1078389809,0.0086876145,-0.0409843288,0.1378284842,-0.0056831986,0.0329594612,0.1378229856,0.0045706937
00:02:24:06.812,61,0.0364924222,0.2261756510,0.0542678908,0.0000000000,0.0000000000,0.0222660471,0.0000000000,0.0365918241,0.2261151522,0.0679259747,0.0000000000,0.0000000000,0.0222637560,0.0000000000,0.0373125561,0.0000000000,0.0294955019,0.1085942164,0.0622544438,0.0795454904,0.1436986774,0.0000000000,0.0040616714,0.0000000000,0.0000000000,0.0424661152,0.0387269631,0.0138883712,0.0139049115,0.0731151178,0.0753347427,0.0308082476,0.0163848661,0.0734362900,0.0449138284,0.0230668224,0.0221114289,0.1210636273,0.1125970036,0.0525237173,0.0561840795,0.0000000000,0.0000000000,0.0859612003,0.0926859304,0.0927149430,0.0156792961,0.0281234216,0.0278187189,0.0627148375,0.0691201016,0.0000000019,-0.0310443342,-0.1078737676,0.0084385686,-0.0410981961,0.1382433772,-0.0057163551,0.0328343585,0.1382378340,0.0045672334
