Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:04:42:10.918,61,0.0021864634,0.1409647465,0.0731995627,0.0000000000,0.0000000000,0.0257631522,0.0916309729,0.0021736226,0.1410586238,0.0485693775,0.0000000000,0.0000000000,0.0257575884,0.0910571292,0.0211655162,0.0000000000,0.0176835991,0.0554844029,0.0606555194,0.0248455927,0.1359395683,0.0007179399,0.0000000000,0.0000000000,0.0000000000,0.0310414005,0.0385340154,0.0165433362,0.0163075477,0.0423669629,0.0428592451,0.0361070372,0.0256074071,0.0657964200,0.0319920219,0.0274127908,0.0277718250,0.0373044014,0.0326973051,0.0118124150,0.0127641428,0.0000000000,0.0000000000,0.0797704831,0.1612435728,0.1612413526,0.0205703825,0.0284009408,0.0285090525,0.0475443378,0.0537099466,0.0000000202,-0.0106106773,-0.1344932765,0.0389434025,-0.0295592397,0.0862055644,-0.0025541242,0.0445492826,0.0861962140,0.0038482256
00:04:42:11.919,61,0.0020121804,0.1395731419,0.0730157420,0.0000000000,0.0000000000,0.0255070440,0.0924859643,0.0020003619,0.1396650672,0.0487769991,0.0000000000,0.0000000000,0.0255017299,0.0919102207,0.0209646337,0.0000000000,0.0172201693,0.0550914705,0.0602468178,0.0245076604,0.1373454779,0.0008144808,0.0000000000,0.0000000000,0.0000000000,0.0322261043,0.0393839292,0.0161215961,0.0158808306,0.0420862660,0.0425380357,0.0358441360,0.0252787042,0.0658035725,0.0320388414,0.0269478355,0.0273412745,0.0368128270,0.0322072729,0.0116250012,0.0125806043,0.0000000000,0.0000000000,0.0793372840,0.1610684246,0.1610660851,0.0205546003,0.0279007442,0.0280469004,0.0471545309,0.0533401221,0.0000000253,-0.0106106773,-0.1344932765,0.0389434025,-0.0296877660,0.0853542313,-0.0025397695,0.0444406569,0.0853448585,0.0038007475
00:04:42:12.921,61,0.0018518047,0.1385626644,0.0727338344,0.0000000000,0.0000000000,0.0252692364,0.0933877155,0.0018409275,0.1386520416,0.0490806848,0.0000000000,0.0000000000,0.0252641346,0.0928096548,0.0207792558,0.0000000000,0.0168257114,0.0547134951,0.0598716885,0.0242000520,0.1378498971,0.0007816583,0.0000000000,0.0000000000,0.0000000000,0.0331639834,0.0399792306,0.0157187805,0.0154737514,0.0418759063,0.0423060730,0.0355858617,0.0249355193,0.0658065230,0.0320875607,0.0264816768,0.0269020833,0.0363750532,0.0317688808,0.0114683360,0.0124312770,0.0000000000,0.0000000000,0.0789816231,0.1610557437,0.1610531062,0.0205069743,0.0274295080,0.0276114661,0.0468060412,0.0530108288,0.0000000293,-0.0106106773,-0.1344932765,0.0389434025,-0.0298741814,0.0847356245,-0.0025371006,0.0442713983,0.0847263411,0.0037587089
00:04:42:13.923,61,0.0017042194,0.1380238682,0.0726161227,0.0000000000,0.0000000000,0.0250575729,0.0939922854,0.0016942088,0.1381122619,0.0492110960,0.0000000000,0.0000000000,0.0250526648,0.0934149027,0.0206163283,0.0000000000,0.0164346509,0.0543942116,0.0595705323,0.0239392687,0.1381048560,0.0007639523,0.0000000000,0.0000000000,0.0000000000,0.0339203849,0.0403909050,0.0153456526,0.0150987953,0.0417325124,0.0421398208,0.0353499539,0.0246006642,0.0658303797,0.0321494490,0.0260392800,0.0264848247,0.0360126495,0.0313975438,0.0113436561,0.0123138763,0.0000000000,0.0000000000,0.0785946324,0.1608083546,0.1608054936,0.0204323120,0.0269985721,0.0272092521,0.0465111472,0.0527369268,0.0000000327,-0.0106106773,-0.1344932765,0.0389434025,-0.0299543906,0.0844059363,-0.0025339653,0.0442009829,0.0843966156,0.0037380611
00:04:42:14.924,61,0.0015684008,0.1373441666,0.0725808144,0.0000000000,0.0000000000,0.0248543341,0.0946069807,0.0015591878,0.1374319792,0.0492575206,0.0000000000,0.0000000000,0.0248496123,0.0940298662,0.0204208065,0.0000000000,0.0160363261,0.0539370887,0.0591089204,0.0236133579,0.1382992715,0.0007661245,0.0000000000,0.0000000000,0.0000000000,0.0345958769,0.0407469049,0.0149735026,0.0147261731,0.0414986275,0.0418812074,0.0350672863,0.0242596511,0.0658184364,0.0322060809,0.0256102383,0.0260800738,0.0355819575,0.0309720282,0.0112092607,0.0121838590,0.0000000000,0.0000000000,0.0780576244,0.1604130715,0.1604100317,0.0203483645,0.0265732817,0.0268106610,0.0461658873,0.0524047427,0.0000000347,-0.0110660130,-0.1348341554,0.0389940217,-0.0299837068,0.0839902610,-0.0025238944,0.0441810451,0.0839809254,0.0037178858
00:04:42:15.926,61,0.0014434085,0.1369464546,0.0727090240,0.0000000000,0.0000000000,0.0246677473,0.0950406864,0.0014349297,0.1370348483,0.0491175689,0.0000000000,0.0000000000,0.0246631987,0.0944640860,0.0202190187,0.0000000000,0.0156339351,0.0534564108,0.0585941635,0.0232399013,0.1380452812,0.0008367279,0.0000000000,0.0000000000,0.0000000000,0.0351506397,0.0410166644,0.0146348532,0.0143852839,0.0412073731,0.0415557027,0.0347833857,0.0239619575,0.0657058805,0.0322076306,0.0252097100,0.0257042423,0.0351150222,0.0305197313,0.0110532548,0.0120283552,0.0000000000,0.0000000000,0.0774346963,0.1598756313,0.1598725021,0.0202570595,0.0261618309,0.0264211781,0.0457801148,0.0520223193,0.0000000321,-0.0109820114,-0.1347387135,0.0386331566,-0.0298991222,0.0837473720,-0.0025094638,0.0442599915,0.0837380365,0.0037137021
00:04:42:16.927,61,0.0013283787,0.1365645528,0.0730393007,0.0000000000,0.0000000000,0.0244968627,0.0955418870,0.0013205755,0.1366548985,0.0487905145,0.0000000000,0.0000000000,0.0244924705,0.0949673802,0.0200041793,0.0000000000,0.0152715500,0.0529301018,0.0580127276,0.0228210334,0.1371894926,0.0009559504,0.0000000000,0.0000000000,0.0000000000,0.0355709977,0.0412540957,0.0143159069,0.0140640689,0.0408675633,0.0411845222,0.0344729982,0.0236797910,0.0654976144,0.0321656279,0.0248104725,0.0253274068,0.0346164405,0.0300421566,0.0108827585,0.0118535794,0.0000000000,0.0000000000,0.0765360892,0.1588864475,0.1588833332,0.0201386455,0.0257515553,0.0260297935,0.0453231074,0.0515500084,0.0000000289,-0.0105929971,-0.1341269463,0.0377525873,-0.0297006145,0.0835146531,-0.0024858490,0.0444619097,0.0835052580,0.0037202141
00:04:42:17.929,61,0.0012225166,0.1356395483,0.0740995184,0.0000000000,0.0000000000,0.0243877470,0.0959335119,0.0012153353,0.1357357502,0.0477375053,0.0000000000,0.0000000000,0.0243835039,0.0953633636,0.0198401753,0.0000000000,0.0149059622,0.0525250547,0.0575477034,0.0224804264,0.1368528903,0.0011525552,0.0000000000,0.0000000000,0.0000000000,0.0359528475,0.0415158160,0.0140283108,0.0137719978,0.0405763760,0.0408565663,0.0342416167,0.0234559551,0.0653909221,0.0321594849,0.0244785473,0.0250158366,0.0341699049,0.0296123605,0.0107294610,0.0116942190,0.0000000000,0.0000000000,0.0757898614,0.1572570503,0.1572547406,0.0200846791,0.0253995731,0.0256933589,0.0449354649,0.0511521250,0.0000000246,-0.0101170931,-0.1333035827,0.0368886702,-0.0290609691,0.0829513744,-0.0024158468,0.0451094285,0.0829420611,0.0037487831
00:04:42:18.931,61,0.0011250913,0.1350425929,0.0747886896,0.0000000000,0.0000000000,0.0242896490,0.0963611826,0.0011184823,0.1351426989,0.0470547602,0.0000000000,0.0000000000,0.0242855381,0.0957956836,0.0196889285,0.0000000000,0.0145637793,0.0521307103,0.0570903495,0.0221544914,0.1366029978,0.0013237837,0.0000000000,0.0000000000,0.0000000000,0.0363207720,0.0417892225,0.0137564410,0.0134975445,0.0402934663,0.0405444093,0.0340333767,0.0232533310,0.0653007925,0.0321618356,0.0241744798,0.0247281846,0.0337393470,0.0292019919,0.0105833486,0.0115411961,0.0000000000,0.0000000000,0.0751480162,0.1564090252,0.1564070284,0.0200530589,0.0250738021,0.0253811162,0.0445789360,0.0507813953,0.0000000200,-0.0093657039,-0.1325099319,0.0359146595,-0.0286462028,0.0825879499,-0.0023708961,0.0455303453,0.0825786069,0.0037670829
00:04:42:19.932,61,0.0010354304,0.1348772943,0.0754131526,0.0000000000,0.0000000000,0.0242027231,0.0966779441,0.0010293480,0.1349809170,0.0464616269,0.0000000000,0.0000000000,0.0241987128,0.0961161032,0.0195919052,0.0000000000,0.0143486504,0.0518554449,0.0567959622,0.0219160412,0.1363966465,0.0014233177,0.0000000000,0.0000000000,0.0000000000,0.0366127566,0.0420097038,0.0135127557,0.0132515058,0.0401357301,0.0403748974,0.0338791534,0.0230642166,0.0652413890,0.0321644396,0.0238910131,0.0244569331,0.0334349275,0.0289057158,0.0104735224,0.0114289233,0.0000000000,0.0000000000,0.0746753961,0.1558421105,0.1558402926,0.0200058110,0.0248035137,0.0251171011,0.0443281494,0.0505314656,0.0000000205,-0.0087198084,-0.1318316609,0.0354332551,-0.0282853451,0.0824882388,-0.0023381985,0.0459109023,0.0824789703,0.0037939423
